;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;north_error;east_error;distance_to_target;yaw_setpoint;current_angle;tau_X;tau_N
2024-03-07_15:53:48:683905;59.90848713333333;10.719644116666666;0.0;59.90848713333333;10.719644116666666;0.0;1709823228.6834404;8.031;14287533.208975317;0;0.0;0.0;0.0;0.0;0.0;0.0;59.908642666666665;10.71945885;0.0;0.0;0.0;0.0;;;;;;;
2024-03-07_15:53:54:715929;59.908487466666664;10.71964435;0.0;59.908487466666664;10.71964435;0.0;1709823234.7149317;7.92;0.006526587791547259;0.88;0.145;1.282;14.493;0.92;2.998;-0.421;59.90848713333333;10.719644116666666;0.0;-17.328068029431012;10.3664178641589;3.1923220332075175e-05;17.328068029431012;-10.3664178641589;20.192190593567155;-0.5391275416521398;0.2529505684915382;198.81188283478448;-1.1881171652155174
2024-03-07_15:53:54:827583;59.90848776666667;10.71964465;0.0;59.90848776666667;10.71964465;0.0;1709823234.8260202;15.348;0.336683941416763;0.88;0.058;1.528;14.356;-1.32;-1.537;-0.115;59.90848713333333;10.719644116666666;0.0;0.03713691058815881;0.013055941641930642;-1.0896595362130945e-09;0.0;0.0;0.0;0.0;0.25055946741630597;0.0;0.0
2024-03-07_15:53:54:935795;59.90848798333333;10.719645;0.0;59.90848798333333;10.719645;0.0;1709823234.9347944;10.204;0.28576713227954564;0.88;-0.655;0.62;14.322;-1.504;-2.257;-0.188;59.90848713333333;10.719644116666666;0.0;0.07056013165541834;0.029842152245574013;4.873535602856194e-12;0.0;0.0;0.0;0.0;0.24996605547062786;0.0;0.0
2024-03-07_15:53:55:046205;59.90848825;10.719645183333334;0.0;59.90848825;10.719645183333334;0.0;1709823235.0451927;5.627;0.2847025774379682;0.88;-0.597;0.597;14.137;1.566;1.692;-0.336;59.90848713333333;10.719644116666666;0.0;0.09469912193810598;0.04942606428039528;8.99169357027052e-10;0.0;0.0;0.0;0.0;0.2467371963544384;0.0;0.0
2024-03-07_15:53:55:154469;59.9084885;10.719645333333334;0.0;59.9084885;10.719645333333334;0.0;1709823235.1534724;12.022;0.2686541811308121;0.88;0.409;1.321;13.923;2.569;0.524;-0.694;59.90848713333333;10.719644116666666;0.0;0.1244086501942949;0.059684303771046956;2.271300481027083e-09;0.0;0.0;0.0;0.0;0.24300219175517052;0.0;0.0
2024-03-07_15:53:55:261638;59.90848875;10.719645516666667;0.0;59.90848875;10.719645516666667;0.0;1709823235.2606523;11.746;0.27693351975562314;0.88;0.128;0.696;13.719;-3.487;-2.675;-0.094;59.90848713333333;10.719644116666666;0.0;0.15226133400611802;0.06807740845780363;1.1513185127487446e-09;0.0;0.0;0.0;0.0;0.23944172008110207;0.0;0.0
2024-03-07_15:53:55:369016;59.90848905;10.719645716666667;0.0;59.90848905;10.719645716666667;0.0;1709823235.368495;15.792;0.3268365004872457;0.88;-1.018;0.713;13.744;0.074;2.879;0.011;59.90848713333333;10.719644116666666;0.0;0.1801140167271802;0.07833564741436194;2.6284383281005574e-09;0.0;0.0;0.0;0.0;0.23987805239410065;0.0;0.0
2024-03-07_15:53:55:478462;59.90848951666667;10.719646000000001;0.0;59.90848951666667;10.719646000000001;0.0;1709823235.4774432;21.456;0.4989072058575384;0.88;0.146;1.684;13.555;4.329;1.304;-0.37;59.90848713333333;10.719644116666666;0.0;0.2135372363347343;0.08952645343399837;2.8770985871506838e-09;0.0;0.0;0.0;0.0;0.23657938010783136;0.0;0.0
2024-03-07_15:53:55:587548;59.90849016666667;10.7196465;0.0;59.90849016666667;10.7196465;0.0;1709823235.5865593;13.979;0.7114745808193895;0.88;0.363;1.427;13.507;-3.206;-1.517;0.072;59.90848713333333;10.719644116666666;0.0;0.2655289117932561;0.10538009485038347;5.594617380477729e-09;0.0;0.0;0.0;0.0;0.23574162206687407;0.0;0.0
2024-03-07_15:53:55:696208;59.90849093333333;10.719646933333333;0.0;59.90849093333333;10.719646933333333;0.0;1709823235.6952121;16.528;0.8171870693706891;0.88;-1.29;0.825;13.622;-2.005;-1.175;0.783;59.90848713333333;10.719644116666666;0.0;0.33794588755919514;0.13335710841397808;1.0050932058858209e-08;0.0;0.0;0.0;0.0;0.23774875070666757;0.0;0.0
2024-03-07_15:53:55:805322;59.9084919;10.719647583333334;0.0;59.9084919;10.719647583333334;0.0;1709823235.803325;17.663;1.0514249121984736;0.88;-0.079;0.975;13.798;5.381;1.671;0.015;59.90848713333333;10.719644116666666;0.0;0.4233607814498532;0.15760385182835504;1.448876310594649e-08;0.0;0.0;0.0;0.0;0.2408205301901776;0.0;0.0
2024-03-07_15:53:55:913565;59.90849301666667;10.719648266666667;0.0;59.90849301666667;10.719648266666667;0.0;1709823235.9125674;14.563;1.1914017076461971;0.88;0.696;1.528;13.851;-0.709;0.964;0.46;59.90848713333333;10.719644116666666;0.0;0.531057823847038;0.19397396598612526;2.425691636442906e-08;0.0;0.0;0.0;0.0;0.2417455546937346;0.0;0.0
2024-03-07_15:53:56:020913;59.908493633333336;10.719648516666666;0.0;59.908493633333336;10.719648516666666;0.0;1709823236.019691;16.073;0.6545046794030862;0.88;-0.447;1.127;13.9;-1.542;-1.494;0.085;59.90848713333333;10.719644116666666;0.0;0.6554664750223821;0.2322092110404445;3.678425075648306e-08;0.0;0.0;0.0;0.0;0.2426007660272118;0.0;0.0
2024-03-07_15:53:56:129455;59.908494983333334;10.719649183333333;0.0;59.908494983333334;10.719649183333333;0.0;1709823236.1284418;21.852;1.4249206064319433;0.88;-0.193;0.91;13.971;2.424;0.002;0.449;59.90848713333333;10.719644116666666;0.0;0.7241697604361912;0.2461977131601715;4.509586032375168e-08;-0.947957222670607;1.857529554437748;2.08543495262333;2.0426755226476834;0.24383994979612778;-3.4173981049331914;0.0
2024-03-07_15:53:56:238465;59.908496383333336;10.71965025;0.0;59.908496383333336;10.71965025;0.0;1709823236.2374697;18.423;1.5317576048830603;0.88;0.042;0.844;14.25;-1.986;-0.537;0.984;59.90848713333333;10.719644116666666;0.0;0.8745742495913638;0.2835003855931849;6.504731303591527e-08;-1.134073627107098;1.9798262862294327;2.2816299251510697;2.090986755032027;0.24870941840919197;-11.265197006042786;0.0
2024-03-07_15:53:56:347480;59.90849801666667;10.7196512;0.0;59.90849801666667;10.7196512;0.0;1709823236.3464856;17.063;1.7389733001574106;0.88;-0.996;0.917;14.463;-1.541;1.295;0.521;59.90848713333333;10.719644116666666;0.0;1.0305492767535112;0.3431846629147727;9.195435418662967e-08;-1.3283269097518688;2.078979894098863;2.4671055468378866;2.139351532461075;0.25242696971593986;-18.684221873515465;0.0
2024-03-07_15:53:56:457622;59.908499633333335;10.719652183333334;0.0;59.908499633333335;10.719652183333334;0.0;1709823236.4559236;18.76;1.7208895361563568;0.88;-0.138;1.722;14.605;3.74;1.516;0.381;59.90848713333333;10.719644116666666;0.0;1.212520142882086;0.39634096346412073;1.25780837079148e-07;-1.5515800136725184;2.1855644995279366;2.680315787444609;2.188150264998329;0.25490533725377185;-27.212631497784354;0.0
2024-03-07_15:53:56:566348;59.908501433333335;10.719653183333334;0.0;59.908501433333335;10.719653183333334;0.0;1709823236.5653524;17.854;1.9025974078927788;0.88;0.467;0.777;14.688;-0.127;-5.102;0.233;59.90848713333333;10.719644116666666;0.0;1.3926341651025322;0.4513623929794425;1.660370879674744e-07;-1.7751303544423114;2.287911315859475;2.8957945307808566;2.2306520507882337;0.25635396053292714;-35.83178123123426;0.0
2024-03-07_15:53:56:675687;59.908502266666666;10.719653566666667;0.0;59.908502266666666;10.719653566666667;0.0;1709823236.6746898;19.811;0.8715021578450781;0.88;-0.109;-0.148;14.658;-1.468;0.798;0.073;59.90848713333333;10.719644116666666;0.0;1.593173487779147;0.5073163811406055;2.1780586711983574e-07;-2.0219381009092245;2.389484124439465;3.130154639128335;2.2730695785235095;0.2558303617573288;-45.206185565133396;0.0
2024-03-07_15:53:56:784157;59.90850386666666;10.71965455;0.0;59.90850386666666;10.71965455;0.0;1709823236.7836015;23.435;1.7129056833757124;0.88;-0.225;0.763;14.755;0.605;2.464;0.631;59.90848713333333;10.719644116666666;0.0;1.6860157664597808;0.5287654059306791;2.438105225488485e-07;-2.163597105331068;2.524682291703531;3.32493204565723;2.2793275386107226;0.25752333113176334;-52.997281826289196;0.0
2024-03-07_15:53:56:892214;59.90850545;10.719655683333333;0.0;59.90850545;10.719655683333333;0.0;1709823236.8912163;21.41;1.7418857050367127;0.88;-0.251;1.379;14.952;-0.809;1.307;0.604;59.90848713333333;10.719644116666666;0.0;1.8642729424337636;0.5837868222219237;2.977526595282498e-07;-2.3923821513225887;2.6229693021603664;3.550135253485779;2.310250574659076;0.26096162975819215;-62.00541013943116;0.0
2024-03-07_15:53:57:002602;59.90850701666667;10.719656666666667;0.0;59.90850701666667;10.719656666666667;0.0;1709823237.001606;21.304;1.6578568876515467;0.88;-0.684;1.513;15.149;-0.958;-0.405;0.81;59.90848713333333;10.719644116666666;0.0;2.0406732784906634;0.6472013344944305;3.572081247460446e-07;-2.622940075518823;2.715283062144721;3.775258500729811;2.3388977652139062;0.26439992838462095;-71.01034002919243;0.0
2024-03-07_15:53:57:111511;59.90850701666667;10.719656666666667;0.0;59.90850701666667;10.719656666666667;0.0;1709823237.1105144;21.946;0.0;0.88;-0.709;1.381;15.225;0.289;-1.524;0.614;59.90848713333333;10.719644116666666;0.0;2.2152167673205154;0.7022227404934012;4.222464969894091e-07;-2.8536624076430632;2.813641302783028;4.007488804416274;2.363256126847513;0.2657263786161367;-80.29955217665098;3.1462946223470656
2024-03-07_15:53:57:219265;59.90850773333333;10.719657066666667;0.0;59.90850773333333;10.719657066666667;0.0;1709823237.2172616;22.174;0.7768075841622787;0.88;-0.677;1.305;15.241;0.824;-1.877;0.488;59.90848713333333;10.719644116666666;0.0;2.2152167673205154;0.7022227404934012;4.222464969894091e-07;-2.9114211434823547;2.963754208404383;4.154541139831305;2.347287235896165;0.26600563129645577;-86.1816455932522;3.1219224068995644
2024-03-07_15:53:57:329987;59.90850773333333;10.719657066666667;0.0;59.90850773333333;10.719657066666667;0.0;1709823237.3279932;22.286;0.0;0.88;-0.469;0.995;15.259;2.225;-2.884;0.09;59.90848713333333;10.719644116666666;0.0;2.2950611287355773;0.7246043261527018;4.519966744220838e-07;-3.053164324725076;3.094733766242431;4.347319803936098;2.3494330235223297;0.26631979056181476;-93.89279215744392;3.1246698494407723
2024-03-07_15:53:57:437821;59.90850843333333;10.71965745;0.0;59.90850843333333;10.71965745;0.0;1709823237.4368215;22.045;0.743219590612525;0.88;-0.148;0.63;15.233;2.879;-3.022;-0.21;59.90848713333333;10.719644116666666;0.0;2.2950611287355773;0.7246043261527018;4.519966744220838e-07;-3.1170241274509376;3.245740344408036;4.500074420987866;2.3359676432991376;0.26586600495629625;-100.00297683951462;3.1051524575142615
2024-03-07_15:53:57:547546;59.908509116666664;10.719657783333334;0.0;59.908509116666664;10.719657783333334;0.0;1709823237.5465481;21.552;0.7143393883534136;0.88;0.227;0.275;15.185;1.941;-1.624;-0.151;59.90848713333333;10.719644116666666;0.0;2.37304864407354;0.7460533445588895;4.836905622696008e-07;-3.2612470953794297;3.374028273226811;4.692525908895407;2.3391989154132564;0.26502824691533894;-107.70103635581627;3.1112560027468756
2024-03-07_15:53:57:656524;59.908509116666664;10.719657783333334;0.0;59.908509116666664;10.719657783333334;0.0;1709823237.6555355;21.363;0.0;0.88;0.323;0.217;15.174;0.365;-0.014;0.093;59.90848713333333;10.719644116666666;0.0;2.4491793138419413;0.7647046624993858;5.143930921214235e-07;-3.4060023524518033;3.503895862846436;4.886526193788343;2.34202829572767;0.26483626069761956;-115.4610477515337;3.115788052545075
2024-03-07_15:53:57:765298;59.90850985;10.719658066666668;0.0;59.90850985;10.719658066666668;0.0;1709823237.7645748;21.242;0.7632581837390093;0.88;0.276;0.279;15.188;-0.717;0.935;0.297;59.90848713333333;10.719644116666666;0.0;2.4491793138419413;0.7647046624993858;5.143930921214235e-07;-3.4773471543869277;3.6518808628322326;5.042635924637348;2.331717947685334;0.2650806067928988;-121.70543698549392;3.099956011338653
2024-03-07_15:53:57:874968;59.90850985;10.719658066666668;0.0;59.90850985;10.719658066666668;0.0;1709823237.8734267;21.459;0.0;0.88;0.157;0.397;15.21;-1.564;1.575;0.474;59.90848713333333;10.719644116666666;0.0;2.5308805213631884;0.7805582785124363;5.486747693961291e-07;-3.6323541264957337;3.7819221871824267;5.243751703711122;2.3360242442445207;0.26546457922833755;-129.75006814844488;3.1058394975242756
2024-03-07_15:53:57:984150;59.90851056666666;10.719658383333334;0.0;59.90851056666666;10.719658383333334;0.0;1709823237.9831533;22.186;0.7453682315402448;0.88;-0.17;0.659;15.302;-1.978;1.37;0.735;59.90848713333333;10.719644116666666;0.0;2.5308805213631884;0.7805582785124363;5.486747693961291e-07;-3.708649874898199;3.9277584504867855;5.401978372777216;2.3275097384497294;0.2670702821401723;-136.07913491108863;3.0906591844643354
