;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;north_error;east_error;distance_to_target;yaw_setpoint;current_angle;tau_X;tau_N
2024-03-07_16:01:13:284586;59.90852455;10.71976205;0.0;59.90852455;10.71976205;0.0;1709823673.2845867;48.569;3648317.671042039;0;0.0;0.0;0.0;0.0;0.0;0.0;59.908642666666665;10.71945885;0.0;0.0;0.0;0.0;;;;;;;
2024-03-07_16:01:19:311300;59.908524783333334;10.719762633333334;0.0;59.908524783333334;10.719762633333334;0.0;1709823679.310314;27.125;0.006924804809811871;0.87;0.545;1.189;64.53;0.569;0.617;-0.059;59.90852455;10.71976205;0.0;-13.159425502820268;16.96524483783723;3.60708109266028e-05;5.159425502820268;-16.96524483783723;17.73243367186002;-1.275566429822391;1.126260966311941;-55.890356231940075;-144.10964376805993
2024-03-07_16:01:19:420913;59.90852495;10.71976285;0.0;59.90852495;10.71976285;0.0;1709823679.419917;31.97;0.20232753505617782;0.87;-0.376;0.841;64.533;-2.871;-2.053;0.066;59.90852455;10.71976205;0.0;0.025995837832013237;0.03263981784505434;4.9565880913537974e-11;-8.065995837832013;-0.11263981784505434;8.066782294353029;-3.127628786162021;1.1263133261895006;0.0;200.0
2024-03-07_16:01:19:530999;59.90852525;10.7197633;0.0;59.90852525;10.7197633;0.0;1709823679.5300026;43.191;0.38012498396214994;0.87;-0.347;0.441;64.392;2.278;0.513;-0.658;59.90852455;10.71976205;0.0;0.0445642924941396;0.04476317838353548;-6.089743119497282e-10;-8.124564292494139;-0.20476317838353547;8.127144203352891;-3.116395014303568;1.1238524119441886;-74.39048529935704;125.60951470064296
2024-03-07_16:01:19:640267;59.90852546666667;10.719763883333334;0.0;59.90852546666667;10.719763883333334;0.0;1709823679.6386986;34.932;0.373483573620685;0.87;0.035;1.185;64.121;-1.356;1.404;-0.163;59.90852455;10.71976205;0.0;0.07798751255755332;0.06994246565481771;-3.9513735339280487e-10;-8.197987512557551;-0.3099424656548177;8.203844439533562;-3.1038035112512046;1.1191225696712839;-72.10951664532931;127.89048335467069
2024-03-07_16:01:19:748459;59.90852571666667;10.719764433333333;0.0;59.90852571666667;10.719764433333333;0.0;1709823679.7477877;35.261;0.38048946220185925;0.87;-0.866;0.907;64.138;-1.612;-1.824;-0.003;59.90852455;10.71976205;0.0;0.10212650478579229;0.10258228223418282;2.008631115602011e-09;-8.262126504785789;-0.4225822822341828;8.272926336329974;-3.090490268922307;1.1194192756441232;-70.81429034785376;129.18570965214624
2024-03-07_16:01:19:858846;59.90852595;10.719765033333333;0.0;59.90852595;10.719765033333333;0.0;1709823679.8578901;38.33;0.3856448889670803;0.87;-0.266;0.81;64.036;3.265;1.068;-0.162;59.90852455;10.71976205;0.0;0.12997918931385777;0.1333569659279796;1.4133409234617922e-09;-8.329979189313853;-0.5333569659279797;8.347036776455809;-3.077651330298559;1.1176390398070888;-68.88933263840195;131.11066736159805
2024-03-07_16:01:19:968554;59.90852615;10.7197657;0.0;59.90852615;10.7197657;0.0;1709823679.9675555;43.478;0.396213500286273;0.87;0.227;1.224;64.054;-1.107;0.45;0.264;59.90852455;10.71976205;0.0;0.15597502747365277;0.16692934778123153;3.805634571363292e-09;-8.395975027473648;-0.6469293477812316;8.420861846805336;-3.0646922815659505;1.1179531990724478;-67.38394997949007;132.61605002050993
2024-03-07_16:01:20:075222;59.9085265;10.719766666666667;0.0;59.9085265;10.719766666666667;0.0;1709823680.0742173;50.821;0.6251460274671428;0.87;-0.516;1.161;64.08;-2.103;-0.241;0.078;59.90852455;10.71976205;0.0;0.1782571750522026;0.20423199433556682;5.887303103357944e-09;-8.458257175052196;-0.7642319943355669;8.492712463076098;-3.051483965136936;1.1184069846779663;-65.67429799497214;134.32570200502786
2024-03-07_16:01:20:184078;59.90852701666667;10.719767883333333;0.0;59.90852701666667;10.719767883333333;0.0;1709823680.1830823;53.541;0.8189147211724803;0.87;-0.451;1.278;64.059;1.581;-0.015;-0.074;59.90852455;10.71976205;0.0;0.21725093537052625;0.2583208301206754;7.492378897855367e-09;-8.537250935370519;-0.8983208301206754;8.58438313726231;-3.0367547753852313;1.1180404655350475;-63.650873854241866;136.34912614575813
2024-03-07_16:01:20:293643;59.9085276;10.719769383333333;0.0;59.9085276;10.719769383333333;0.0;1709823680.292084;52.609;0.9738485149172346;0.87;-0.163;1.028;64.03;0.124;-1.08;0.067;59.90852455;10.71976205;0.0;0.2748131519544562;0.3263981558365761;1.4750061769208678e-08;-8.634813151954448;-1.046398155836576;8.697985241980104;-3.020997046231258;1.1175343200519692;-61.63754097358978;138.36245902641022
2024-03-07_16:01:20:404015;59.9085279;10.719770316666667;0.0;59.9085279;10.719770316666667;0.0;1709823680.4024742;56.035;0.5616753177717929;0.87;-0.323;1.16;64.149;0.263;1.229;0.568;59.90852455;10.71976205;0.0;0.33980275339013744;0.4103291029286579;2.2614066896853302e-08;-8.739802753390128;-1.2103291029286578;8.823210793444852;-3.0039831755624897;1.1196112618618426;-59.91836069188159;140.0816393081184
2024-03-07_16:01:20:512076;59.90852845;10.71977245;0.0;59.90852845;10.71977245;0.0;1709823680.5110784;57.725;1.2354713518439235;0.87;0.045;1.262;64.151;0.935;-0.818;-0.352;59.90852455;10.71976205;0.0;0.37322598028138293;0.4625528029590319;2.6784502421550727e-08;-8.813225980281373;-1.3425528029590317;8.914897655511236;-2.9904209796794063;1.1196461684468824;-58.269352681292844;141.73064731870716
2024-03-07_16:01:20:622349;59.90852915;10.71977475;0.0;59.90852915;10.71977475;0.0;1709823680.6213462;57.577;1.3646766352564785;0.87;-0.127;1.022;64.0;-1.67;-0.31;-0.212;59.90852455;10.71976205;0.0;0.43450189775573655;0.5819212587552595;4.140317527712156e-08;-8.914501897755727;-1.5419212587552593;9.046870467365599;-2.970319535362709;1.117010721276371;-55.1264740431414;144.8735259568586
2024-03-07_16:01:20:730799;59.9085299;10.719777316666667;0.0;59.9085299;10.719777316666667;0.0;1709823680.7291853;57.766;1.5407615142964468;0.87;-1.014;1.161;64.175;-1.39;0.519;0.91;59.90852455;10.71976205;0.0;0.5124894318316774;0.7106153680624268;6.101227953414501e-08;-9.032489431831666;-1.7506153680624266;9.200571694359382;-2.950152989019846;1.120065047467361;-53.6238825984172;146.3761174015828
