;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;north_error;east_error;distance_to_target;yaw_setpoint;current_angle;tau_X;tau_N
2024-03-07_15:56:39:030141;59.908488866666666;10.7198563;0.0;59.908488866666666;10.7198563;0.0;1709823399.0301416;151.937;14256260.50739547;0;0.0;0.0;0.0;0.0;0.0;0.0;59.908642666666665;10.71945885;0.0;0.0;0.0;0.0;;;;;;;
2024-03-07_15:56:45:066305;59.90848866666666;10.719856766666666;0.0;59.90848866666666;10.719856766666666;0.0;1709823405.0652907;142.029;0.0056878015230356375;0.88;-0.034;1.192;165.565;-2.661;0.436;0.309;59.908488866666666;10.7198563;0.0;-17.13490385927471;22.23893072333662;6.167191223838131e-05;13.134903859274711;-22.23893072333662;25.828196590349762;-1.0372975478159996;2.889654376064412;-164.65649925051238;35.343500749487625
2024-03-07_15:56:45:173822;59.9084885;10.719857366666666;0.0;59.9084885;10.719857366666666;0.0;1709823405.1732683;141.021;0.3553076985836396;0.88;-0.833;0.971;165.617;-0.814;-1.309;0.171;59.908488866666666;10.7198563;0.0;-0.02228214528063074;0.02611188254131063;-6.341009852611768e-10;-4.017717854719369;-0.10611188254131063;4.019118870069319;-3.115187807787319;2.8905619472754487;82.94495147946705;-92.00917612158042
2024-03-07_15:56:45:284228;59.90848835;10.719857916666667;0.0;59.90848835;10.719857916666667;0.0;1709823405.2832315;146.978;0.31846515931933844;0.88;-0.258;0.751;165.625;3.313;0.64;0.214;59.908488866666666;10.7198563;0.0;-0.040850599358119376;0.05968430327651571;-4.3712810801621593e-10;-4.039149400641881;-0.21968430327651572;4.045119166824601;-3.087257434352718;2.8907015736156083;86.23384139238502;6.03259471653484
2024-03-07_15:56:45:395451;59.9084882;10.7198584;0.0;59.9084882;10.7198584;0.0;1709823405.3938162;157.339;0.2874826791208366;0.88;0.43;0.948;165.847;-0.979;-0.39;0.788;59.908488866666666;10.7198563;0.0;-0.05756220927906193;0.09045902270709083;-1.2378766414689046e-10;-4.062437790720939;-0.3304590227070908;4.075856225281523;-3.060426359761405;2.894576204555036;89.77215788412033;6.2548059199232
2024-03-07_15:56:45:504952;59.908488033333334;10.71985885;0.0;59.908488033333334;10.71985885;0.0;1709823405.503388;149.546;0.2855258102246422;0.88;-0.574;0.774;165.993;-2.803;-0.046;0.17;59.908488866666666;10.7198563;0.0;-0.074273817630892;0.11750347312066546;1.0988249130039485e-09;-4.0857261823691085;-0.43750347312066545;4.109083562826277;-3.034918178120712;2.8971243852629476;93.41032433392989;6.731110452330225
2024-03-07_15:56:45:613400;59.90848783333333;10.7198594;0.0;59.90848783333333;10.7198594;0.0;1709823405.6124072;157.815;0.3485111927427989;0.88;-0.634;0.956;166.008;1.943;0.197;0.224;59.908488866666666;10.7198563;0.0;-0.09284227142794375;0.14268278963375236;1.4583058510764246e-09;-4.107157728572057;-0.5426827896337524;4.142855201130478;-3.010222655043313;2.8973861846507467;97.08554922045256;7.2975487718142755
2024-03-07_15:56:45:722748;59.908487666666666;10.719859883333333;0.0;59.908487666666666;10.719859883333333;0.0;1709823405.7220273;156.525;0.2992638604573033;0.88;0.007;1.137;166.186;0.521;1.17;0.709;59.908488866666666;10.7198563;0.0;-0.11512441644118857;0.17345751006985446;4.208328005517181e-09;-4.124875583558811;-0.6534575100698545;4.176314798636034;-2.984479580304039;2.9004928707192965;100.80961145518964;7.674256285408325
2024-03-07_15:56:45:831613;59.90848751666667;10.719860183333333;0.0;59.90848751666667;10.719860183333333;0.0;1709823405.830612;161.682;0.21813945316962038;0.88;-0.087;1.38;166.371;-0.334;0.058;0.543;59.908488866666666;10.7198563;0.0;-0.13369287068313274;0.200501961521209;4.310001897045446e-09;-4.146307129316868;-0.7605019615212091;4.2154745929849335;-2.9601922268190926;2.9037217298354863;104.78166839362885;8.063901390835172
2024-03-07_15:56:45:940534;59.908487066666666;10.719860866666666;0.0;59.908487066666666;10.719860866666666;0.0;1709823405.9390702;169.319;0.5813392895887176;0.88;-0.063;1.263;166.563;0.148;-0.312;0.725;59.908488866666666;10.7198563;0.0;-0.1504044791427111;0.21728817320085098;4.393783670231244e-09;-4.169595520857289;-0.857288173200851;4.256814515510773;-2.9388138739418515;2.907072761999315;108.89349209462686;8.335041456157326
2024-03-07_15:56:46:049882;59.90848645;10.719861433333334;0.0;59.90848645;10.719861433333334;0.0;1709823406.0488803;164.873;0.6890712243447871;0.88;-0.477;1.126;166.814;-1.766;-0.707;0.632;59.908488866666666;10.7198563;0.0;-0.2005393065377822;0.2555234346819604;7.782269439982059e-09;-4.1594606934622185;-0.9755234346819603;4.272324804140117;-2.911224976069947;2.9114535384218208;111.998549182898;9.06795612515609
2024-03-07_15:56:46:159091;59.908485666666664;10.719862216666666;0.0;59.908485666666664;10.719862216666666;0.0;1709823406.1581051;165.647;0.8941196722055532;0.88;-0.782;0.897;167.035;0.816;-0.139;0.769;59.908488866666666;10.7198563;0.0;-0.2692425881157992;0.2872307275476615;1.023022491719594e-08;-4.130757411884201;-1.0872307275476614;4.271443251497096;-2.8842260794594208;2.915310716068728;114.44426634158515;9.57167736365373
2024-03-07_15:56:46:269827;59.908484666666666;10.719863033333333;0.0;59.908484666666666;10.719863033333333;0.0;1709823406.268821;167.424;1.0876295157068867;0.88;0.189;1.212;167.283;2.566;1.151;0.607;59.908488866666666;10.7198563;0.0;-0.3565143219412451;0.3310613983653768;1.7164817428527712e-08;-4.083485678058755;-1.2110613983653766;4.259286911388064;-2.8532806477388175;2.919639132613674;116.45940180859957;10.283095687115898
2024-03-07_15:56:46:379666;59.90848353333333;10.7198639;0.0;59.90848353333333;10.7198639;0.0;1709823406.3781865;166.973;1.2367479650738566;0.88;0.274;1.451;167.448;-1.486;0.13;0.641;59.908488866666666;10.7198563;0.0;-0.4679250488274401;0.3767572082806886;2.770750298641822e-08;-4.01207495117256;-1.3367572082806884;4.228908280835218;-2.8199769476743075;2.9225189258794653;117.69273733916017;11.100377786304437
2024-03-07_15:56:46:488439;59.9084829;10.71986435;0.0;59.9084829;10.71986435;0.0;1709823406.4874337;169.122;0.6857672209948793;0.88;-0.686;0.906;167.757;-1.616;-2.312;0.842;59.908488866666666;10.7198563;0.0;-0.5941905388932012;0.4252507248338236;4.233054390345714e-08;-3.925809461106799;-1.4652507248338233;4.190338842091616;-2.784370002637752;2.9279119932681277;118.53220624233538;11.744080162088874
2024-03-07_15:56:46:598461;59.90848078333333;10.71986575;0.0;59.90848078333333;10.71986575;0.0;1709823406.5969021;167.848;2.269968461668969;0.88;-0.566;0.563;167.991;1.353;0.972;0.64;59.908488866666666;10.7198563;0.0;-0.6647506639803755;0.4504300525517563;4.934285230406843e-08;-3.895249336019625;-1.5704300525517563;4.1999068965536654;-2.7583604000598005;2.9319960637177944;121.33591465647919;11.875855328011207
2024-03-07_15:56:46:710010;59.90848;10.719866316666668;0.0;59.90848;10.719866316666668;0.0;1709823406.7089982;167.753;0.828335531199846;0.88;-0.119;1.297;168.199;1.236;1.972;0.521;59.908488866666666;10.7198563;0.0;-0.900570033613669;0.5287657476010686;8.506847626321701e-08;-3.6994299663863313;-1.7287657476010687;4.083431533193113;-2.704440638452197;2.9356263485619425;119.0002397373004;14.104011871593467
2024-03-07_15:56:46:819227;59.9084784;10.719867316666667;0.0;59.9084784;10.719867316666667;0.0;1709823406.8175142;166.488;1.7217072210026767;0.88;-0.1;1.565;168.294;-1.129;-0.372;0.479;59.908488866666666;10.7198563;0.0;-0.9878417688595269;0.5604730545069072;1.0086749946403017e-07;-3.652158231140474;-1.8404730545069072;4.089694464095466;-2.6747970461877673;2.937284411351337;121.5334606415469;13.769855761225774
2024-03-07_15:56:46:928955;59.908476783333334;10.719868433333334;0.0;59.908476783333334;10.719868433333334;0.0;1709823406.9279733;165.657;1.7259223325009894;0.88;-0.639;0.86;168.378;0.012;-0.831;-0.331;59.908488866666666;10.7198563;0.0;-1.1660989282252159;0.6164271327343758;1.3513696828226784e-07;-3.513901071774785;-1.9764271327343759;4.031595832077988;-2.629233939315903;2.938750487923012;121.43896479130679;15.394984406273458
2024-03-07_15:56:47:037109;59.90847506666667;10.719869766666667;0.0;59.90847506666667;10.719869766666667;0.0;1709823407.0365558;164.266;1.890647237980293;0.88;-0.047;1.885;167.909;2.071;5.123;-1.618;59.908488866666666;10.7198563;0.0;-1.346212932294439;0.6789091897888917;1.7758424086800062e-07;-3.3737870677055617;-2.1189091897888916;3.983994896180103;-2.5808026134059525;2.930564893731159;121.70018683043502;-32.76639386411691
2024-03-07_15:56:47:149512;59.90847276666667;10.719871433333333;0.0;59.90847276666667;10.719871433333333;0.0;1709823407.1485243;166.495;2.4353892832135333;0.88;0.072;3.046;167.688;-0.58;0.172;0.452;59.908488866666666;10.7198563;0.0;-1.5374680064845727;0.7535146340582757;2.292473567644393e-07;-3.222531993515428;-2.2735146340582757;3.943802890676416;-2.527181149758374;2.926707716084251;122.25818820473877;0.0
2024-03-07_15:56:47:260875;59.9084711;10.719872383333334;0.0;59.9084711;10.719872383333334;0.0;1709823407.259318;168.731;1.7432680555896511;0.88;-0.494;2.183;168.111;-2.137;-0.729;1.646;59.908488866666666;10.7198563;0.0;-1.7937126662919955;0.8467714543472816;3.073978963596957e-07;-3.006287333708005;-2.446771454347282;3.876139069050787;-2.4584425477074108;2.934090458820187;121.63028165100891;0.0
2024-03-07_15:56:47:370978;59.90846701666667;10.7198743;0.0;59.90846701666667;10.7198743;0.0;1709823407.3694377;169.546;4.244452482840312;0.88;-1.125;3.108;168.861;0.243;1.73;2.176;59.908488866666666;10.7198563;0.0;-1.9793972044094266;0.8999278572366336;3.6903277367272835e-07;-2.860602795590574;-2.579927857236634;3.852152139088774;-2.4077384201259386;2.9471804282101446;122.72046365802001;0.0
2024-03-07_15:56:47:478491;59.90846473333333;10.7198753;0.0;59.90846473333333;10.7198753;0.0;1709823407.4775321;170.344;2.409641322201276;0.88;-1.038;3.145;169.028;1.349;0.064;2.165;59.908488866666666;10.7198563;0.0;-2.4343243255578604;1.007173269579665;5.417961512765856e-07;-2.4456756744421404;-2.7671732695796654;3.6930444633708697;-2.2945984415503218;2.9500951280609753;117.72177853483478;0.0
2024-03-07_15:56:47:588287;59.90846225;10.719876333333334;0.0;59.90846225;10.719876333333334;0.0;1709823407.5872886;170.703;2.5752197077828565;0.88;-0.798;2.867;169.257;2.221;-3.312;1.994;59.908488866666666;10.7198563;0.0;-2.6887121440752972;1.063127413097684;6.54999288141056e-07;-2.2312878559247036;-2.9031274130976845;3.661528952866045;-2.2260834508122107;2.9540919320480423;116.46115811464179;0.0
2024-03-07_15:56:47:693748;59.908459666666666;10.7198773;0.0;59.908459666666666;10.7198773;0.0;1709823407.6927373;170.814;2.7771742320127517;0.88;-0.517;2.409;169.508;2.222;-3.986;2.281;59.908488866666666;10.7198563;0.0;-2.965382108777149;1.1209467070177617;7.864196645002153e-07;-1.9946178912228518;-3.0409467070177625;3.636737192444413;-2.15132201256575;2.9584727084705484;115.46948769777651;0.0
2024-03-07_15:56:47:802805;59.908459666666666;10.7198773;0.0;59.908459666666666;10.7198773;0.0;1709823407.8017917;170.811;0.0;0.88;-0.422;2.129;169.679;1.046;-3.414;2.268;59.908488866666666;10.7198563;0.0;-3.253193143902949;1.1750357408048568;9.354914203285603e-07;-1.7468068560970518;-3.1750357408048573;3.6238358334637506;-2.073769428266933;2.9614572214914583;114.95343333855003;0.0
