;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;north_error;east_error;distance_to_target;yaw_setpoint;current_angle;tau_X;tau_N
2024-03-07_15:16:30:477202;59.908308033333334;10.719238083333334;0.0;59.908308033333334;10.719238083333334;0.0;1709820990.477203;-159.188;3079156.973602467;0;0.0;0.0;0.0;0.0;0.0;0.0;59.908642666666665;10.71945885;0.0;0.0;0.0;0.0;;;;;;;
2024-03-07_15:16:36:511053;59.90830786666667;10.719238033333333;0.0;59.90830786666667;10.719238033333333;0.0;1709820996.510076;-173.099;0.003112619337128753;0.91;-0.988;0.03;124.847;-2.165;1.842;-0.071;59.908308033333334;10.719238083333334;0.0;-37.2817235437386;-12.352852688410064;0.00012080300452055326;27.2817235437386;12.352852688410064;29.948045162556785;0.4251704846761001;2.1789912112373604;-42.15613460948657;-157.84386539051343
2024-03-07_15:16:36:619398;59.90830758333333;10.71923805;0.0;59.90830758333333;10.71923805;0.0;1709820996.6183898;164.118;0.29156161585731116;0.91;-0.954;0.962;124.716;2.176;1.989;-0.371;59.908308033333334;10.719238083333334;0.0;-0.018568453832760734;-0.0027977168803436244;9.358523539448882e-10;-9.98143154616724;0.0027977168803436244;9.981431938256268;3.1413123614499194;2.176704829917248;0.0;200.0
2024-03-07_15:16:36:727724;59.908307316666665;10.719238183333333;0.0;59.908307316666665;10.719238183333333;0.0;1709820996.7267628;164.589;0.2826531383221787;0.91;0.42;1.346;124.516;3.337;0.563;-0.438;59.908308033333334;10.719238083333334;0.0;-0.05013482747296483;-0.0018651446297650092;1.1164298999166711e-10;-9.949865172527035;0.0018651446297650092;9.949865347341689;3.1414051993303054;2.1732141714132593;109.1595045998977;90.8404954001023
2024-03-07_15:16:36:834066;59.90830711666667;10.719238316666667;0.0;59.90830711666667;10.719238316666667;0.0;1709820996.8331037;-178.163;0.22096827786554632;0.91;0.696;1.246;124.265;-0.914;-1.44;-0.695;59.908308033333334;10.719238083333334;0.0;-0.07984435450980465;0.0055954338990227195;2.2379081227041908e-10;-9.920155645490196;-0.0055954338990227195;9.920157223533886;-3.141028606662952;2.1688333949907537;106.93027410207547;93.06972589792453
2024-03-07_15:16:36:945398;59.90830691666667;10.719238216666668;0.0;59.90830691666667;10.719238216666668;0.0;1709820996.9444342;-168.727;0.20635818340006087;0.91;0.279;0.327;124.039;-0.492;-1.845;-0.189;59.908308033333334;10.719238083333334;0.0;-0.10212649972638414;0.013056012627762695;2.4960686989539127e-09;-9.897873500273615;-0.013056012627762695;9.897882111183401;-3.140273581866445;2.1648889508812466;105.86015295654931;94.13984704345069
2024-03-07_15:16:37:056233;59.9083066;10.71923795;0.0;59.9083066;10.71923795;0.0;1709820997.0552716;-175.555;0.3456021336560124;0.91;-0.204;0.586;123.98;-2.632;2.798;-0.143;59.908308033333334;10.719238083333334;0.0;-0.12440864579380018;0.007460578799562908;1.0461149377305468e-09;-9.8755913542062;-0.007460578799562908;9.87559417227684;-3.1408371973226505;2.1638592066225697;106.93247173308568;93.06752826691432
2024-03-07_15:16:37:165597;59.9083065;10.71923785;0.0;59.9083065;10.71923785;0.0;1709820997.1646347;161.308;0.11399874349034216;0.91;-1.441;1.866;123.87;-1.408;2.23;-0.101;59.908308033333334;10.719238083333334;0.0;-0.15968870872498614;-0.007460578670247121;2.771100821030714e-09;-9.840311291275015;0.007460578670247121;9.840314119449067;3.140834488830577;2.161939344445376;105.9594150401607;94.0405849598393
2024-03-07_15:16:37:275815;59.90830625;10.719237966666666;0.0;59.90830625;10.719237966666666;0.0;1709820997.2748165;148.276;0.2596386831729609;0.91;-0.459;1.518;123.704;5.483;-2.929;-0.641;59.908308033333334;10.719238083333334;0.0;-0.17082978270029628;-0.013056012787618193;2.5768732564435126e-09;-9.829170217299703;0.013056012787618193;9.829178888397616;3.1402643619008224;2.1590420978870655;103.81962236232077;96.18037763767923
2024-03-07_15:16:37:385158;59.9083059;10.719238366666668;0.0;59.9083059;10.719238366666668;0.0;1709820997.3841476;142.029;0.4112332302623163;0.91;1.039;0.525;123.563;1.983;-2.359;0.259;59.908308033333334;10.719238083333334;0.0;-0.19868246445103804;-0.0065280063875591265;3.938435508277216e-09;-9.801317535548963;0.0065280063875591265;9.801319709484382;3.1409266201306583;2.1565811836417534;102.16046053880889;97.83953946119111
2024-03-07_15:16:37:495500;59.90830545;10.719239133333334;0.0;59.90830545;10.719239133333334;0.0;1709820997.4945385;141.727;0.5977221320701691;0.91;0.477;0.376;123.696;-3.509;2.499;0.311;59.908308033333334;10.719238083333334;0.0;-0.2376762189461012;0.015853730313481876;4.74271638628565e-09;-9.7623237810539;-0.015853730313481876;9.762336654044223;-3.1399686840583425;2.158902471546906;102.77206906094206;97.22793093905794
2024-03-07_15:16:37:606800;59.9083048;10.719240216666666;0.0;59.9083048;10.719240216666666;0.0;1709820997.605796;143.428;0.8488293396530042;0.91;-0.644;1.894;123.755;-1.439;3.735;0.353;59.908308033333334;10.719238083333334;0.0;-0.2878110456966211;0.058752059636884985;7.425795311988281e-09;-9.712188954303379;-0.058752059636884985;9.712366657442672;-3.1355434155376893;2.1599322158055823;99.7833011670812;100.2166988329188
