;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;north_error;east_error;distance_to_target;yaw_setpoint;current_angle;tau_X;tau_N
2024-03-07_11:55:29:875140;0.0;0.0;0.0;0.0;0.0;0.0;1709808928.356441;0;0;0;0;0;0;0;0;0;59.908642666666665;10.71945885;0.0;0.0;0.0;0.0;;;;;;;
2024-03-07_11:55:35:919216;0.0;0.0;0.0;0.0;0.0;0.0;1709808928.356441;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;-5403667.344084047;-1186335.5269152317;3220066.8878556937;5403657.344084047;1186335.5269152317;5532350.736774983;0.21611442842214978;0.0;180.5497014420065;19.45029855799349
2024-03-07_11:55:36:136503;0.0;0.0;0.0;0.0;0.0;0.0;1709808928.356441;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;-9.9;0.0;9.9;3.141592653589793;0.0;0.0;-200.0
2024-03-07_11:55:36:244760;0.0;0.0;0.0;0.0;0.0;0.0;1709808928.356441;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;-9.8;0.0;9.8;3.141592653589793;0.0;0.0;-200.0
2024-03-07_11:55:36:354424;0.0;0.0;0.0;0.0;0.0;0.0;1709808928.356441;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;-9.700000000000001;0.0;9.700000000000001;3.141592653589793;0.0;0.0;-200.0
2024-03-07_11:55:36:431641;0.0;0.0;0.0;0.0;0.0;0.0;1709808928.356441;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;-9.600000000000001;0.0;9.600000000000001;3.141592653589793;0.0;0.0;-200.0
2024-03-07_11:55:36:574041;0.0;0.0;0.0;0.0;0.0;0.0;1709808928.356441;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;-9.500000000000002;0.0;9.500000000000002;3.141592653589793;0.0;0.0;-200.0
2024-03-07_11:55:36:681269;0.0;0.0;0.0;0.0;0.0;0.0;1709808928.356441;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;-9.400000000000002;0.0;9.400000000000002;3.141592653589793;0.0;0.0;-200.0
2024-03-07_11:55:36:791762;0.0;0.0;0.0;0.0;0.0;0.0;1709808928.356441;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;-9.300000000000002;0.0;9.300000000000002;3.141592653589793;0.0;0.0;-200.0
2024-03-07_11:55:36:900657;0.0;0.0;0.0;0.0;0.0;0.0;1709808928.356441;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;-9.200000000000003;0.0;9.200000000000003;3.141592653589793;0.0;0.0;-200.0
