;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;north_error;east_error;distance_to_target;yaw_setpoint;current_angle;tau_X;tau_N
2024-03-07_16:02:41:482205;59.90850376666667;10.720011666666666;0.0;59.90850376666667;10.720011666666666;0.0;1709823761.4812438;16.701;6900088.052148274;0;0.0;0.0;0.0;0.0;0.0;0.0;59.908642666666665;10.71945885;0.0;0.0;0.0;0.0;;;;;;;
2024-03-07_16:02:47:519575;59.908503933333336;10.720011716666667;0.0;59.908503933333336;10.720011716666667;0.0;1709823767.5185783;2.848;0.003110319227838837;0.87;-1.172;0.643;-106.005;-3.506;0.531;0.652;59.90850376666667;10.720011666666666;0.0;-15.474821592285045;30.932308578942823;9.35764620679791e-05;7.4748215922850445;-30.932308578942823;31.822644011135065;-1.3336909024761594;-1.850136273576589;169.01327773397423;30.986722266025772
2024-03-07_16:02:47:628323;59.9085042;10.72001165;0.0;59.9085042;10.72001165;0.0;1709823767.6273193;0.373;0.2753587200214104;0.87;-0.716;0.955;-105.774;3.978;0.86;0.705;59.90850376666667;10.720011666666666;0.0;0.018568456053134404;0.002797700557429158;-6.517468752187394e-10;-8.058568456053134;-0.08279770055742916;8.05899379700172;-3.1313185226849045;-1.8461045630044821;0.0;-200.0
2024-03-07_16:02:47:738197;59.90850445;10.720011533333333;0.0;59.90850445;10.720011533333333;0.0;1709823767.7372015;16.649;0.260346742941665;0.87;0.217;1.131;-105.554;0.378;0.005;0.762;59.90850376666667;10.720011666666666;0.0;0.048277984422321944;-0.0009325667742392648;-1.380647048077055e-09;-8.12827798442232;-0.15906743322576075;8.12983428123585;-3.122025516227558;-1.8422648386500946;94.6123551797831;-76.28935588277557
2024-03-07_16:02:47:848490;59.90850473333333;10.720011533333333;0.0;59.90850473333333;10.720011533333333;0.0;1709823767.8475087;23.561;0.28616779812686516;0.87;-0.481;1.087;-105.266;-1.878;0.072;0.782;59.90850376666667;10.720011666666666;0.0;0.07613066648948355;-0.0074605342666322835;2.4287664240896234e-10;-8.19613066648948;-0.2325394657333677;8.199428791403268;-3.113228403416634;-1.837238290404351;97.02395630182266;-76.21758285661976
2024-03-07_16:02:47:957245;59.90850495;10.720011616666667;0.0;59.90850495;10.720011616666667;0.0;1709823767.9562442;9.268;0.22610099575943318;0.87;-0.489;1.063;-105.014;1.527;-0.272;0.782;59.90850376666667;10.720011666666666;0.0;0.1076970397940823;-0.007460534220000696;6.751945530458769e-10;-8.26769703979408;-0.3125394657799993;8.273602314559833;-3.1038081634286443;-1.8328400606893251;99.50088648815338;-75.79623079619343
2024-03-07_16:02:48:064847;59.908505166666664;10.7200114;0.0;59.908505166666664;10.7200114;0.0;1709823768.063885;-53.543;0.25094910515039726;0.87;-0.042;0.711;-104.714;0.802;-1.476;0.875;59.90850376666667;10.720011666666666;0.0;0.13183603228104537;-0.0027977002897247444;1.4469322962007425e-10;-8.331836032281041;-0.39720229971027526;8.341298540138208;-3.093955878138261;-1.8276040729333423;101.88149404796147;-75.55224676834999
2024-03-07_16:02:48:172994;59.90850523333334;10.720011083333333;0.0;59.90850523333334;10.720011083333333;0.0;1709823768.1720104;-74.744;0.1776872725355988;0.87;-0.051;0.894;-104.367;-0.592;2.357;1.25;59.90850376666667;10.720011666666666;0.0;0.1559750236830278;-0.01492106819018452;2.2146431355452023e-09;-8.395975023683024;-0.4650789318098155;8.408846235431024;-3.086256123573318;-1.821547780428922;104.2806282210006;-75.73050472760859
2024-03-07_16:02:48:283012;59.908505383333335;10.7200094;0.0;59.908505383333335;10.7200094;0.0;1709823768.2814932;-80.435;0.873747497024973;0.87;-0.394;1.649;-103.81;-0.71;-0.069;1.385;59.90850376666667;10.720011666666666;0.0;0.163402406000624;-0.032639836839954334;1.8938767498699605e-09;-8.443402406000619;-0.5273601631600457;8.459855372956753;-3.0792154283205715;-1.8118262964953136;106.46025094190428;-76.28820733337271
2024-03-07_16:02:48:390342;59.90850545;10.7200086;0.0;59.90850545;10.7200086;0.0;1709823768.3893814;-83.719;0.4205762082501079;0.87;-0.539;1.13;-103.293;-0.158;-0.891;1.786;59.90850376666667;10.720011666666666;0.0;0.18011401720893208;-0.12682908000295232;3.3625814216398098e-09;-8.500114017208926;-0.5131709199970477;8.515590566642004;-3.0812936024043007;-1.8028029442625029;107.73385849963006;-77.73842357383455
2024-03-07_16:02:48:501546;59.9085056;10.720006733333333;0.0;59.9085056;10.720006733333333;0.0;1709823768.5005481;-86.902;0.95150745458761;0.87;-0.42;1.777;-102.606;0.512;1.723;1.613;59.90850376666667;10.720011666666666;0.0;0.1875414008555362;-0.17159228465739515;3.811950477494719e-09;-8.547541400855529;-0.5484077153426048;8.565116170933504;-3.0775207711663644;-1.7908125323013018;108.47674256400255;-77.94170666513583
2024-03-07_16:02:48:611917;59.90850565;10.7200048;0.0;59.90850565;10.7200048;0.0;1709823768.6109197;-91.747;0.9814217129984978;0.87;-0.477;1.184;-102.099;-0.604;-4.282;1.762;59.90850376666667;10.720011666666666;0.0;0.20425301615413843;-0.27603976110038875;8.727297204358386e-09;-8.60425301615413;-0.5239602388996112;8.620191662483217;-3.0807722645737603;-1.7819637129936905;109.30287493724825;-79.02483804148763
2024-03-07_16:02:48:722148;59.90850571666667;10.72000255;0.0;59.90850571666667;10.72000255;0.0;1709823768.7206109;-92.248;1.1497319759640492;0.87;-0.456;0.34;-101.612;1.249;0.084;1.304;59.90850376666667;10.720011666666666;0.0;0.20982356373612493;-0.3842175046533542;1.3155908487605394e-08;-8.649823563736115;-0.4957824953466457;8.664020311983155;-3.0843382325134394;-1.773463959536478;109.96030467974732;-79.74708726477017
2024-03-07_16:02:48:831318;59.908505766666664;10.720000033333333;0.0;59.908505766666664;10.720000033333333;0.0;1709823768.830322;-89.215;1.2845339089617924;0.87;0.495;1.162;-101.249;2.319;1.088;0.893;59.90850376666667;10.720011666666666;0.0;0.21725096129298768;-0.5101140160125945;2.3818799294028636e-08;-8.697250961292978;-0.4498859839874053;8.708878899278595;-3.0899113381484673;-1.7671284143517387;110.63318348917892;-80.45775174246232
2024-03-07_16:02:48:941629;59.90850591666667;10.719997033333334;0.0;59.90850591666667;10.719997033333334;0.0;1709823768.9406598;-89.16;1.528868008332026;0.87;0.198;0.836;-100.768;-3.526;-0.683;1.624;59.90850376666667;10.720011666666666;0.0;0.22282151876610926;-0.6509315954453877;3.720831726061746e-08;-8.742821518766098;-0.3890684045546121;8.751474294792976;-3.0971205259206234;-1.758733380649646;111.27211442189464;-81.71745219875238
2024-03-07_16:02:49:052235;59.908505983333335;10.719995366666666;0.0;59.908505983333335;10.719995366666666;0.0;1709823769.0507026;-89.838;0.8501417058088595;0.87;-1.382;1.501;-100.154;-1.704;2.418;1.401;59.90850376666667;10.720011666666666;0.0;0.23953316162074495;-0.8187936077192601;5.59390893051237e-08;-8.799533161620733;-0.30120639228073975;8.804686772010335;-3.1073761979903205;-1.7480170590424007;112.07030158015502;-83.45817559529122
2024-03-07_16:02:49:161612;59.908506116666665;10.719992166666668;0.0;59.908506116666665;10.719992166666668;0.0;1709823769.1605887;-88.203;1.6350370376640513;0.87;-0.356;1.61;-99.738;4.9;-1.579;1.296;59.90850376666667;10.720011666666666;0.0;0.24696056522271131;-0.9120502810477222;6.902861306168351e-08;-8.846960565222698;-0.2879497189522777;8.851645399768916;-3.1090562700216005;-1.7407564893541043;112.77468099653375;-82.91557555610025
2024-03-07_16:02:49:270105;59.9085063;10.71998875;0.0;59.9085063;10.71998875;0.0;1709823769.2685618;-92.686;1.7806676867076952;0.87;0.163;0.865;-99.206;-2.723;-0.621;1.606;59.90850376666667;10.720011666666666;0.0;0.2618153776774878;-1.091103092536015;9.825042714128873e-08;-8.901815377677474;-0.18889690746398502;8.903819352384941;-3.1203757945225625;-1.7314713377334947;113.55729028577412;-85.2329695368007
2024-03-07_16:02:49:379024;59.90850635;10.719985233333333;0.0;59.90850635;10.719985233333333;0.0;1709823769.3780131;-95.21;1.798520687795254;0.87;-1.093;1.763;-98.789;-2.485;3.662;0.233;59.90850376666667;10.720011666666666;0.0;0.2822407412142522;-1.2822792683453272;1.3392903840114823e-07;-8.962240741214238;-0.07772073165467286;8.96257773275129;-3.132920850891654;-1.7241933147526782;113.6561235873412;-86.3438764126588
2024-03-07_16:02:49:488135;59.90850626666667;10.719981116666666;0.0;59.90850626666667;10.719981116666666;0.0;1709823769.4871387;-99.527;2.1125289004112946;0.87;-0.17;1.573;-99.721;5.797;-3.365;-4.035;59.90850376666667;10.720011666666666;0.0;0.28781135066998287;-1.4790508485426852;1.7744151406540176e-07;-9.007811350669968;0.039050848542685035;9.007895997292076;3.1372574602356154;-1.7404597833812654;115.11843995938113;-84.02939384979969
2024-03-07_16:02:49:596979;59.90850596666667;10.719976183333333;0.0;59.90850596666667;10.719976183333333;0.0;1709823769.5959775;-103.635;2.554749449712746;0.87;0.902;1.218;-101.469;-0.984;1.247;-4.263;59.90850376666667;10.720011666666666;0.0;0.2785272220451865;-1.7093948374676187;2.337542810981752e-07;-9.03852722204517;0.18939483746761843;9.040511310103593;3.120641549448461;-1.7709681387061262;115.60766965155389;-82.21811320355685
2024-03-07_16:02:49:707236;59.9085054;10.719970816666667;0.0;59.9085054;10.719970816666667;0.0;1709823769.7062392;-106.197;2.78293699750415;0.87;-0.029;1.181;-103.303;-1.616;-1.816;-5.621;59.90850376666667;10.720011666666666;0.0;0.24510413970332856;-1.9854346108514602;3.1198759573025647e-07;-9.045104139703312;0.3854346108514599;9.053312583652472;3.0990059055924797;-1.8029774771877023;115.79968875478708;-81.93129044222434
2024-03-07_16:02:49:817501;59.90850495;10.719967883333334;0.0;59.90850495;10.719967883333334;0.0;1709823769.8165035;-106.793;1.5564238263201922;0.87;-0.186;0.989;-105.374;-0.072;1.375;-4.77;59.90850376666667;10.720011666666666;0.0;0.1819715664883959;-2.285721143365989;4.116017199157218e-07;-9.021971566488379;0.6057211433659886;9.042282292101113;3.0745548135648724;-1.8391232459965048;115.6342343815167;-81.10983077732138
2024-03-07_16:02:49:925397;59.9085041;10.7199618;0.0;59.9085041;10.7199618;0.0;1709823769.9243522;-109.283;3.2760219071436074;0.87;-0.244;1.184;-105.965;-0.458;1.609;-4.931;59.90850376666667;10.720011666666666;0.0;0.13183684245210053;-2.4498529272284206;4.6962379097320595e-07;-9.011836842452082;0.6898529272284202;9.038202273471331;3.0651920063885387;-1.8494381418757915;115.57303410206997;-82.02502945411186
