;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;north_error;east_error;distance_to_target;yaw_setpoint;current_angle;tau_X;tau_N
2024-03-07_15:42:54:082492;59.90849025;10.71947345;0.0;59.90849025;10.71947345;0.0;1709822574.0820527;79.786;2484129.539254107;0;0.0;0.0;0.0;0.0;0.0;0.0;59.908642666666665;10.71945885;0.0;0.0;0.0;0.0;;;;;;;
2024-03-07_15:43:00:121475;59.90849045;10.719473666666667;0.0;59.90849045;10.719473666666667;0.0;1709822580.1205056;86.078;0.0042008632230031385;0.88;-0.397;0.65;-118.021;-1.805;0.771;-0.33;59.90849025;10.71947345;0.0;-16.980852328257804;0.8169288590421657;2.26386087653907e-05;16.980852328257804;-0.8169288590421657;17.000491715089726;-0.04807176150872013;-2.0598550364962276;0.0;200.0
2024-03-07_15:43:00:231128;59.9084906;10.719473933333333;0.0;59.9084906;10.719473933333333;0.0;1709822580.2301323;83.394;0.20436148903815213;0.88;-0.666;1.248;-118.168;0.66;1.568;-0.357;59.90849025;10.71947345;0.0;0.022282145891734752;0.012123373374334482;-6.26141905685218e-10;0.0;0.0;0.0;0.0;-2.0624206704966594;0.0;-183.51204497123155
2024-03-07_15:43:00:339798;59.90849075;10.7194742;0.0;59.90849075;10.7194742;0.0;1709822580.3387961;86.766;0.20617252566404634;0.88;-0.116;1.164;-118.381;1.193;-1.803;-0.561;59.90849025;10.71947345;0.0;0.03899375530233773;0.02704444817740708;-5.62302673173809e-10;0.0;0.0;0.0;0.0;-2.0661382218034072;0.0;0.0
2024-03-07_15:43:00:451624;59.908490916666665;10.7194745;0.0;59.908490916666665;10.7194745;0.0;1709822580.4496264;91.147;0.22585219673359258;0.88;-0.207;0.4;-118.493;-0.979;-1.37;0.052;59.90849025;10.71947345;0.0;0.055705364193649326;0.04196552295270911;1.3534018836192097e-09;0.0;0.0;0.0;0.0;-2.0680929905656407;0.0;0.0
2024-03-07_15:43:00:560021;59.90849105;10.719474733333334;0.0;59.90849105;10.719474733333334;0.0;1709822580.5590243;85.952;0.1807785723039107;0.88;-0.232;0.99;-118.498;1.316;3.443;-0.067;59.90849025;10.71947345;0.0;0.07427382082181616;0.0587517319131095;3.340371729221303e-11;0.0;0.0;0.0;0.0;-2.068180257028241;0.0;0.0
2024-03-07_15:43:00:668453;59.908491166666664;10.719474683333333;0.0;59.908491166666664;10.719474683333333;0.0;1709822580.6669085;170.079;0.12323959949847359;0.88;0.097;1.685;-118.484;-0.359;-0.445;0.36;59.90849025;10.71947345;0.0;0.08912858481929822;0.07180767190362346;1.4503295231449442e-09;0.0;0.0;0.0;0.0;-2.0679359109329614;0.0;0.0
2024-03-07_15:43:00:777981;59.90849121666667;10.71947445;0.0;59.90849121666667;10.71947445;0.0;1709822580.7774253;-152.977;0.1284389753222678;0.88;-0.594;1.148;-118.471;-1.248;-0.635;-0.083;59.90849025;10.71947345;0.0;0.10212650351803855;0.06900997017572835;1.057444722063483e-09;0.0;0.0;0.0;0.0;-2.067709018130202;0.0;0.0
2024-03-07_15:43:00:888730;59.908491166666664;10.719473883333333;0.0;59.908491166666664;10.719473883333333;0.0;1709822580.8867345;-132.254;0.29451225904717526;0.88;-0.517;1.294;-118.395;1.019;0.48;0.496;59.90849025;10.71947345;0.0;0.10769703956448257;0.055954029733454744;1.1919625564349445e-09;0.0;0.0;0.0;0.0;-2.0663825678986862;0.0;0.0
2024-03-07_15:43:00:997749;59.90849108333333;10.719472966666666;0.0;59.90849108333333;10.719472966666666;0.0;1709822580.9967475;-133.013;0.4738048028633311;0.88;-0.257;1.296;-118.303;0.725;-0.242;0.217;59.90849025;10.71947345;0.0;0.10212650315756718;0.024246746173730335;8.4855812654272e-10;0.0;0.0;0.0;0.0;-2.0647768649868516;0.0;0.0
