;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;n1;n2;north_error;east_error;distance_to_target;yaw_setpoint;current_angle;tau_X;tau_N;target_north_from_observer;target_east_from_observer
2024-03-22_12:29:35:691286;59.9080289;10.718996383333334;0.0;59.9080289;10.718996383333334;0.0;1711106975.6907623;32.201;897071.4935785522;0;0.0;0.0;0.0;0.0;0.0;0.0;59.908642666666665;10.71945885;0.0;0.0;0.0;0.0;;;;;;;;;;;
2024-03-22_12:29:38:702983;59.90803031666667;10.718998866666666;0.0;59.90803031666667;10.718998866666666;0.0;1711106978.7004418;45.351;0.06986931783923266;0.76;1.556;1.264;-123.892;-18.84;3.841;3.098;59.9080289;10.718996383333334;0.0;-68.38010090509869;-25.87723336775162;0.0004186135620258824;1096.44653128031;0.954929658551372;53.380100905098686;25.87723336775162;59.32171928903945;0.4513919982336193;-2.1623233168808147;47.318291317433946;96.70746665923406;-15.04;-0.08
2024-03-22_12:29:38:802127;59.908031466666664;10.719002;0.0;59.908031466666664;10.719002;0.0;1711106978.8002527;33.938;2.175684921233031;0.76;-3.842;2.171;-122.37;-6.194;-2.079;5.964;59.9080289;10.718996383333334;0.0;0.15783186089154175;0.13895443293949736;2.415863675775398e-09;0.954929658551372;1094.55320343148;-15.19783186089154;-0.21895443293949735;15.199409012051548;-3.1271866983138588;-2.135759405665461;0.0;-200.0;-15.079999999999998;-0.16
2024-03-22_12:29:38:902199;59.908032866666666;10.719004633333334;0.0;59.908032866666666;10.719004633333334;0.0;1711106978.9003322;33.658;2.144028303835687;0.76;0.026;-0.181;-121.178;15.53;-1.245;-0.369;59.9080289;10.718996383333334;0.0;0.2859542039368214;0.3142794787085621;1.4073668369585235e-08;0.954929658551372;751.5270429046981;-15.36595420393682;-0.47427947870856213;15.373271923094565;-3.1107368443524566;-2.1149550809816886;43.09428595586315;-37.19198946762772;-15.119999999999997;-0.24
2024-03-22_12:29:39:002269;59.90803415;10.719007333333334;0.0;59.90803415;10.719007333333334;0.0;1711106979.0004444;45.909;2.07779530772659;0.76;2.319;2.137;-120.564;-5.999;5.801;3.381;59.9080289;10.718996383333334;0.0;0.44192923008916024;0.46162710792500594;3.1680934597932975e-08;0.954929658551372;749.5745973481086;-15.561929230089158;-0.7016271079250059;15.577738024529701;-3.0965370397473984;-2.1042387593744434;44.294347863761296;-36.4366369097674;-15.159999999999997;-0.32
2024-03-22_12:29:39:102275;59.90803531666667;10.719010083333334;0.0;59.90803531666667;10.719010083333334;0.0;1711106979.100489;28.139;2.013423738949243;0.76;-2.139;0.685;-118.763;-5.914;-3.056;4.304;59.9080289;10.718996383333334;0.0;0.5849063460061829;0.6127050468172707;5.648846373995653e-08;0.954929658551372;767.3991699003667;-15.744906346006179;-0.9327050468172706;15.77250818826429;-3.0824232752110956;-2.0728053795460255;45.031874915481744;-38.74081521249415;-15.199999999999996;-0.4
2024-03-22_12:29:39:202321;59.9080366;10.719012083333334;0.0;59.9080366;10.719012083333334;0.0;1711106979.200572;29.653;1.8141995837308227;0.76;-0.247;1.634;-117.323;9.876;3.173;5.285;59.9080289;10.718996383333334;0.0;0.7148855529370333;0.7665807166969876;8.491453490355738e-08;0.954929658551372;767.89027878637;-15.91488555293703;-1.1665807166969877;15.957584175922527;-3.068422284291582;-2.047672638317307;45.425086008985296;-38.657872425226394;-15.239999999999995;-0.48000000000000004
2024-03-22_12:29:39:302258;59.90803771666667;10.719014066666666;0.0;59.90803771666667;10.719014066666666;0.0;1711106979.300659;36.46;1.665727195613867;0.76;0.314;0.75;-116.211;-3.693;-4.919;0.898;59.9080289;10.718996383333334;0.0;0.8578626727840455;0.8784902764542022;1.1738145178075143e-07;0.954929658551372;769.8020966824079;-16.09786267278404;-1.3584902764542022;16.155082124923858;-3.057402649846689;-2.0282645770351304;45.90942233191392;-38.748748571604175;-15.279999999999994;-0.56
2024-03-22_12:29:39:402600;59.90803815;10.719015033333333;0.0;59.90803815;10.719015033333333;0.0;1711106979.4008327;23.988;0.7237756010629555;0.76;0.92;1.519;-114.473;0.709;5.852;6.169;59.9080289;10.718996383333334;0.0;0.9822713422025321;0.9894672525886359;1.5163611405411004e-07;0.954929658551372;781.0951811974056;-16.262271342202528;-1.549467252588636;16.335921093536975;-3.046599538816106;-1.9979307546354688;46.08733961552329;-40.359672476849624;-15.319999999999993;-0.64
2024-03-22_12:29:39:502401;59.908039216666666;10.71901705;0.0;59.908039216666666;10.71901705;0.0;1711106979.500856;24.897;1.6384371333188648;0.76;-2.071;1.218;-112.725;-9.312;-6.245;3.771;59.9080289;10.718996383333334;0.0;1.030549335708696;1.0435568720623007;1.670681952226083e-07;0.954929658551372;788.088757571735;-16.35054933570869;-1.6835568720623009;16.436995690238287;-3.038987862229433;-1.967422399310608;45.916137475830084;-41.48070690279163;-15.359999999999992;-0.72
