;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;n1;n2;north_error;east_error;distance_to_target;yaw_setpoint;current_angle;tau_X;tau_N;target_north_from_observer;target_east_from_observer
2024-03-22_12:36:10:242872;59.907683;10.718082166666667;0.0;59.907683;10.718082166666667;0.0;1711107370.242146;-70.454;187107.27038550342;0;0.0;0.0;0.0;0.0;0.0;0.0;59.908642666666665;10.71945885;0.0;0.0;0.0;0.0;;;;;;;;;;;
2024-03-22_12:36:13:255429;59.9076836;10.718080016666667;0.0;59.9076836;10.718080016666667;0.0;1711107373.2543628;6.173;0.045690044462858195;0.75;-1.273;1.277;-92.863;8.035;9.816;5.411;59.907683;10.718082166666667;0.0;-106.91635857918232;-77.03285222788938;0.001359401610812938;1158.25518358605;0.954929658551372;111.91635857890564;77.03292661448606;135.8651651467549;0.6028358177777967;-1.6207651032794943;117.72676592088023;82.27323407911977;4.999999999723331;7.438659667900148e-05
2024-03-22_12:36:13:355578;59.90768498333333;10.718079233333333;0.0;59.90768498333333;10.718079233333333;0.0;1711107373.3544922;-7.423;1.6002480757652489;0.75;4.038;1.103;-90.629;-0.418;-20.3;3.231;59.907683;10.718082166666667;0.0;0.06684643210278968;-0.12030408533834933;2.3906258535266733e-09;0.954929658551372;1115.4715446060727;4.932431375584986;0.2404844692732531;4.938290397983581;0.04871718802344941;-1.581774447789941;11.234438495310798;-177.69801752589257;4.9992778076877755;0.12018038393490377
2024-03-22_12:36:13:455646;59.90768586666667;10.718078033333333;0.0;59.90768586666667;10.718078033333333;0.0;1711107373.4545608;-160.36;1.1905721063611863;0.75;-4.847;-5.285;-92.049;-36.079;3.436;-2.28;59.907683;10.718082166666667;0.0;0.22096459222930925;-0.16413579966420042;6.711596070574366e-09;203.0795296756331;203.0795296756331;4.776148688493722;0.4043982652954352;4.793238388769565;0.0844688975679683;-1.6065581231682604;10.022112878168167;0.0;4.997113280723031;0.24026246563123477
2024-03-22_12:36:13:555728;59.90768576666667;10.718076666666667;0.0;59.90768576666667;10.718076666666667;0.0;1711107373.55467;15.825;0.7719653847118634;0.75;-5.231;5.987;-90.942;42.351;33.198;7.431;59.907683;10.718082166666667;0.0;0.3193773962051146;-0.2312822570924285;1.2038281288484498e-08;197.32182320589618;197.32182320589618;4.674129211089538;0.5915955790195031;4.711419023083802;0.12589865511744405;-1.5872373283486831;9.461875541407508;0.0;4.993506607294652;0.3603133219270746
2024-03-22_12:36:13:655923;59.907686483333336;10.71807635;0.0;59.907686483333336;10.71807635;0.0;1711107373.6547558;19.104;0.8171796497965222;0.75;12.624;5.134;-92.291;26.83;-28.79;-2.793;59.907683;10.718082166666667;0.0;0.3082363299018262;-0.30775461713454155;1.5309819606512676e-08;195.13744193887922;195.13744193887922;4.680222156449341;0.7880639616609286;4.7461062189323195;0.16681693425432564;-1.6107818199580866;9.253546401072013;0.0;4.988458486351167;0.48030934452638707
2024-03-22_12:36:13:756051;59.907687583333335;10.718075516666667;0.0;59.907687583333335;10.718075516666667;0.0;1711107373.7548406;145.152;1.3101414428089346;0.75;-1.722;-3.56;-93.914;-67.823;-7.867;-0.458;59.907683;10.718082166666667;0.0;0.38808067861830753;-0.32547381523257257;2.0547277851390433e-08;187.91178077172185;187.91178077172185;4.593888847183167;0.9257107567570696;4.686230376907396;0.19884626867745295;-1.6391085137179546;8.580942828524956;0.0;4.981969525801475;0.600236941524497
2024-03-22_12:36:13:856088;59.907687233333334;10.7180756;0.0;59.907687233333334;10.7180756;0.0;1711107373.854938;4.302;0.3923399800159084;0.75;-11.686;-1.162;-94.451;24.469;20.911;-0.848;59.907683;10.718082166666667;0.0;0.5106324721774567;-0.37210328939784065;3.146522153940623e-08;179.66261149246066;179.66261149246066;4.463408014393033;1.092184098927378;4.595092731262097;0.23998173768749623;-1.6484809318011642;7.844087114566351;0.0;4.974040486570489;0.7200808095295375
2024-03-22_12:36:13:956192;59.90768813333333;10.718074483333334;0.0;59.90768813333333;10.718074483333334;0.0;1711107373.9550316;4.108;1.1803599089730874;0.75;7.151;5.117;-95.203;36.255;0.647;1.99;59.907683;10.718082166666667;0.0;0.4716387201648523;-0.367440344759882;2.920113167936833e-08;180.52474263908627;180.52474263908627;4.493032968602792;1.207272551258644;4.6524028490635;0.26249864675271833;-1.6616058077761615;7.919549197464743;0.0;4.964671688767645;0.839832206498762
2024-03-22_12:36:14:056254;59.9076891;10.71807375;0.0;59.9076891;10.71807375;0.0;1711107374.0550992;105.592;1.1517376425437953;0.75;2.736;1.361;-94.704;-44.463;-12.568;1.153;59.907683;10.718082166666667;0.0;0.5719083729364443;-0.4299238434559082;4.0844867710276844e-08;175.28173477431037;175.28173477431037;4.381958774523421;1.3893657701608118;4.596944631482671;0.30703831002361337;-1.6528966148087096;7.4662120043857465;0.0;4.9538671474598654;0.9594419267049036
2024-03-22_12:36:14:156310;59.90768941666666;10.718073566666666;0.0;59.90768941666666;10.718073566666666;0.0;1711107374.155168;3.229;0.36716596031538556;0.75;-6.963;-1.18;-93.414;-1.455;-1.656;5.562;59.907683;10.718082166666667;0.0;0.6796054038291488;-0.47095777583296916;5.387613044582906e-08;170.91026582949348;170.91026582949348;4.262021780782586;1.5498687648348235;4.5350769395982455;0.3487798444824314;-1.630381867457983;7.098446138365579;0.0;4.941627184611734;1.0789109890018542
2024-03-22_12:36:14:256406;59.90768993333333;10.718073133333334;0.0;59.90768993333333;10.718073133333334;0.0;1711107374.2552862;-9.473;0.6238773735909469;0.75;-1.866;-0.05;-92.441;23.889;6.083;1.427;59.907683;10.718082166666667;0.0;0.7148854660437479;-0.4812162575010098;5.878650982671374e-08;170.27123421475747;170.27123421475747;4.2130677358793065;1.6794421211952302;4.5354675156539175;0.3793221080220943;-1.6133998138360781;7.045463349965928;0.0;4.927953201923055;1.1982258636942202
2024-03-22_12:36:14:356486;59.90769055;10.718072583333333;0.0;59.90769055;10.718072583333333;0.0;1711107374.355353;-13.714;0.7523236890027354;0.75;0.55;0.691;-92.323;18.015;6.046;1.162;59.907683;10.718082166666667;0.0;0.7724476738584687;-0.5054635804079927;6.683638220650323e-08;167.50958552787358;167.50958552787358;4.140399446534296;1.8228329165172252;4.523895159970023;0.41472076868520263;-1.6113403253187248;6.818774370200053;0.0;4.912847120392765;1.3173693361092327
2024-03-22_12:36:14:456582;59.90769055;10.718072583333333;0.0;59.90769055;10.718072583333333;0.0;1711107374.4554224;-21.21;0.0;0.75;1.164;0.921;-92.264;15.571;5.84;1.429;59.907683;10.718082166666667;0.0;0.8411509533095735;-0.5362390282966909;7.793445250259268e-08;164.2905528124392;164.2905528124392;4.055160114387546;1.9725632435682652;4.509471066898664;0.4527351294669846;-1.6103105810600482;6.559219641631072;0.0;4.89631106769712;1.4363242152715743
2024-03-22_12:36:14:556672;59.907691033333336;10.718071983333333;0.0;59.907691033333336;10.718071983333333;0.0;1711107374.5555089;-22.855;0.6340350632381897;0.75;2.683;2.06;-91.739;2.593;5.883;3.044;59.907683;10.718082166666667;0.0;0.8411509533095735;-0.5362390282966909;7.793445250259268e-08;165.28528695936473;165.28528695936473;4.03719673602729;2.091310386329201;4.546706128326065;0.4779519916444023;-1.601147602487078;6.638888645284462;0.0;4.878347689336863;1.5550713580325102
2024-03-22_12:36:14:656736;59.907691033333336;10.718071983333333;0.0;59.907691033333336;10.718071983333333;0.0;1711107374.6555867;-17.324;0.0;0.75;2.666;2.276;-91.609;-0.243;5.583;3.105;59.907683;10.718082166666667;0.0;0.8949994723800689;-0.5698122460429837;8.92412805320042e-08;163.27783534464126;163.27783534464126;3.9639607467391267;2.243402219072572;4.554759962745386;0.5150061071200681;-1.5988786744594852;6.47860437835333;0.0;4.858960219119195;1.6735899730295887
2024-03-22_12:36:14:756866;59.90769135;10.718071416666668;0.0;59.90769135;10.718071416666668;0.0;1711107374.755726;-10.141;0.47370142249967934;0.75;2.414;2.635;-91.346;-4.867;3.077;3.404;59.907683;10.718082166666667;0.0;0.8949994723800689;-0.5698122460429837;8.92412805320042e-08;164.0220970290423;164.0220970290423;3.94315059543766;2.36168368202772;4.596301386142599;0.5396346965073147;-1.5942884585267403;6.537801224474891;0.0;4.838150067817729;1.7918714359847363
2024-03-22_12:36:14:856961;59.90769135;10.718071416666668;0.0;59.90769135;10.718071416666668;0.0;1711107374.8558137;-6.316;0.0;0.75;1.797;2.789;-90.886;-5.355;0.02;4.252;59.907683;10.718082166666667;0.0;0.9302795360671517;-0.6015202868743459;9.608136641858778e-08;163.63904296457443;163.63904296457443;3.885641204367128;2.511415576546571;4.626598725543028;0.5737925790153325;-1.5862599439675662;6.507300370098453;0.0;4.815920740434279;1.909895289672225
2024-03-22_12:36:14:957130;59.90769135;10.718071416666668;0.0;59.90769135;10.718071416666668;0.0;1711107374.9559064;-4.938;0.0;0.75;1.278;2.445;-90.237;-3.874;-3.794;6.165;59.907683;10.718082166666667;0.0;0.9302795360671517;-0.6015202868743459;9.608136641858778e-08;165.02094331969326;165.02094331969326;3.8619958768206772;2.629164791750015;4.6719931137318484;0.5977089920437902;-1.574932757122123;6.617670245744158;0.0;4.792275412887829;2.0276445048756693
2024-03-22_12:36:15:057142;59.9076917;10.718070916666667;0.0;59.9076917;10.718070916666667;0.0;1711107375.0559876;-1.971;0.4795418859265653;0.75;1.073;2.024;-89.703;-2.447;-5.407;6.919;59.907683;10.718082166666667;0.0;0.9302795360671517;-0.6015202868743459;9.608136641858778e-08;166.2520366179352;166.2520366179352;3.8369389113391095;2.746617907181364;4.718687332023333;0.6212750852564946;-1.5656126989164736;6.716777164369686;0.0;4.767218447406261;2.145097620307018
2024-03-22_12:36:15:157136;59.9076917;10.718070916666667;0.0;59.9076917;10.718070916666667;0.0;1711107375.1560323;-1.2;0.0;0.75;0.915;1.533;-89.183;-2.716;-5.965;5.915;59.907683;10.718082166666667;0.0;0.9692732927842127;-0.6294979680140211;1.0430089580903967e-07;165.99064955722517;165.99064955722517;3.7714792606695045;2.891740150536686;4.752495861322356;0.6541282647442265;-1.556536986806103;6.6956730803833215;0.0;4.740752553453717;2.262242182522665
2024-03-22_12:36:15:257261;59.9076923;10.7180705;0.0;59.9076923;10.7180705;0.0;1711107375.2561197;-0.334;0.7073482459248454;0.75;0.427;0.85;-88.593;-5.395;-5.26;4.285;59.907683;10.718082166666667;0.0;0.9692732927842127;-0.6294979680140211;1.0430089580903967e-07;167.37756278826592;167.37756278826592;3.7436089059912994;3.008556477742141;4.8027096227839525;0.6769634334813789;-1.5462395442193364;6.8080301669868835;0.0;4.712882198775512;2.37905850972812
2024-03-22_12:36:15:357348;59.907693;10.718070033333333;0.0;59.907693;10.718070033333333;0.0;1711107375.3562396;-1.585;0.8214575459560081;0.75;-0.684;0.334;-88.285;-10.807;-3.824;2.058;59.907683;10.718082166666667;0.0;1.0361197274156382;-0.6528126958086232;1.1784448017415627e-07;165.62619832687972;165.62619832687972;3.647478108724835;3.1483953828569917;4.818349306600978;0.7120906798723389;-1.540863930123194;6.666303144421498;0.0;4.683597836140473;2.4955826870483686
2024-03-22_12:36:15:459285;59.907693;10.718070033333333;0.0;59.907693;10.718070033333333;0.0;1711107375.4569314;-15.915;0.0;0.75;-1.669;0.082;-88.142;-12.516;-3.027;1.758;59.907683;10.718082166666667;0.0;1.11410723314426;-0.6789251892576783;1.3520020425428214e-07;163.2757863179344;163.2757863179344;3.5387868482258327;3.2907513423257275;4.832396584945683;0.7490960691412019;-1.5383681092928418;6.4784417751430246;0.0;4.652894081370093;2.611826153068049
2024-03-22_12:36:15:558290;59.9076935;10.71806945;0.0;59.9076935;10.71806945;0.0;1711107375.5567067;-22.11;0.6471084564392952;0.75;-3.135;-0.208;-87.944;-11.246;-2.183;1.728;59.907683;10.718082166666667;0.0;1.11410723314426;-0.6789251892576783;1.3520020425428214e-07;164.10777318084345;164.10777318084345;3.506720986418454;3.4065000039356828;4.888899094213484;0.770902176274965;-1.5349123573738932;6.544632986193081;0.0;4.620828219562714;2.7275748146780043
2024-03-22_12:36:15:658844;59.9076935;10.71806945;0.0;59.9076935;10.71806945;0.0;1711107375.6569252;-32.091;0.0;0.75;-3.812;-0.349;-87.762;-7.598;-1.812;2.374;59.907683;10.718082166666667;0.0;1.169812598855807;-0.71156581264171;1.472698072380041e-07;162.99637367663948;162.99637367663948;3.4175596648005984;3.5545032157640244;4.930943842039652;0.8050373930645471;-1.5317358581352636;6.456287728750384;0.0;4.587372263656405;2.8429374031223142
2024-03-22_12:36:15:758695;59.9076938;10.718068833333334;0.0;59.9076938;10.718068833333334;0.0;1711107375.7569492;-30.171;0.4802868600566681;0.75;-4.158;-0.494;-87.4;-0.445;-1.117;3.235;59.907683;10.718082166666667;0.0;1.169812598855807;-0.71156581264171;1.472698072380041e-07;164.1007791563954;164.1007791563954;3.382721390218218;3.6694526237934624;4.99076011866976;0.826034340171956;-1.5254177662430441;6.544075153412502;0.0;4.552533989074025;2.9578868111517522
2024-03-22_12:36:15:859117;59.9076938;10.718068833333334;0.0;59.9076938;10.718068833333334;0.0;1711107375.8571968;-27.594;0.0;0.75;-3.866;-0.47;-87.14;4.997;0.501;3.376;59.907683;10.718082166666667;0.0;1.2032358197057387;-0.7460716186505645;1.5770428329897612e-07;1094.55320343148;0.954929658551372;3.3130550211788656;3.8185638695270043;5.055468682428518;0.8561625688855653;-1.5208799101878587;0.0;200.0;4.516290840884604;3.07249225087644
2024-03-22_12:36:15:958809;59.907694183333334;10.71806825;0.0;59.907694183333334;10.71806825;0.0;1711107375.9572122;-26.059;0.5374580956166386;0.75;-1.762;-0.002;-86.657;17.298;3.77;2.993;59.907683;10.718082166666667;0.0;1.2032358197057387;-0.7460716186505645;1.5770428329897612e-07;988.8489740561843;0.954929658551372;3.2754454407554907;3.9327001760103792;5.1180732223912155;0.8763289364272424;-1.512449969900726;6.651081628097265;91.23357320204374;4.478681260461229;3.1866285573598145
2024-03-22_12:36:16:061061;59.907694183333334;10.71806825;0.0;59.907694183333334;10.71806825;0.0;1711107376.058562;-26.243;0.0;0.75;-0.978;0.169;-86.563;19.547;4.188;2.586;59.907683;10.718082166666667;0.0;1.2459432692052206;-0.7787122430201058;1.6931259949615196e-07;1006.1983817559495;0.954929658551372;3.1936808831785957;4.079241876538357;5.180715382153761;0.9065630860750439;-1.5108093604038515;6.597443986107885;94.5772368110336;4.439624152383816;3.3005296335182512
2024-03-22_12:36:16:159126;59.90769468333333;10.718067433333333;0.0;59.90769468333333;10.718067433333333;0.0;1711107376.157646;-27.944;0.7271835594778041;0.75;1.581;0.732;-86.364;21.498;4.835;1.418;59.907683;10.718082166666667;0.0;1.2459432692052206;-0.7787122430201058;1.6931259949615196e-07;1009.3875798221404;0.954929658551372;3.1533425473310963;4.192423733327868;5.2459494832279265;0.9259189561503678;-1.507336155192383;6.640430571197078;95.17728799737633;4.399285816536317;3.4137114903077626
2024-03-22_12:36:16:440890;59.907695233333335;10.718066516666667;0.0;59.907695233333335;10.718066516666667;0.0;1711107376.438685;-19.737;0.28434081641978215;0.75;4.929;2.173;-86.097;5.773;7.876;0.777;59.907683;10.718082166666667;0.0;1.3016486370406088;-0.824409116833575;1.869185753955449e-07;1037.2521434527773;0.954929658551372;2.977175647996029;4.553138107711609;5.44009572221999;0.9917030092665217;-1.5026761260895578;6.54737622286612;100.68820756637255;4.278824285036638;3.7287289908780346
2024-03-22_12:36:16:540209;59.907695233333335;10.718066516666667;0.0;59.907695233333335;10.718066516666667;0.0;1711107376.5388541;-10.906;0.0;0.75;4.469;3.354;-85.771;-8.326;10.867;2.896;59.907683;10.718082166666667;0.0;1.362924543322642;-0.8757015248174074;2.0595723793093157e-07;1048.9693052446473;0.954929658551372;2.8704448696557416;4.715608982488127;5.520545428257581;1.0239960072514507;-1.4969863527280565;6.468961840190033;103.06560756212717;4.233369412978384;3.8399074576707193
2024-03-22_12:36:16:891071;59.90769635;10.718065566666667;0.0;59.90769635;10.718065566666667;0.0;1711107376.7973866;-9.937;0.5233015157716019;0.75;-1.548;4.687;-82.56;-27.667;-4.996;17.495;59.907683;10.718082166666667;0.0;1.362924543322642;-0.8757015248174074;2.0595723793093157e-07;1044.65028681694;0.954929658551372;2.7795963757380266;4.927159440745705;5.65712437255409;1.0571636711371046;-1.4409438304465185;7.0431008374046655;101.97084825396568;4.142520919060669;4.051457915928298
2024-03-22_12:36:16:920310;59.90769725;10.718065116666667;0.0;59.90769725;10.718065116666667;0.0;1711107376.9186356;-18.702;0.8526617461556598;0.75;-3.649;3.768;-80.937;-27.424;-14.399;20.254;59.907683;10.718082166666667;0.0;1.4873331917823074;-0.9288590939502216;2.417995463854794e-07;1066.1672784044324;0.954929658551372;2.5707030720880346;5.165836677370957;5.770128496152739;1.1090422064964627;-1.4126171366866505;7.052910693931099;106.32667066646802;4.058036263870342;4.236977583420735
