;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;north_error;east_error;distance_to_target;yaw_setpoint;current_angle;tau_X;tau_N
2024-03-07_15:26:15:129472;59.90843148333333;10.719533266666666;0.0;59.90843148333333;10.719533266666666;0.0;1709821575.1288369;53.685;6412610.78331807;0;0.0;0.0;0.0;0.0;0.0;0.0;59.908642666666665;10.71945885;0.0;0.0;0.0;0.0;;;;;;;
2024-03-07_15:26:21:165324;59.90843151666667;10.719533666666667;0.0;59.90843151666667;10.719533666666667;0.0;1709821581.1643264;52.0;0.0037590420177876335;0.90;-0.968;1.343;63.242;-0.295;-0.836;0.168;59.90843148333333;10.719533266666666;0.0;-23.528087329979897;4.1639198643453295;4.471580475140513e-05;23.528087329979897;-4.1639198643453295;23.893704652980254;-0.17516284331817528;1.1037811255462537;84.89504280220139;-115.10495719779861
2024-03-07_15:26:21:275039;59.90843158333333;10.719534133333333;0.0;59.90843158333333;10.719534133333333;0.0;1709821581.2740283;13.624;0.24746816260182708;0.90;-0.541;0.935;63.238;1.481;-0.507;0.063;59.90843148333333;10.719533266666666;0.0;0.003713692069951058;0.022381652203137925;7.471697093495988e-10;0.0;0.0;0.0;0.0;1.1037113123761741;0.0;200.0
2024-03-07_15:26:21:385175;59.90843165;10.719534483333334;0.0;59.90843165;10.719534483333334;0.0;1709821581.384179;15.644;0.19014923672822334;0.90;-0.191;0.813;63.324;0.952;-0.896;0.56;59.90843148333333;10.719533266666666;0.0;0.011141073366023385;0.04849357944815549;5.935577264068459e-10;0.0;0.0;0.0;0.0;1.1052122955328891;0.0;0.0
2024-03-07_15:26:21:493172;59.908431783333334;10.71953495;0.0;59.908431783333334;10.71953495;0.0;1709821581.4916267;28.693;0.2795928116865327;0.90;0.032;0.317;63.512;0.234;0.145;0.31;59.90843148333333;10.719533266666666;0.0;0.018568455868279845;0.06807752488997558;1.138909104178576e-09;0.0;0.0;0.0;0.0;1.1084935145266386;0.0;0.0
2024-03-07_15:26:21:603439;59.90843183333333;10.719535216666667;0.0;59.90843183333333;10.719535216666667;0.0;1709821581.6024237;35.13;0.14374970395912345;0.90;-0.031;1.11;63.56;-0.353;2.923;0.191;59.90843148333333;10.719533266666666;0.0;0.03342321966611652;0.09418945173084864;1.5303633308511033e-09;0.0;0.0;0.0;0.0;1.109331272567596;0.0;0.0
2024-03-07_15:26:21:711746;59.90843196666667;10.719535683333334;0.0;59.90843196666667;10.719535683333334;0.0;1709821581.71075;32.309;0.2773245839546527;0.90;-0.34;1.468;63.638;-0.982;-1.237;0.358;59.90843148333333;10.719533266666666;0.0;0.03899375656497184;0.10911055306306153;1.4140233116355372e-09;0.0;0.0;0.0;0.0;1.1106926293841515;0.0;0.0
2024-03-07_15:26:21:822255;59.9084321;10.719536166666666;0.0;59.9084321;10.719536166666666;0.0;1709821581.8212538;37.556;0.2792270215400977;0.90;-0.544;0.926;63.735;0.168;0.796;0.473;59.90843148333333;10.719533266666666;0.0;0.05384852122949096;0.13522247961962683;2.3077053983022733e-09;0.0;0.0;0.0;0.0;1.112385598758586;0.0;0.0
2024-03-07_15:26:21:931471;59.908432266666665;10.719536866666667;0.0;59.908432266666665;10.719536866666667;0.0;1709821581.9304752;47.808;0.3968671541907831;0.90;-0.309;1.712;64.053;0.864;0.863;1.066;59.90843148333333;10.719533266666666;0.0;0.06870328633005116;0.16226697486750555;3.454065939517692e-09;0.0;0.0;0.0;0.0;1.117935745779928;0.0;0.0
2024-03-07_15:26:22:040254;59.90843246666667;10.7195379;0.0;59.90843246666667;10.7195379;0.0;1709821582.0395436;49.794;0.5681223828896302;0.90;-0.141;1.347;64.348;0.2;-2.06;0.929;59.90843148333333;10.719533266666666;0.0;0.08727174453590889;0.20143486434969526;3.794775500776115e-09;0.0;0.0;0.0;0.0;1.123084467073311;0.0;0.0
