;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;north_error;east_error;distance_to_target;yaw_setpoint;current_angle;tau_X;tau_N
2024-03-07_15:52:11:183333;59.908370983333334;10.719486133333334;0.0;59.908370983333334;10.719486133333334;0.0;1709823131.1833332;116.027;737673.8494959043;0;0.0;0.0;0.0;0.0;0.0;0.0;59.908642666666665;10.71945885;0.0;0.0;0.0;0.0;;;;;;;
2024-03-07_15:52:17:213328;59.908370983333334;10.719486933333334;0.0;59.908370983333334;10.719486933333334;0.0;1709823137.2123113;119.728;0.007424705324343457;0.88;-0.376;0.98;161.897;0.805;0.479;-0.08;59.908370983333334;10.719486133333334;0.0;-30.268438477736808;1.5266179656946344;7.19462057752196e-05;30.268438477736808;-1.5266179656946344;30.306912252714227;-0.0503932660883123;2.8256356991012597;0.0;-200.0
2024-03-07_15:52:17:321506;59.908370966666666;10.71948765;0.0;59.908370966666666;10.71948765;0.0;1709823137.3205092;134.237;0.37101912257161856;0.88;0.368;0.863;161.761;2.444;-1.038;-0.266;59.908370983333334;10.719486133333334;0.0;5.39548923206583e-10;0.04476338586891341;3.126602626255081e-10;0.0;0.0;0.0;0.0;2.8232620513185473;0.0;200.0
2024-03-07_15:52:17:431628;59.90837093333333;10.719487966666666;0.0;59.90837093333333;10.719487966666666;0.0;1709823137.4306335;142.306;0.16439446731264018;0.88;0.184;0.383;161.799;-3.071;-0.593;0.377;59.908370983333334;10.719486133333334;0.0;-0.0018568445696392644;0.08486391863084031;-9.46937670637249e-10;0.0;0.0;0.0;0.0;2.8239252764343052;0.0;0.0
2024-03-07_15:52:17:540726;59.908370833333336;10.719488633333333;0.0;59.908370833333336;10.719488633333333;0.0;1709823137.539735;137.601;0.356832892628038;0.88;-1.048;0.966;161.813;-1.011;2.412;0.052;59.908370983333334;10.719486133333334;0.0;-0.005570534296330747;0.10258275906970848;-2.1048158359467106e-09;0.0;0.0;0.0;0.0;2.8241696225295843;0.0;0.0
2024-03-07_15:52:17:650360;59.90837071666667;10.71948935;0.0;59.90837071666667;10.71948935;0.0;1709823137.649365;143.885;0.384516208498855;0.88;-0.198;1.354;161.764;4.181;-0.63;-0.191;59.908370983333334;10.719486133333334;0.0;-0.016711605909595445;0.13988558100716547;5.463108567957398e-10;0.0;0.0;0.0;0.0;2.8233144111961073;0.0;0.0
2024-03-07_15:52:17:757961;59.90837065;10.719489933333334;0.0;59.90837065;10.719489933333334;0.0;1709823137.7570024;137.105;0.31099199984389203;0.88;0.516;0.379;161.707;-1.404;-2.414;0.177;59.908370983333334;10.719486133333334;0.0;-0.02970952263190716;0.1799861147412053;1.9379214188236515e-09;0.0;0.0;0.0;0.0;2.82231957352247;0.0;0.0
2024-03-07_15:52:17:868251;59.908370516666665;10.719490733333334;0.0;59.908370516666665;10.719490733333334;0.0;1709823137.8667045;141.668;0.42992616905182174;0.88;-0.687;0.79;161.797;-3.993;4.115;0.397;59.908370983333334;10.719486133333334;0.0;-0.03713690262564137;0.21262608417556766;2.538221608588964e-09;0.0;0.0;0.0;0.0;2.8238903698492654;0.0;0.0
2024-03-07_15:52:17:977897;59.9083703;10.719491616666666;0.0;59.9083703;10.719491616666666;0.0;1709823137.9768991;153.357;0.4991697666698297;0.88;-0.881;1.969;161.849;2.671;0.879;0.254;59.908370983333334;10.719486133333334;0.0;-0.05199166431782285;0.2573894714631716;4.903754922958026e-09;0.0;0.0;0.0;0.0;2.8247979410603024;0.0;0.0
2024-03-07_15:52:18:086427;59.9083698;10.71949255;0.0;59.9083698;10.71949255;0.0;1709823138.0854516;152.976;0.7034133338037556;0.88;0.477;1.321;161.906;2.821;-2.363;0.177;59.908370983333334;10.719486133333334;0.0;-0.07613065167133691;0.30681571236903765;7.362794318677146e-09;0.0;0.0;0.0;0.0;2.8257927787339394;0.0;0.0
2024-03-07_15:52:18:194744;59.908369216666664;10.719493733333334;0.0;59.908369216666664;10.719493733333334;0.0;1709823138.1937518;149.777;0.8566735634076666;0.88;-0.188;1.208;161.993;-4.296;0.89;0.495;59.908370983333334;10.719486133333334;0.0;-0.13183601244122148;0.3590396688451047;1.0440604679418097e-08;0.0;0.0;0.0;0.0;2.8273112151831743;0.0;0.0
2024-03-07_15:52:18:304453;59.90836851666667;10.71949505;0.0;59.90836851666667;10.71949505;0.0;1709823138.3028286;156.949;0.9835608942335038;0.88;-0.891;1.115;162.114;1.955;-1.259;0.28;59.908370983333334;10.719486133333334;0.0;-0.19682559659907356;0.42525218657389807;1.4929301045407684e-08;0.0;0.0;0.0;0.0;2.8294230635780875;0.0;0.0
