;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;north_error;east_error;distance_to_target;yaw_setpoint;current_angle;tau_X;tau_N
2024-03-07_15:32:32:131005;0.0;0.0;0.0;0.0;0.0;0.0;1709821948.4649134;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;59.908642666666665;10.71945885;0.0;0.0;0.0;0.0;;;;;;;
2024-03-07_15:32:38:173820;59.90848823333333;10.719883683333334;0.0;59.90848823333333;10.719883683333334;0.0;1709821958.1728222;-156.038;569394.7901457555;0.90;0.321;1.089;76.365;-1.921;-4.585;0.655;0.0;0.0;0.0;-5403667.344084047;-1186335.5269152317;3220066.8878556937;5403663.344084047;1186329.5269152317;5532355.310591367;0.21611313655925293;1.3328206832854697;132.997547196427;-67.002452803573
2024-03-07_15:32:38:282669;59.90848793333333;10.719883633333334;0.0;59.90848793333333;10.719883633333334;0.0;1709821958.2816157;-163.031;0.3082914549944909;0.90;-0.821;-0.065;76.586;-3.261;-2.257;1.017;0.0;0.0;0.0;5495372.3529177755;596327.3721792471;3228155.8721039062;-5495376.392917776;-596333.452179247;5527637.405440592;-3.0335001264007975;1.3366778609323773;-84.38706978410978;115.61293021589022
2024-03-07_15:32:38:392266;59.9084877;10.719883583333333;0.0;59.9084877;10.719883583333333;0.0;1709821958.3907259;139.146;0.2396290050760751;0.90;-0.726;-0.292;77.195;2.914;0.341;2.112;0.0;0.0;0.0;5495372.336159957;596327.3748094547;3228155.8431695634;-5495376.416159957;-596333.5348094547;5527637.437461451;-3.0335001119930984;1.3473069160770226;-84.19453736219387;115.80546263780613
2024-03-07_15:32:38:500586;59.90848741666667;10.719884;0.0;59.90848741666667;10.719884;0.0;1709821958.4995902;99.52;0.3604732376892391;0.90;0.163;0.801;77.736;0.552;4.651;0.618;0.0;0.0;0.0;5495372.323126098;596327.3762443102;3228155.8205494317;-5495376.443126098;-596333.6162443102;5527637.473055579;-3.033500097873068;1.3567491473303122;-83.93677769680434;116.06322230319566
2024-03-07_15:32:38:608086;59.908487316666665;10.71988445;0.0;59.908487316666665;10.71988445;0.0;1709821958.6070757;147.481;0.2561647595741872;0.90;0.05;2.403;77.929;0.433;1.669;0.755;0.0;0.0;0.0;5495372.3072992675;596327.4042318668;3228155.7980506495;-5495376.467299268;-596333.7242318668;5527637.5087376;-3.033500078922937;1.360117632786661;-83.32648096843226;116.67351903156774
2024-03-07_15:32:38:717551;59.90848705;10.7198847;0.0;59.90848705;10.7198847;0.0;1709821958.716537;-178.895;0.29999645203966213;0.90;0.278;1.457;78.188;-0.173;-5.26;0.896;0.0;0.0;0.0;5495372.301713329;596327.4307647897;3228155.7932628775;-5495376.501713329;-596333.8307647897;5527637.5544438185;-3.0335000604342977;1.3646380355493264;-82.77234509493353;117.22765490506647
2024-03-07_15:32:38:826310;59.908486716666665;10.7198848;0.0;59.908486716666665;10.7198848;0.0;1709821958.8253238;150.962;0.34522630824987277;0.90;-0.623;0.175;78.695;-3.366;-0.718;2.016;0.0;0.0;0.0;5495372.286817487;596327.4492905847;3228155.7706080033;-5495376.526817488;-596333.9292905846;5527637.590030643;-3.0335000432040666;1.3734868548569374;-82.48685057486135;117.51314942513865
2024-03-07_15:32:38:934529;59.90848645;10.719885283333333;0.0;59.90848645;10.719885283333333;0.0;1709821958.9329813;110.835;0.37317764104478657;0.90;-0.893;0.823;79.442;2.468;2.544;1.588;0.0;0.0;0.0;5495372.268197689;596327.4607651007;3228155.7400777363;-5495376.5481976895;-596334.0207651007;5527637.62115454;-3.033500027169351;1.386524464369335;-82.46266744696337;117.53733255303663
2024-03-07_15:32:39:043507;59.9084863;10.7198864;0.0;59.9084863;10.7198864;0.0;1709821959.043507;97.05;0.5851868846443856;0.90;0.425;1.492;79.793;2.184;0.258;0.644;0.0;0.0;0.0;5495372.253301849;596327.4921189899;3228155.7198513662;-5495376.573301849;-596334.13211899;5527637.658125293;-3.0335000076319454;1.3926505700438354;-82.01332406911443;117.98667593088557
2024-03-07_15:32:39:154995;59.90848621666667;10.719887933333334;0.0;59.90848621666667;10.719887933333334;0.0;1709821959.1539993;99.64;0.7810238346051647;0.90;0.419;1.237;80.011;-1.086;-0.733;0.845;0.0;0.0;0.0;5495372.244922938;596327.5562001244;3228155.7172665237;-5495376.604922938;-596334.2762001244;5527637.705105634;-3.0334999823356283;1.396455387813183;-81.42254158770567;118.57745841229433
2024-03-07_15:32:39:263753;59.908486133333334;10.719888783333333;0.0;59.908486133333334;10.719888783333333;0.0;1709821959.262724;102.931;0.44570075695352257;0.90;-0.193;1.267;80.367;-1.809;0.658;1.152;0.0;0.0;0.0;5495372.240267989;596327.6419932168;3228155.72533251;-5495376.64026799;-596334.4419932169;5527637.758130544;-3.0334999532070257;1.402668759950283;-80.99207765017162;119.00792234982838
2024-03-07_15:32:39:371720;59.90848593333333;10.7198907;0.0;59.90848593333333;10.7198907;0.0;1709821959.3707247;99.521;1.0142109191433633;0.90;-0.887;1.271;80.942;-1.423;-0.911;2.173;0.0;0.0;0.0;5495372.235613038;596327.6902183206;3228155.726286446;-5495376.675613038;-596334.5702183206;5527637.807102531;-3.0334999308351485;1.4127044031492502;-80.80063356941591;119.19936643058409
2024-03-07_15:32:39:480501;59.90848575;10.719892966666666;0.0;59.90848575;10.719892966666666;0.0;1709821959.4795058;96.209;1.180934295349608;0.90;-0.668;0.859;81.651;2.282;-0.744;1.604;0.0;0.0;0.0;5495372.224441159;596327.7991780065;3228155.7272922546;-5495376.704441159;-596334.7591780064;5527637.85614782;-3.0334998974127694;1.42507878754589;-80.74916377110853;119.25083622889147
2024-03-07_15:32:39:588439;59.908485666666664;10.71989545;0.0;59.908485666666664;10.71989545;0.0;1709821959.5868008;90.474;1.297938434983096;0.90;0.221;1.0;81.918;1.039;0.451;0.105;0.0;0.0;0.0;5495372.214200268;596327.9270809948;3228155.733519381;-5495376.734200267;-596334.9670809949;5527637.908162318;-3.033499860601546;1.429738816648715;-80.24280641834194;119.75719358165806
2024-03-07_15:32:39:697511;59.90848575;10.719898183333333;0.0;59.90848575;10.719898183333333;0.0;1709821959.6965477;90.16;1.3961445169118;0.90;-0.153;0.892;81.921;-1.552;-0.561;0.386;0.0;0.0;0.0;5495372.209545318;596328.0651027547;3228155.7514728704;-5495376.769545318;-596335.1851027547;5527637.966821802;-3.03349982207945;1.4297911765262747;-79.45190621598516;120.54809378401484
2024-03-07_15:32:39:807415;59.90848585;10.7199013;0.0;59.90848585;10.7199013;0.0;1709821959.806417;95.894;1.5904870367695687;0.90;0.043;1.165;82.216;2.338;1.651;0.947;0.0;0.0;0.0;5495372.214200268;596328.2138805159;3228155.7878138646;-5495376.814200267;-596335.4138805158;5527638.035897243;-3.0334997818045535;1.434939897819658;-78.96328817307764;121.03671182692236
2024-03-07_15:32:39:918170;59.90848583333333;10.719904533333333;0.0;59.90848583333333;10.719904533333333;0.0;1709821959.9166114;95.729;1.6418939082083255;0.90;0.597;1.586;82.431;-0.158;0.147;0.317;0.0;0.0;0.0;5495372.219786207;596328.3834341615;3228155.8297231104;-5495376.859786207;-596335.6634341616;5527638.108139603;-3.033499737811218;1.4386923557114457;-78.39018744116322;121.60981255883678
2024-03-07_15:32:40:027665;59.90848581666667;10.71990785;0.0;59.90848581666667;10.71990785;0.0;1709821960.0266354;98.782;1.6868158435630964;0.90;-0.359;1.143;82.691;-3.416;-1.234;2.437;0.0;0.0;0.0;5495372.218855218;596328.5614937207;3228155.8617967525;-5495376.898855218;-596335.9214937207;5527638.174820721;-3.0334996921608766;1.4432302117666311;-77.86744244625955;122.13255755374045
2024-03-07_15:32:40:136183;59.90848561666667;10.719911616666666;0.0;59.90848561666667;10.719911616666666;0.0;1709821960.135164;103.09;1.9528011790156932;0.90;-1.104;1.378;84.414;0.062;0.598;6.553;0.0;0.0;0.0;5495372.217924227;596328.7441347401;3228155.8947377303;-5495376.937924227;-596336.18413474;5527638.241996109;-3.0334996456865464;1.4733022347784934;-78.90060731326187;121.09939268673813
2024-03-07_15:32:40:245998;59.90848511666667;10.719916683333333;0.0;59.90848511666667;10.719916683333333;0.0;1709821960.24499;104.241;2.630717827657108;0.90;-0.89;1.014;87.959;0.218;-1.396;9.331;0.0;0.0;0.0;5495372.206752347;596328.9548028781;3228155.9149981965;-5495376.966752347;-596336.4748028781;5527638.30201403;-3.033499593971578;1.5351741567616923;-81.85972714138609;118.14027285861391
2024-03-07_15:32:40:354256;59.908484533333336;10.719922383333333;0.0;59.908484533333336;10.719922383333333;0.0;1709821960.3532605;106.129;3.0062888082038848;0.90;-0.863;0.979;91.029;0.059;0.47;9.772;0.0;0.0;0.0;5495372.178822647;596329.2423209202;3228155.9203750114;-5495376.978822647;-596336.8423209202;5527638.353662729;-3.0334995281078454;1.5887557647979182;-84.35530139900006;115.64469860099994
2024-03-07_15:32:40:462003;59.9084842;10.719925383333333;0.0;59.9084842;10.719925383333333;0.0;1709821960.460458;108.588;1.603778070924681;0.90;-0.512;1.217;94.41;1.503;0.491;9.067;0.0;0.0;0.0;5495372.146237995;596329.5661522708;3228155.92445077;-5495376.986237994;-596337.2461522708;5527638.404601251;-3.0334994556221972;1.6477653468078464;-87.20522616141045;112.79477383858955
2024-03-07_15:32:40:569831;59.90848378333333;10.71992855;0.0;59.90848378333333;10.71992855;0.0;1709821960.568283;109.059;1.6987499907639425;0.90;-0.374;1.241;95.116;1.623;0.152;8.862;0.0;0.0;0.0;5495372.127618192;596329.7370616773;3228155.924103467;-5495377.007618192;-596337.4970616773;5527638.452925486;-3.033499410912608;1.6600873713269264;-87.2591752086154;112.7408247913846
2024-03-07_15:32:40:677336;59.90848378333333;10.71992855;0.0;59.90848378333333;10.71992855;0.0;1709821960.6763387;111.22;0.0;0.90;-0.185;1.24;96.156;1.307;-0.074;8.726;0.0;0.0;0.0;5495372.104343441;596329.918628205;3228155.917598066;-5495377.024343441;-596337.7586282049;5527638.497771674;-3.0334993641954506;1.6782387955476676;-87.67250813018707;112.32749186981293
