;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;north_error;east_error;distance_to_target;yaw_setpoint;current_angle;tau_X;tau_N
2024-03-07_14:56:37:124530;59.908612833333336;10.719245666666666;0.0;59.908612833333336;10.719245666666666;0.0;1709819797.12453;0;1499933.4753332054;0;0;0;0;0;0;0;59.908642666666665;10.71945885;0.0;0.0;0.0;0.0;;;;;;;
2024-03-07_14:56:43:154193;59.908613;10.719244666666667;0.0;59.908613;10.719244666666667;0.0;1709819803.153197;0;0.009779006391167409;0.93;0;0;0;0;0;0;59.908612833333336;10.719245666666666;0.0;-3.3237343384123124;-11.928422971254067;1.1991806443845121e-05;-6.676265661587688;11.928422971254067;13.66966706855864;2.081051600167199;0.0;-12.705355984952092;187.2946440150479
2024-03-07_14:56:43:260269;59.90861316666667;10.719244;0.0;59.90861316666667;10.719244;0.0;1709819803.259249;0;0.39290704268891724;0.93;0;0;0;0;0;0;59.908612833333336;10.719245666666666;0.0;0.018568455853115996;-0.05595382495042116;4.832689821238079e-10;-9.918568455853116;0.05595382495042116;9.91872628133124;3.1359513927926;0.0;0.0;200.0
2024-03-07_14:56:43:367972;59.9086135;10.719243166666667;0.0;59.9086135;10.719243166666667;0.0;1709819803.367015;0;0.5531422575473482;0.93;0;0;0;0;0;0;59.908612833333336;10.719245666666666;0.0;0.037136913427999685;-0.09325637434046785;8.878747494167616e-10;-9.837136913428001;0.09325637434046785;9.837578940210996;3.1321129054038863;0.0;0.0;200.0
2024-03-07_14:56:43:478631;59.908614;10.719242333333334;0.0;59.908614;10.719242333333334;0.0;1709819803.4776697;0;0.6564996688632829;0.93;0;0;0;0;0;0;59.908612833333336;10.719245666666666;0.0;0.07427382405068741;-0.13988456014856662;1.2265216689510972e-09;-9.774273824050688;0.13988456014856662;9.77527475203078;3.1272821264351016;0.0;0.0;200.0
2024-03-07_14:56:43:589887;59.908614166666666;10.7192415;0.0;59.908614166666666;10.7192415;0.0;1709819803.588346;0;0.4534791910167187;0.93;0;0;0;0;0;0;59.908612833333336;10.719245666666666;0.0;0.12997919302839783;-0.18651274402826176;3.4982397326133174e-09;-9.729979193028399;0.18651274402826176;9.73176664847912;3.1224261270302973;0.0;0.0;200.0
2024-03-07_14:56:43:698581;59.90861483333333;10.719240666666666;0.0;59.90861483333333;10.719240666666666;0.0;1709819803.6975744;0;0.8028787527509312;0.93;0;0;0;0;0;0;59.908612833333336;10.719245666666666;0.0;0.14854765091951946;-0.23314092889199003;6.238881258835427e-09;-9.648547650919522;0.23314092889199003;9.651363969138727;3.117434036265842;0.0;0.0;200.0
2024-03-07_14:56:43:806933;59.90861533333333;10.719239833333333;0.0;59.90861533333333;10.719239833333333;0.0;1709819803.8059363;0;0.6703907847075471;0.93;0;0;0;0;0;0;59.908612833333336;10.719245666666666;0.0;0.22282147593566853;-0.2797691092174283;9.101258857668881e-09;-9.622821475935671;0.2797691092174283;9.62688755061578;3.112527340136476;0.0;0.0;200.0
2024-03-07_14:56:43:917602;59.90861566666667;10.719239333333334;0.0;59.90861566666667;10.719239333333334;0.0;1709819803.9160686;0;0.42218146896164477;0.93;0;0;0;0;0;0;59.908612833333336;10.719245666666666;0.0;0.278526847088839;-0.32639728920148225;1.3710001398048455e-08;-9.578526847088842;0.32639728920148225;9.584086380599864;3.1075298954898494;0.0;0.0;200.0
2024-03-07_14:56:44:025515;59.908616;10.719238666666666;0.0;59.908616;10.719238666666666;0.0;1709819804.0245185;0;0.4853555202088493;0.93;0;0;0;0;0;0;59.908612833333336;10.719245666666666;0.0;0.3156637608208738;-0.35437419609771237;1.692684062359895e-08;-9.515663760820877;0.35437419609771237;9.522260124563894;3.1043687127613886;0.0;0.0;200.0
2024-03-07_14:56:44:134256;59.90861616666667;10.719238333333333;0.0;59.90861616666667;10.719238333333333;0.0;1709819804.1327116;0;0.24325372130699413;0.93;0;0;0;0;0;0;59.908612833333336;10.719245666666666;0.0;0.3528006745856821;-0.39167673924053903;2.2315453956922582e-08;-9.452800674585685;0.39167673924053903;9.460911756353596;3.1001813478693254;0.0;0.0;200.0
2024-03-07_14:56:44:243097;59.908616333333335;10.719238;0.0;59.908616333333335;10.719238;0.0;1709819804.242101;0;0.24059378471252904;0.93;0;0;0;0;0;0;59.908612833333336;10.719245666666666;0.0;0.3713691334327022;-0.4103280103249972;2.2380844677538647e-08;-9.371369133432706;0.4103280103249972;9.380347995203191;3.0978353236307767;0.0;0.0;200.0
2024-03-07_14:56:44:353038;59.908616333333335;10.719238166666667;0.0;59.908616333333335;10.719238166666667;0.0;1709819804.3520188;0;0.08484185240227195;0.93;0;0;0;0;0;0;59.908612833333336;10.719245666666666;0.0;0.3899375899449866;-0.42897928140945535;2.6475261649672177e-08;-9.28993758994499;0.42897928140945535;9.299836753887217;3.0954486657033224;0.0;0.0;200.0
2024-03-07_14:56:44:462188;59.908616333333335;10.719238333333333;0.0;59.908616333333335;10.719238333333333;0.0;1709819804.4606743;0;0.08582759786992744;0.93;0;0;0;0;0;0;59.908612833333336;10.719245666666666;0.0;0.3899375889408494;-0.419653644934091;2.589338529701557e-08;-9.189937588940854;0.419653644934091;9.199514230128376;3.095959882760578;0.0;0.0;200.0
2024-03-07_14:56:44:569550;59.908616333333335;10.719238833333334;0.0;59.908616333333335;10.719238833333334;0.0;1709819804.5685022;0;0.25945890978492253;0.93;0;0;0;0;0;0;59.908612833333336;10.719245666666666;0.0;0.38993758752210544;-0.4103280084309541;2.50712531291164e-08;-9.08993758752211;0.4103280084309541;9.099194163196552;3.096482372457037;0.0;0.0;200.0
2024-03-07_14:56:44:677866;59.908616333333335;10.719238833333334;0.0;59.908616333333335;10.719238833333334;0.0;1709819804.6768537;0;0.0;0.93;0;0;0;0;0;0;59.908612833333336;10.719245666666666;0.0;0.38993758484936203;-0.3823510985750978;2.352245470627068e-08;-8.989937584849367;0.3823510985750978;8.998064799837175;3.099087263356839;0.0;0.0;200.0
2024-03-07_14:56:44:788240;59.908616333333335;10.719238833333334;0.0;59.908616333333335;10.719238833333334;0.0;1709819804.7867107;0;0.0;0.93;0;0;0;0;0;0;59.908612833333336;10.719245666666666;0.0;0.38993758484936203;-0.3823510985750978;2.352245470627068e-08;-8.889937584849367;0.3823510985750978;8.898156136250869;3.098609719546481;0.0;0.0;200.0
2024-03-07_14:56:44:896828;59.908616333333335;10.719239;0.0;59.908616333333335;10.719239;0.0;1709819804.8958204;0;0.08547032672243399;0.93;0;0;0;0;0;0;59.908612833333336;10.719245666666666;0.0;0.38993758484936203;-0.3823510985750978;2.352245470627068e-08;-8.789937584849367;0.3823510985750978;8.798249547957202;3.0981213303351445;0.0;0.0;200.0
2024-03-07_14:56:45:007225;59.908616333333335;10.719239;0.0;59.908616333333335;10.719239;0.0;1709819805.0057185;0;0.0;0.93;0;0;0;0;0;0;59.908612833333336;10.719245666666666;0.0;0.3899375838264902;-0.3730254619853495;2.2929722037767775e-08;-8.689937583826497;0.3730254619853495;8.697940170298349;3.0986928522394783;0.0;0.0;200.0
2024-03-07_14:56:45:117241;59.908616333333335;10.719239;0.0;59.908616333333335;10.719239;0.0;1709819805.1162424;0;0.0;0.93;0;0;0;0;0;0;59.908612833333336;10.719245666666666;0.0;0.3899375838264902;-0.3730254619853495;2.2929722037767775e-08;-8.589937583826497;0.3730254619853495;8.598033245418652;3.098194056243154;0.0;0.0;200.0
2024-03-07_14:56:45:226410;59.908616333333335;10.719239;0.0;59.908616333333335;10.719239;0.0;1709819805.2254193;0;0.0;0.93;0;0;0;0;0;0;59.908612833333336;10.719245666666666;0.0;0.3899375838264902;-0.3730254619853495;2.2929722037767775e-08;-8.489937583826498;0.3730254619853495;8.498128510004957;3.097683532339372;0.0;0.0;200.0
2024-03-07_14:56:45:336451;59.908616333333335;10.719239;0.0;59.908616333333335;10.719239;0.0;1709819805.3349183;0;0.0;0.93;0;0;0;0;0;0;59.908612833333336;10.719245666666666;0.0;0.3899375838264902;-0.3730254619853495;2.2929722037767775e-08;-8.389937583826498;0.3730254619853495;8.398226042194494;3.097160862255901;0.0;0.0;200.0
2024-03-07_14:56:45:444007;59.908616333333335;10.719239;0.0;59.908616333333335;10.719239;0.0;1709819805.4429715;0;0.0;0.93;0;0;0;0;0;0;59.908612833333336;10.719245666666666;0.0;0.3899375838264902;-0.3730254619853495;2.2929722037767775e-08;-8.289937583826498;0.3730254619853495;8.2983259238854;3.09662560760475;0.0;0.0;200.0
