;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;north_error;east_error;distance_to_target;yaw_setpoint;current_angle;tau_X;tau_N
2024-03-07_15:30:37:079999;59.908590583333336;10.720037016666666;0.0;59.908590583333336;10.720037016666666;0.0;1709821837.0799994;22.179;7344998.806188724;0;0.0;0.0;0.0;0.0;0.0;0.0;59.908642666666665;10.71945885;0.0;0.0;0.0;0.0;;;;;;;
2024-03-07_15:30:43:111184;59.908592283333334;10.7200384;0.0;59.908592283333334;10.7200384;0.0;1709821843.1101863;25.243;0.03392999986614988;0.90;-0.062;0.211;9.576;-0.352;0.707;0.856;59.908590583333336;10.720037016666666;0.0;-5.802501116552481;32.35065825147237;8.447476176298707e-05;1.802501116552481;-38.35065825147237;38.392994134300054;-1.523830363660624;0.16713272917097702;-174.635553607526;-25.364446392474015
2024-03-07_15:30:43:221165;59.90859283333333;10.720038933333333;0.0;59.90859283333333;10.720038933333333;0.0;1709821843.219519;26.637;0.6233854302676736;0.90;-0.086;1.059;9.802;0.149;1.945;0.429;59.908590583333336;10.720037016666666;0.0;0.18939824619512596;0.07740283933697178;2.3916941205293085e-09;-4.229398246195126;-6.157402839336972;7.470034755661677;-2.1726626958117174;0.17107717328048416;-161.75086889154193;-35.15609803638302
2024-03-07_15:30:43:329393;59.90859391666667;10.720040133333333;0.0;59.90859391666667;10.720040133333333;0.0;1709821843.3283868;29.007;1.2686451781623846;0.90;-0.297;1.261;10.057;-1.21;-0.353;1.231;59.908590583333336;10.720037016666666;0.0;0.25067415014507544;0.10724489613170643;5.289102086858399e-09;-4.330674150145075;-6.267244896131706;7.6179457324677555;-2.1754573053538957;0.17552776287306973;-164.73522397659553;-35.26477602340448
2024-03-07_15:30:43:437426;59.90859495;10.720041333333333;0.0;59.90859495;10.720041333333333;0.0;1709821843.4364204;28.898;1.2336366745520086;0.90;-0.746;0.781;10.66;-0.276;-1.585;1.598;59.908590583333336;10.720037016666666;0.0;0.37136911294306174;0.17438952097529317;1.263977517096393e-08;-4.491369112943062;-6.414389520975293;7.830503779163675;-2.1816579263656206;0.18605209826259553;-164.48434963057676;-35.51565036942324
2024-03-07_15:30:43:546806;59.90859595;10.72004245;0.0;59.90859595;10.72004245;0.0;1709821843.5451844;26.027;1.174427723182004;0.90;-0.367;0.557;11.154;1.571;0.748;1.216;59.908590583333336;10.720037016666666;0.0;0.4864935410920291;0.2415341420557245;2.2885791650661957e-08;-4.646493541092029;-6.5615341420557245;8.040126399800746;-2.1869654010989814;0.19467402476744752;-164.27540861200356;-35.72459138799643
2024-03-07_15:30:43:656176;59.908597033333336;10.72004355;0.0;59.908597033333336;10.72004355;0.0;1709821843.6551864;23.869;1.23163873804273;0.90;-0.001;1.129;11.592;0.449;1.03;1.341;59.908590583333336;10.720037016666666;0.0;0.5979042770324895;0.30401593792460446;3.5081850535689796e-08;-4.797904277032489;-6.704015937924605;8.244010865319973;-2.1919658975080862;0.2023185668911827;-164.08573303401096;-35.914266965989036
2024-03-07_15:30:43:763642;59.90859833333333;10.72004485;0.0;59.90859833333333;10.72004485;0.0;1709821843.7626438;24.61;1.5082628383884202;0.90;-0.153;1.233;12.17;-0.867;0.363;2.11;59.908590583333336;10.720037016666666;0.0;0.7185992433917499;0.36556516505637027;5.2030949326820064e-08;-4.95859924339175;-6.845565165056371;8.452778767103661;-2.197679685017837;0.2124065699677099;-163.8487061752168;-36.15129382478321
2024-03-07_15:30:43:872946;59.90859976666667;10.7200462;0.0;59.90859976666667;10.7200462;0.0;1709821843.871961;24.703;1.6159694184776152;0.90;-0.392;1.35;12.913;0.161;-0.723;1.319;59.908590583333336;10.720037016666666;0.0;0.8634332034773874;0.43830515534780273;7.349436892400973e-08;-5.143433203477388;-6.998305155347803;8.685112559201597;-2.204598326843934;0.22537436631002777;-163.5504096026906;-36.44959039730942
2024-03-07_15:30:43:983037;59.908601266666665;10.7200476;0.0;59.908601266666665;10.7200476;0.0;1709821843.9820373;22.229;1.6767018957506206;0.90;-0.125;0.738;13.153;0.943;-1.375;0.308;59.908590583333336;10.720037016666666;0.0;1.023121931335383;0.5138428301492155;1.0268827582704532e-07;-5.343121931335383;-7.153842830149216;8.928965181452693;-2.212303009082381;0.22956315651481418;-163.37200751604206;-36.627992483957925
2024-03-07_15:30:44:092572;59.90860288333333;10.720049133333333;0.0;59.90860288333333;10.720049133333333;0.0;1709821844.0915666;24.521;1.8214710718130285;0.90;0.051;1.115;13.374;0.22;2.048;0.929;59.908590583333336;10.720037016666666;0.0;1.1902380408238487;0.5921781893771552;1.3820765987215822e-07;-5.550238040823849;-7.312178189377156;9.180037700522321;-2.220058175713548;0.23342033416172164;-163.19782235187097;-36.802177648129046
