;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;north_error;east_error;distance_to_target;yaw_setpoint;current_angle;tau_X;tau_N
2024-03-05_14:16:38:063596;0;0;0.0;0;0;0.0;1709644598.062617;0;0.0;0;0;0;0;0;0;0;59.908642666666665;10.71945885;0.0;0.0;0.0;0.0;;;;;;;
2024-03-05_14:16:44:083918;0;0;0.0;0;0;0.0;1709644604.0819125;0;0.0;1.00;0;0;0;0;0;0;0.0;0.0;0.0;-5403667.344084047;-1186335.5269152317;3220066.8878556937;5403679.344084035;1186335.5274499569;5532372.225128244;0.216113575791313;0.0;180.54977817878185;19.450221821218157
2024-03-05_14:16:44:192361;0;0;0.0;0;0;0.0;1709644604.1913636;0;0.0;1.00;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;11.999281366673069;0.1313266287258908;12.000000000000002;0.01094410419464111;0.0;-96.94674109827771;-103.05325890172229
2024-03-05_14:16:44:301633;0;0;0.0;0;0;0.0;1709644604.3006446;0;0.0;1.00;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;11.997132711763092;0.2623103054475142;12.0;0.021860933303833006;0.0;192.5060086249789;7.493991375021096
2024-03-05_14:16:44:411276;0;0;0.0;0;0;0.0;1709644604.4102926;0;0.0;1.00;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;11.99353296674769;0.3939123957638134;12.000000000000002;0.03283193111419677;0.0;191.47743413854064;8.522565861459356
2024-03-05_14:16:44:519179;0;0;0.0;0;0;0.0;1709644604.5181463;0;0.0;1.00;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;11.988589243800805;0.5231901599071284;11.999999999999998;0.04361300468444823;0.0;190.47010098220747;9.529899017792527
2024-03-05_14:16:44:628306;0;0;0.0;0;0;0.0;1709644604.6272986;0;0.0;1.00;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;11.982158241997922;0.6541283235889481;12.000000000000002;0.05453772544860839;0.0;189.42632999633577;10.57367000366422
2024-03-05_14:16:44:738296;0;0;0.0;0;0;0.0;1709644604.7362993;0;0.0;1.00;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;11.97428086696253;0.7852373648108284;11.999999999999998;0.0654832363128662;0.0;188.40849672848066;11.59150327151933
2024-03-05_14:16:44:846712;0;0;0.0;0;0;0.0;1709644604.8456993;0;0.0;1.00;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;11.965015670077088;0.9156418594678493;12.0;0.07637772560119628;0.0;187.29849065763494;12.701509342365055
2024-03-05_14:16:44:958156;0;0;0.0;0;0;0.0;1709644604.9571643;0;0.0;1.00;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;11.954070347369957;1.048905205502535;12.0;0.0875204563140869;0.0;186.23738227956645;13.762617720433557
