;current_time;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;speed_surge;speed_sway;n1;n2;north_error;east_error;distance_to_target;yaw_setpoint;current_angle;tau_X;tau_N;target_north_from_observer;target_east_from_observer
2024-04-23_12:39:08:082522;1713868748.0825224;59.880398666666665;10.743445266666667;0.0;59.880398666666665;10.743445266666667;0.0;1713868748.0825224;118.123;122137.78503119324;0;0.0;0.0;0.0;0.0;0.0;0.0;59.908642666666665;10.71945885;0.0;0.0;0.0;0.0;1713868702.8443675;45.238154888153076;0.0;0.0;-0.0;-0.0;;;;;;;;;;;
2024-04-23_12:39:11:098777;1713868751.0977805;59.88039843333333;10.7434466;0.0;59.88039843333333;10.7434466;0.0;1713868751.0977805;130.778;0.02622136515840006;0.90;-0.416;0.424;110.052;3.067;0.831;-0.081;59.880398666666665;10.743445266666667;0.0;-3146.4345546187155;1343.2701503467279;0.9165535210795497;1713868748.0825224;3.0152580738067627;0.0;0.0;-0.0;-0.0;555.5602048083035;1022.7801342557021;3146.4345546187155;-1353.2701503467279;3425.111750924067;-0.40617940599553676;1.9207697484047996;-164.60710336157086;-35.39289663842912;-0.15;-10.0
2024-04-23_12:39:11:206095;1713868751.205129;59.88039811666667;10.743447916666668;0.0;59.88039811666667;10.743447916666668;0.0;1713868751.205129;119.973;0.7614512501010197;0.90;0.074;1.113;109.596;0.095;1.334;-1.502;59.880398666666665;10.743445266666667;0.0;-0.025995724294830765;0.074668382544827;-6.464859324956107e-10;1713868751.0977805;0.10734844207763672;0.0;0.0;-0.0;-0.0;1121.8990710916967;0.954929658551372;-0.12400427570516923;-10.074668382544827;10.075431508309784;-1.5831042271011;1.9128110470157054;-14.729129619107225;131.21663903860534;-0.3;-10.0
2024-04-23_12:39:11:316039;1713868751.3150265;59.88039783333333;10.74344915;0.0;59.88039783333333;10.74344915;0.0;1713868751.3150265;125.284;0.6910048765310798;0.90;-0.549;0.604;109.587;-2.648;-2.112;0.992;59.880398666666665;10.743445266666667;0.0;-0.061275634505947515;0.14840341159708498;1.0176680262374838e-09;1713868751.205129;0.10989761352539062;0.0;0.0;-0.0;-0.0;710.9050143178321;0.954929658551372;-0.23872436549405246;-10.148403411597085;10.151210820744287;-1.594315331500059;1.912653967383026;-15.315467771646098;42.46217386466601;-0.44999999999999996;-10.0
2024-04-23_12:39:11:423651;1713868751.4226456;59.88039751666667;10.743450466666667;0.0;59.88039751666667;10.743450466666667;0.0;1713868751.4219916;124.216;0.7641804048787986;0.90;-0.949;1.315;109.697;2.166;4.139;-0.879;59.880398666666665;10.743445266666667;0.0;-0.09284187016616166;0.21747166765854703;5.955991262684979e-09;1713868751.3150265;0.10761904716491699;0.0;0.0;-0.0;-0.0;712.6049345047335;0.954929658551372;-0.3571581298338383;-10.217471667658547;10.223712105155911;-1.6057377269757318;1.9145738295602197;-16.00050326921604;42.42386554285361;-0.6;-10.0
2024-04-23_12:39:11:532357;1713868751.5313594;59.8803974;10.743451050000001;0.0;59.8803974;10.743451050000001;0.0;1713868751.5313594;126.633;0.3214681559341766;0.90;0.513;0.637;109.258;1.68;-6.576;0.056;59.880398666666665;10.743445266666667;0.0;-0.12812177749649287;0.29120669949155825;8.214696506358976e-09;1713868751.4226456;0.10871386528015137;0.0;0.0;-0.0;-0.0;715.8462189763599;0.954929658551372;-0.4718782225035071;-10.291206699491559;10.302019432544913;-1.6166167977546464;1.9069118341439646;-16.27341629748839;42.76049823607895;-0.75;-10.0
2024-04-23_12:39:11:642360;1713868751.6413643;59.88039705;10.7434523;0.0;59.88039705;10.7434523;0.0;1713868751.6413643;123.218;0.7284169037795917;0.90;-0.398;0.044;109.478;-3.749;4.63;0.365;59.880398666666665;10.743445266666667;0.0;-0.14111963838851954;0.32387411875564465;1.0234798800135003e-08;1713868751.5313594;0.11000490188598633;0.0;0.0;-0.0;-0.0;716.109180361434;0.954929658551372;-0.6088803616114804;-10.323874118755645;10.341813772964043;-1.6297059812022046;1.910751558498352;-17.067422197849694;42.48301068309621;-0.9;-10.0
2024-04-23_12:39:11:750191;1713868751.7491944;59.8803968;10.743453583333332;0.0;59.8803968;10.743453583333332;0.0;1713868751.7491944;125.558;0.714798169267264;0.90;-0.92;2.043;109.261;0.505;1.805;-0.617;59.880398666666665;10.743445266666667;0.0;-0.1801132209995861;0.3938757335403484;1.525612372543783e-08;1713868751.6413643;0.10783004760742188;0.0;0.0;-0.0;-0.0;719.3664458347124;0.954929658551372;-0.719886779000414;-10.393875733540348;10.418775827267737;-1.6399465639794164;1.9069641940215243;-17.4864392994432;42.766319821695;-1.05;-10.0
2024-04-23_12:39:11:859208;1713868751.8572106;59.8803964;10.743455033333333;0.0;59.8803964;10.743455033333333;0.0;1713868751.8572106;121.44;0.8575254396714904;0.90;-0.53;0.355;109.35;1.23;-5.41;1.242;59.880398666666665;10.743445266666667;0.0;-0.20796577550505804;0.46574405806046437;2.083955530363113e-08;1713868751.7491944;0.1080162525177002;0.0;0.0;-0.0;-0.0;720.6912191499902;0.954929658551372;-0.842034224494942;-10.465744058060464;10.499562863474303;-1.651079616514729;1.9085175370557992;-18.188441996552974;42.67215287281381;-1.2;-10.0
2024-04-23_12:39:11:969510;1713868751.9685125;0.0;0.0;0.0;0.0;0.0;0.0;1713868751.9685125;115.18;49693492.09953954;0.90;-0.53;0.355;109.35;1.23;-5.41;1.242;59.880398666666665;10.743445266666667;0.0;-0.25252986352926776;0.5469459344391456;2.8438611646142142e-08;1713868751.8572106;0.11130189895629883;0.0;0.0;-0.0;-0.0;723.304539867339;0.954929658551372;-0.9474701364707322;-10.546945934439146;10.589417746197677;-1.6603894368776093;1.9085175370557992;-18.769409382830766;42.804899338049374;-1.3499999999999999;-10.0
2024-04-23_12:39:12:078558;1713868752.077565;0.0;0.0;0.0;0.0;0.0;0.0;1713868752.077565;114.95;0.0;0.90;-0.53;0.355;109.35;1.23;-5.41;1.242;59.880398666666665;10.743445266666667;0.0;-5401677.277105443;-1188958.9835070348;3217653.0279603708;1713868751.9685125;0.10905241966247559;0.0;0.0;-0.0;-0.0;0.954929658551372;1203.788317866589;5401675.927105444;1188948.9835070348;5530976.632282301;0.21665276912379777;1.9085175370557992;-100.66263593286612;-99.33736406713388;-1.4999999999999998;-10.0
2024-04-23_12:39:12:186657;1713868752.185661;59.880395183333334;10.743460833333334;0.0;59.880395183333334;10.743460833333334;0.0;1713868752.185661;115.46;51123633.89937231;0.90;-0.821;0.006;109.098;-2.112;0.154;0.698;59.880398666666665;10.743445266666667;0.0;-5401677.277105443;-1188958.9835070348;3217653.0279603708;1713868752.077565;0.10809612274169922;0.0;0.0;-0.0;-0.0;686.8259308093888;987.5988925735952;5401675.777105443;1188948.9835070348;5530976.485788934;0.21665277495356003;1.9041193073407736;-175.82878183849584;-24.171218161504164;-1.6499999999999997;-10.0
2024-04-23_12:39:12:296569;1713868752.2955103;59.880395183333334;10.743460833333334;0.0;59.880395183333334;10.743460833333334;0.0;1713868752.2955103;115.46;0.0;0.90;-1.004;0.641;109.208;0.411;4.169;0.516;59.880398666666665;10.743445266666667;0.0;-0.38807894383716823;0.8717534496012773;7.203351745643793e-08;1713868752.185661;0.10984921455383301;0.0;0.0;-0.0;-0.0;1132.4961306103569;0.954929658551372;-1.2619210561628313;-10.871753449601277;10.944746128663944;-1.6863525836762074;1.9060391695179675;-20.534666882690633;116.68736382657995;-1.7999999999999996;-10.0
2024-04-23_12:39:12:516015;1713868752.514477;59.880395183333334;10.743460833333334;0.0;59.880395183333334;10.743460833333334;0.0;1713868752.2955103;115.46;0.0;0.90;-1.004;0.641;109.208;0.411;4.169;0.516;59.880398666666665;10.743445266666667;0.0;-0.38807894383716823;0.8717534496012773;7.203351745643793e-08;1713868752.2955103;0.21896672248840332;0.0;0.0;-0.0;-0.0;729.0082097008863;0.954929658551372;-1.4119210561628313;-10.871753449601277;10.963053595497616;-1.6999440713501108;1.9060391695179675;-21.19272468666909;42.64282066405662;-1.9499999999999995;-10.0
2024-04-23_12:39:12:594801;1713868752.5938022;59.880394833333334;10.743462716666667;0.0;59.880394833333334;10.743462716666667;0.0;1713868752.5938022;112.86;0.3769682039017201;0.90;-0.643;1.404;109.123;2.391;0.749;-0.887;59.880398666666665;10.743445266666667;0.0;-0.38807894383716823;0.8717534496012773;7.203351745643793e-08;1713868752.514477;0.07932519912719727;0.0;0.0;-0.0;-0.0;729.2146531591445;0.954929658551372;-1.5619210561628312;-10.871753449601277;10.98337928210631;-1.7134877491305522;1.9045556396537724;-21.787454518927074;42.436799138008105;-2.0999999999999996;-10.0
2024-04-23_12:39:12:637049;1713868752.6360528;59.880394833333334;10.743462716666667;0.0;59.880394833333334;10.743462716666667;0.0;1713868752.6360528;112.86;0.0;0.90;-0.643;1.404;109.123;2.391;0.749;-0.887;59.880398666666665;10.743445266666667;0.0;-0.4270725043997145;0.977222560357166;8.876930351897627e-08;1713868752.5938022;0.042250633239746094;0.0;0.0;-0.0;-0.0;730.0522566273662;0.954929658551372;-1.672927495600285;-10.977222560357166;11.10396782889566;-1.7220325234116705;1.9045556396537724;-22.44608450040335;42.29396711243798;-2.2499999999999996;-10.0
2024-04-23_12:39:12:732957;1713868752.731964;59.880394833333334;10.743462716666667;0.0;59.880394833333334;10.743462716666667;0.0;1713868752.731964;114.3;0.0;0.90;-0.111;1.235;108.923;3.925;-1.93;-1.194;59.880398666666665;10.743445266666667;0.0;-0.4270725043997145;0.977222560357166;8.876930351897627e-08;1713868752.6360528;0.09591126441955566;0.0;0.0;-0.0;-0.0;733.0033143581828;0.954929658551372;-1.822927495600285;-10.977222560357166;11.127554978243419;-1.7353591012427592;1.9010649811497835;-22.954762640833405;42.5074801538728;-2.3999999999999995;-10.0
2024-04-23_12:39:12:841821;1713868752.8408244;59.88039461666666;10.743463633333333;0.0;59.88039461666666;10.743463633333333;0.0;1713868752.8408244;114.3;0.5210965448769137;0.90;0.049;1.143;108.876;4.093;-2.295;-1.126;59.880398666666665;10.743445266666667;0.0;-0.4270725043997145;0.977222560357166;8.876930351897627e-08;1713868752.731964;0.10886025428771973;0.0;0.0;-0.0;-0.0;734.7140608198966;0.954929658551372;-1.972927495600285;-10.977222560357166;11.153109792452954;-1.7486269570913344;1.9002446764013463;-23.59157145719585;42.49696016721424;-2.5499999999999994;-10.0
2024-04-23_12:39:12:949344;1713868752.948347;59.8803944;10.7434645;0.0;59.8803944;10.7434645;0.0;1713868752.948347;116.93;0.5041343149354178;0.90;0.601;0.774;108.755;2.903;-2.018;-0.361;59.880398666666665;10.743445266666667;0.0;-0.45121137980990456;1.0285570853599952;9.810986911773512e-08;1713868752.8408244;0.10752272605895996;0.0;0.0;-0.0;-0.0;737.2905348912221;0.954929658551372;-2.0987886201900947;-11.028557085359996;11.226485873027391;-1.7588525480673403;1.8981328280064331;-24.142132317888663;42.64353694602942;-2.6999999999999993;-10.0
2024-04-23_12:39:13:057647;1713868753.0566518;59.8803944;10.7434645;0.0;59.8803944;10.7434645;0.0;1713868753.0560203;116.93;0.0;0.90;0.724;0.667;108.748;1.245;-1.164;0.134;59.880398666666665;10.743445266666667;0.0;-0.4753502534926939;1.0770915465327526;1.084525635963729e-07;1713868752.948347;0.10830473899841309;0.0;0.0;-0.0;-0.0;739.1806415476873;0.954929658551372;-2.224649746507305;-11.077091546532753;11.298275250006188;-1.768993085916;1.8980106549587936;-24.78418542814491;42.65780293403584;-2.849999999999999;-10.0
