;current_time;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;speed_surge;speed_sway;n1;n2;north_error;east_error;distance_to_target;yaw_setpoint;current_angle;tau_X;tau_N;target_north_from_observer;target_east_from_observer
2024-04-23_12:07:47:932135;1713866867.932135;59.8816692;10.7429127;0.0;59.8816692;10.7429127;0.0;1713866867.932135;125.302;829236.5419719724;0;0.0;0.0;0.0;0.0;0.0;0.0;59.908642666666665;10.71945885;0.0;0.0;0.0;0.0;1713866861.2757528;6.656382322311401;0.0;0.0;-0.0;-0.0;;;;;;;;;;;
2024-04-23_12:07:50:947047;1713866870.9445324;59.88166895;10.742913566666667;0.0;59.88166895;10.742913566666667;0.0;1713866870.9445324;122.596;0.01857554916339612;0.95;-0.555;0.84;74.53;-1.843;3.413;1.24;59.8816692;10.7429127;0.0;-3004.894809932796;1313.3956144198605;0.8421497995561822;1713866867.932135;3.012397289276123;0.0;0.0;-0.0;-0.0;0.954929658551372;1105.9484103952987;3094.894809932796;-1363.3956144198605;3381.8961376671914;-0.4149512566576336;1.300793891511374;-136.51742951774673;-63.48257048225328;90.0;-50.0
2024-04-23_12:07:51:055329;1713866871.0543306;59.88166881666667;10.74291425;0.0;59.88166881666667;10.74291425;0.0;1713866871.053557;124.061;0.3765043666784513;0.95;-0.589;2.076;74.831;0.951;-0.014;1.035;59.8816692;10.7429127;0.0;-0.027852567846999743;0.04853259647943606;6.829702966365536e-10;1713866870.9445324;0.10979819297790527;0.0;0.0;-0.0;-0.0;0.954929658551372;1135.974854804747;90.02781542301842;-49.994020351008814;102.9777141943739;-0.5069165668003941;1.3060473325598767;-125.836885728399;-74.163114271601;89.99996285517142;-49.94548775452938
2024-04-23_12:07:51:163852;1713866871.1619475;59.88166868333333;10.742914983333334;0.0;59.88166868333333;10.742914983333334;0.0;1713866871.1619475;119.653;0.4028962324577252;0.95;-0.348;1.007;75.125;1.011;-2.7;0.993;59.8816692;10.7429127;0.0;-0.042707269686368864;0.08679868259102194;4.860370751702536e-10;1713866871.0543306;0.10761690139770508;0.0;0.0;-0.0;-0.0;0.954929658551372;1117.6988233456902;90.0425595531421;-49.978091269219114;102.98287303137128;-0.5067118340423998;1.31117860056074;-132.37182629715358;-67.62817370284642;89.99985228345572;-49.89129258662809
2024-04-23_12:07:51:272874;1713866871.271871;59.88166855;10.74291575;0.0;59.88166855;10.74291575;0.0;1713866871.2711012;130.145;0.4162011673372715;0.95;0.025;1.447;75.723;0.367;2.347;1.56;59.8816692;10.7429127;0.0;-0.05756197318685995;0.1278647266378915;4.021597638237395e-10;1713866871.1619475;0.1099236011505127;0.0;0.0;-0.0;-0.0;0.954929658551372;1119.837789241315;90.05722870112302;-49.9645807591555;102.98914395102305;-0.506528010239333;1.3216156694876662;-131.6124750274974;-68.38752497250259;89.99966672793616;-49.836716032517614
2024-04-23_12:07:51:382892;1713866871.3808959;59.88166833333333;10.7429165;0.0;59.88166833333333;10.7429165;0.0;1713866871.3808959;115.246;0.44120609590950216;0.95;-0.811;1.128;75.866;-2.427;-1.92;0.869;59.8816692;10.7429127;0.0;-0.07241667449634417;0.1707974090784957;2.6659861887545766e-09;1713866871.271871;0.1090247631072998;0.0;0.0;-0.0;-0.0;0.954929658551372;1118.454990594618;90.07182163513406;-49.952616761652166;102.9961017418033;-0.5063576988893617;1.324111490318018;-132.10354632691966;-67.89645367308034;89.99940496063772;-49.78181935257367
2024-04-23_12:07:51:490080;1713866871.489093;59.881668166666664;10.7429173;0.0;59.881668166666664;10.7429173;0.0;1713866871.4883125;126.935;0.45146629390922033;0.95;-0.633;1.329;76.596;2.793;2.537;2.065;59.8816692;10.7429127;0.0;-0.09655556437397897;0.2127967734690414;2.7006124975192947e-09;1713866871.3808959;0.10819721221923828;0.0;0.0;-0.0;-0.0;0.954929658551372;1121.913986570646;90.09563151548;-49.94090882292405;103.01124789183348;-0.5061462028842879;1.3368523938575767;-130.87401861943061;-69.12598138056937;89.99907595110602;-49.72811204945501
2024-04-23_12:07:51:599707;1713866871.59871;59.88166796666667;10.74291805;0.0;59.88166796666667;10.74291805;0.0;1713866871.5979497;106.436;0.43364862722724934;0.95;-0.107;2.199;76.769;-0.973;-0.429;0.519;59.8816692;10.7429127;0.0;-0.11512394029890748;0.2575960954836965;5.405047014128694e-09;1713866871.489093;0.10961699485778809;0.0;0.0;-0.0;-0.0;0.954929658551372;1120.1662965610178;90.11378971574192;-49.930891053583736;103.02227418542945;-0.5059757056125119;1.339871813463527;-131.49572349919072;-68.50427650080927;89.99866577544302;-49.67329495810004
2024-04-23_12:07:51:708412;1713866871.7066243;59.88166786666667;10.742919116666666;0.0;59.88166786666667;10.742919116666666;0.0;1713866871.7066243;106.845;0.5591239823962861;0.95;-0.825;1.07;77.542;-1.109;-2.517;2.607;59.8816692;10.7429127;0.0;-0.1374059909887136;0.2995954605738601;7.386717480739602e-09;1713866871.59871;0.10791420936584473;0.0;0.0;-0.0;-0.0;0.954929658551372;1123.709313668579;90.13559105463243;-49.91855528617086;103.03536740666493;-0.5057684332695247;1.353363208581443;-130.2343586031325;-69.7656413968675;89.99818506364372;-49.618959825596995
2024-04-23_12:07:51:815407;1713866871.814409;59.88166773333333;10.7429203;0.0;59.88166773333333;10.7429203;0.0;1713866871.8136494;106.81;0.634525990416462;0.95;-0.183;1.799;78.035;2.828;2.47;0.77;59.8816692;10.7429127;0.0;-0.14854701448056098;0.3593278899513087;1.1067550889642952e-08;1713866871.7066243;0.10778474807739258;0.0;0.0;-0.0;-0.0;0.954929658551372;1123.6649942244978;90.14618652395609;-49.92477792729833;103.04765109356903;-0.5057714444073982;1.361967681793775;-130.25016156269686;-69.74983843730315;89.99763950947553;-49.56545003734702
2024-04-23_12:07:51:923843;1713866871.922088;59.881667666666665;10.742920983333333;0.0;59.881667666666665;10.742920983333333;0.0;1713866871.922088;86.412;0.3594686486441711;0.95;0.043;1.741;77.88;-2.133;-2.364;-1.409;59.8816692;10.7429127;0.0;-0.16340171054336733;0.4255935545455767;1.529832838187417e-08;1713866871.814409;0.10767889022827148;0.0;0.0;0.0;-0.0;0.954929658551372;1121.027845216005;90.16041545150843;-49.93682796139007;103.0659366679121;-0.5058068364698647;1.3592624214531839;-131.18936636353808;-68.81063363646192;89.99701374096506;-49.511234406844494
2024-04-23_12:07:52:031663;1713866872.0299067;59.88166773333333;10.74292275;0.0;59.88166773333333;10.74292275;0.0;1713866872.0299067;80.47;0.9201568797026252;0.95;-0.866;1.072;77.448;-3.13;-1.638;-1.663;59.8816692;10.7429127;0.0;-0.17082905689044267;0.4638596425324807;1.7852465505896475e-08;1713866871.922088;0.1078188419342041;0.0;0.0;0.0;-0.0;0.954929658551372;1119.1712882355039;90.16714774619876;-49.921189113310795;103.0642501315164;-0.5056424487350596;1.3517225990845683;-131.84924432000696;-68.15075567999303;89.99631868930832;-49.45732947077831
2024-04-23_12:07:52:139011;1713866872.1379883;59.88166773333333;10.74292275;0.0;59.88166773333333;10.74292275;0.0;1713866872.1369915;78.396;0.0;0.95;-1.062;1.126;77.056;0.276;1.606;-2.887;59.8816692;10.7429127;0.0;-0.16340169249536543;0.562791476630439;2.576810499699267e-08;1713866872.0299067;0.10808157920837402;0.0;0.0;0.0;-0.0;0.954929658551372;1118.765393347759;90.15895815376709;-49.96658400164721;103.07908251515626;-0.5060662119220193;1.3448809084167506;-131.9933662565927;-68.00663374340729;89.99555646127172;-49.403792525016776
2024-04-23_12:07:52:247838;1713866872.2463133;59.88166785;10.742923783333334;0.0;59.88166785;10.742923783333334;0.0;1713866872.2463133;76.464;0.542504840464926;0.95;-1.016;1.221;76.915;2.174;3.038;-3.871;59.8816692;10.7429127;0.0;-0.16340169249536543;0.562791476630439;2.576810499699267e-08;1713866872.1379883;0.10832500457763672;0.0;0.0;0.0;-0.0;0.954929658551372;1119.2008909793915;90.15810607930558;-49.91192973120084;103.05185501144386;-0.505606338888689;1.3424199941714388;-131.83873116712113;-68.16126883287889;89.99470438681021;-49.349138254570406
2024-04-23_12:07:52:357920;1713866872.3569133;59.88166785;10.742923783333334;0.0;59.88166785;10.742923783333334;0.0;1713866872.3561401;75.703;0.0;0.95;-1.016;1.221;76.915;2.174;3.038;-3.871;59.8816692;10.7429127;0.0;-0.1504038178777131;0.6206572648561443;3.203630703774163e-08;1713866872.2463133;0.11059999465942383;0.0;0.0;0.0;-0.0;0.954929658551372;1119.8359761014308;90.14417699063345;-49.91489001840458;103.04110291950525;-0.5056969462838565;1.3424199941714388;-131.61311932253616;-68.38688067746384;89.99377317275574;-49.294232753548435
