;current_time;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;speed_surge;speed_sway;n1;n2;north_error;east_error;distance_to_target;yaw_setpoint;current_angle;tau_X;tau_N;target_north_from_observer;target_east_from_observer
2024-04-23_12:18:09:328799;1713867489.3287997;59.881438333333335;10.74360715;0.0;59.881438333333335;10.74360715;0.0;1713867489.3287997;100.026;1106701.4452649585;0;0.0;0.0;0.0;0.0;0.0;0.0;59.908642666666665;10.71945885;0.0;0.0;0.0;0.0;1713867484.3432548;4.985544919967651;0.0;0.0;-0.0;-0.0;;;;;;;;;;;
2024-04-23_12:18:12:339446;1713867492.3384652;59.88143818333333;10.743607716666666;0.0;59.88143818333333;10.743607716666666;0.0;1713867492.3384652;99.242;0.011916445574460952;0.92;0.2;0.99;116.647;-2.732;2.96;0.374;59.881438333333335;10.74360715;0.0;-3030.6017460893677;1352.293597339483;0.8624109946263161;1713867489.3287997;3.0096654891967773;0.0;0.0;-0.0;-0.0;0.954929658551372;1090.5925571635037;3070.6017460893677;-1352.293597339483;3355.188974781068;-0.4148421062932127;2.035874212573826;-141.86900891647386;-58.13099108352615;40.0;0.0
2024-04-23_12:18:12:448082;1713867492.4470806;59.881438;10.743608816666667;0.0;59.881438;10.743608816666667;0.0;1713867492.4463224;90.174;0.6016983012263326;0.92;-1.94;1.089;116.828;-2.122;-2.014;0.602;59.881438333333335;10.74360715;0.0;-0.016711541425930915;0.031733071381569194;-8.045906545184334e-10;1713867492.3384652;0.10861539840698242;0.0;0.0;-0.0;-0.0;938.5854134185472;830.3112151044274;40.0164991192709;0.09862691971948159;40.01662065981961;0.002464651385973389;2.0390332585199356;190.8077564412491;9.19224355875091;39.99978757784496;0.1303599911010508
2024-04-23_12:18:12:554911;1713867492.5539143;59.88143783333334;10.743609983333334;0.0;59.88143783333334;10.743609983333334;0.0;1713867492.5531578;111.223;0.6357467678895191;0.92;0.161;0.222;116.991;9.151;-1.074;0.275;59.881438333333335;10.74360715;0.0;-0.037136756466016115;0.09333256370126018;1.6754491231896207e-09;1713867492.4470806;0.10683369636535645;0.0;0.0;-0.0;-0.0;343.6992513097446;1062.405418954646;40.03630107626014;0.16522829588270765;40.03664202026325;0.004126938638302268;2.0418781452006862;-151.49761278021379;-48.502387219786215;39.99916431979412;0.25856085958396785
2024-04-23_12:18:12:663108;1713867492.6621115;59.881437483333336;10.743611016666666;0.0;59.881437483333336;10.743611016666666;0.0;1713867492.6613555;85.636;0.6449139048292978;0.92;0.233;1.249;117.231;-8.387;3.101;1.166;59.881438333333335;10.74360715;0.0;-0.05570513216540715;0.1586653592843497;2.906269603447642e-09;1713867492.5539143;0.10819721221923828;0.0;0.0;0.0;-0.0;338.28865076483095;1063.1583048829723;40.05381946607757;0.22972842451063322;40.054478263611955;0.00573543069256707;2.0460669354054724;-151.2437073304121;-48.7562926695879;39.99811433391216;0.3883937837949829
2024-04-23_12:18:12:772099;1713867492.7711022;59.88143743333333;10.74361215;0.0;59.88143743333333;10.74361215;0.0;1713867492.7703235;101.061;0.5846682524089094;0.92;-1.973;0.766;117.484;1.243;-4.789;-0.085;59.881438333333335;10.74360715;0.0;-0.09469872386761918;0.2165315513484625;4.981947361593075e-09;1713867492.6621115;0.10899066925048828;0.0;0.0;-0.0;-0.0;336.948152786866;1063.3429074776495;40.091329662738346;0.30261538331334825;40.09247173967429;0.007548006986248589;2.050482618413018;-151.18142395389546;-48.81857604610453;39.99663093887073;0.5191469346618107
2024-04-23_12:18:12:879805;1713867492.8788292;59.8814371;10.74361325;0.0;59.8814371;10.74361325;0.0;1713867492.878047;108.087;0.6677095599240983;0.92;0.805;0.297;117.474;4.607;3.882;1.054;59.881438333333335;10.74360715;0.0;-0.10026923406151236;0.27999769625115556;6.810712861737844e-09;1713867492.7711022;0.10772705078125;0.0;0.0;-0.0;-0.0;350.8350149721994;1061.3933690377555;40.09501358603482;0.3684035840526185;40.096706045073816;0.009188005795144841;2.050308085487819;-151.83863605076948;-48.16136394923051;39.9947443519733;0.6484012803037741
2024-04-23_12:18:12:989278;1713867492.9872618;59.881436816666664;10.743614383333334;0.0;59.881436816666664;10.743614383333334;0.0;1713867492.9872618;89.472;0.6490225418573959;0.92;-0.401;2.146;117.786;-7.548;4.095;0.081;59.881438333333335;10.74360715;0.0;-0.137405985563259;0.34159719278575096;1.1365997393264493e-08;1713867492.8788292;0.10843253135681152;0.0;0.0;0.0;-0.0;332.54352758626;1063.944093984148;40.12981121795358;0.4378408921698195;40.1321997034233;0.010910181393242832;2.055753512754041;-150.97851368623228;-49.021486313767724;39.99240523239032;0.7794380849555704
2024-04-23_12:18:13:097086;1713867493.0953186;59.88143676666667;10.743615216666667;0.0;59.88143676666667;10.743615216666667;0.0;1713867493.0953186;104.692;0.43493411273860283;0.92;-1.523;0.378;117.619;2.26;-7.907;0.545;59.881438333333335;10.74360715;0.0;-0.16897222148433455;0.4050633413086381;1.50640797058621e-08;1713867492.9872618;0.10805678367614746;0.0;0.0;-0.0;-0.0;359.0506762025466;1060.2011673724994;40.15864061838037;0.5040139415965509;40.16180332566695;0.012549913860862379;2.0528388129032105;-152.23994683031904;-47.760053169680965;39.989668396896036;0.909077282905189
2024-04-23_12:18:13:205069;1713867493.2040582;59.88143635;10.743616916666667;0.0;59.88143635;10.743616916666667;0.0;1713867493.2040582;102.051;0.9740157328947249;0.92;0.11;0.951;117.839;3.777;8.26;-0.748;59.881438333333335;10.74360715;0.0;-0.17454272955934924;0.45172962561531854;1.9198720696556038e-08;1713867493.0953186;0.10873961448669434;0.0;0.0;-0.0;-0.0;339.85806272415863;1062.941205695208;40.16104847416982;0.5871920924335863;40.16534089358678;0.014619893613670075;2.0566785372575977;-151.3169409498895;-48.68305905011049;39.98650574461047;1.0389217180489048
