;current_time;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;speed_surge;speed_sway;n1;n2;north_error;east_error;distance_to_target;yaw_setpoint;current_angle;tau_X;tau_N;target_north_from_observer;target_east_from_observer
2024-04-23_12:51:51:973810;1713869511.9738107;59.876590433333334;10.736360833333332;0.0;59.876590433333334;10.736360833333332;0.0;1713869511.9732292;79.036;1607619.8151429594;0;0.0;0.0;0.0;0.0;0.0;0.0;59.908642666666665;10.71945885;0.0;0.0;0.0;0.0;1713869508.5428183;3.430992364883423;0.0;0.0;0.0;-0.0;;;;;;;;;;;
2024-04-23_12:51:54:996027;1713869514.99503;59.87659048333333;10.7363614;0.0;59.87659048333333;10.7363614;0.0;1713869514.99503;70.904;0.010663457461210635;0.89;-2.152;1.771;3.258;-15.108;0.152;0.978;59.876590433333334;10.736360833333332;0.0;-3570.833079640569;946.641054037416;1.0688317476103748;1713869511.9738107;3.021219253540039;0.0;0.0;0.0;-0.0;869.9299857021401;922.8913618330213;3620.833079640569;-896.641054037416;3730.2007144930867;-0.24275051838630127;0.056862827029975256;195.44288101621845;-4.557118983781564;49.9;50.0
2024-04-23_12:51:55:103948;1713869515.1029472;59.876590533333335;10.736362166666666;0.0;59.876590533333335;10.736362166666666;0.0;1713869515.1029472;83.31;0.4012243645189562;0.89;-0.658;-0.204;2.921;16.765;-3.56;-2.055;59.876590433333334;10.736360833333332;0.0;0.005570509831789875;0.031737691854267794;-1.5511045746430252e-10;1713869514.99503;0.10791730880737305;0.0;0.0;0.0;-0.0;1003.1150376039844;632.8572455185623;49.89442949016821;49.96826230814573;70.61360585783042;0.7861375066215786;0.05098106745075436;170.92804481340465;29.071955186595346;49.8;50.0
2024-04-23_12:51:55:213474;1713869515.2124708;59.87659068333333;10.736364366666667;0.0;59.87659068333333;10.736364366666667;0.0;1713869515.2124708;69.845;1.1353269701486337;0.89;2.032;0.571;2.675;-3.333;4.249;0.335;59.876590433333334;10.736360833333332;0.0;0.011141020750078494;0.07467692164266355;2.473673925418307e-09;1713869515.1029472;0.10952353477478027;0.0;0.0;0.0;-0.0;946.1439207922556;810.2895144587611;49.788858979249916;49.92532307835734;70.50864034240055;0.7867667151028868;0.04668755749084831;188.54752066911993;11.452479330880067;49.699999999999996;50.0
2024-04-23_12:51:55:320332;1713869515.3193324;59.87659073333333;10.736364816666667;0.0;59.87659073333333;10.736364816666667;0.0;1713869515.3193324;56.691;0.24154349687151244;0.89;-2.306;0.725;2.468;-2.793;-1.048;-2.489;59.876590433333334;10.736360833333332;0.0;0.0278525531469948;0.1978938417628677;2.615154405527509e-09;1713869515.2124708;0.10686159133911133;0.0;0.0;0.0;-0.0;946.4364323754053;809.5014581421119;49.672147446853;49.80210615823713;70.33897930577487;0.7867046184120408;0.04307472593922005;188.4596859718667;11.540314028133315;49.599999999999994;50.0
2024-04-23_12:51:55:429915;1713869515.4289203;59.8765909;10.736365483333334;0.0;59.8765909;10.736365483333334;0.0;1713869515.4289203;82.945;0.38052242736510605;0.89;-0.261;1.132;2.069;10.109;2.444;0.956;59.876590433333334;10.736360833333332;0.0;0.03342306382863589;0.22309730237350786;5.1066298065172155e-09;1713869515.3193324;0.1095879077911377;0.0;0.0;0.0;-0.0;947.2553417955932;807.2898405827739;49.56657693617136;49.77690269762649;70.24660555029239;0.7875153174168137;0.036110862223762676;188.2136413521887;11.786358647811323;49.49999999999999;50.0
2024-04-23_12:51:55:538944;1713869515.537947;59.87659093333333;10.736367083333333;0.0;59.87659093333333;10.736367083333333;0.0;1713869515.537947;46.232;0.8226356160183159;0.89;1.227;0.337;1.997;-2.854;-6.311;-1.401;59.876590433333334;10.736360833333332;0.0;0.05199142998993454;0.26043576171311644;6.057353778288199e-09;1713869515.4289203;0.10902667045593262;0.0;0.0;0.0;-0.0;947.2308435123756;807.3561184640496;49.44800857001006;49.73956423828688;70.13650834019651;0.7883375924036999;0.034854225162326766;188.22100504743986;11.778994952560149;49.39999999999999;50.0
2024-04-23_12:51:55:648232;1713869515.6462374;59.87659115;10.736367833333333;0.0;59.87659115;10.736367833333333;0.0;1713869515.6462374;58.964;0.4473857639695166;0.89;-2.345;1.141;1.654;-3.904;9.971;0.719;59.876590433333334;10.736360833333332;0.0;0.0557051106179833;0.35004806643381503;9.892681489959143e-09;1713869515.537947;0.10829043388366699;0.0;0.0;0.0;-0.0;947.963690102906;805.3703665881375;49.344294889382006;49.649951933566186;69.99983689363657;0.7884857779071784;0.028867745827986208;188.0006436185845;11.999356381415515;49.29999999999999;50.0
2024-04-23_12:51:55:758205;1713869515.7566578;59.87659143333333;10.736368883333334;0.0;59.87659143333333;10.736368883333334;0.0;1713869515.7566578;50.364;0.6044568526015991;0.89;0.3;1.946;1.399;11.978;-6.708;-1.367;59.876590433333334;10.736360833333332;0.0;0.07984398948429507;0.3920538318342688;1.3432153195269692e-08;1713869515.6462374;0.11042046546936035;0.0;0.0;0.0;-0.0;948.3768056978935;804.2481316439442;49.220156010515694;49.60794616816573;69.8825592027305;0.7893220287643536;0.02441715623540067;187.87634777044354;12.123652229556452;49.19999999999999;50.0
2024-04-23_12:51:55:867474;1713869515.8664792;59.8765919;10.736370133333333;0.0;59.8765919;10.736370133333333;0.0;1713869515.8664792;33.987;0.7940490826149903;0.89;0.747;-0.202;1.037;-8.508;1.753;0.004;59.876590433333334;10.736360833333332;0.0;0.1114102158766464;0.45086190287773514;1.6675747560590537e-08;1713869515.7566578;0.10982131958007812;0.0;0.0;0.0;-0.0;949.0323350708006;802.4631484354801;49.08858978412334;49.54913809712227;69.74816652186372;0.7900672182938279;0.018099064343181197;187.67900471060196;12.320995289398045;49.09999999999999;50.0
