;current_time;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;speed_surge;speed_sway;n1;n2;north_error;east_error;distance_to_target;yaw_setpoint;current_angle;tau_X;tau_N;target_north_from_observer;target_east_from_observer
2024-04-23_15:27:02:475773;1713878822.4747508;59.880454783333334;10.737159066666667;0.0;59.880454783333334;10.737159066666667;0.0;1713878822.4747508;110.89;4113951.5301235197;0;0.0;0.0;0.0;0.0;0.0;0.0;59.908642666666665;10.71945885;0.0;0.0;0.0;0.0;1713878821.142431;1.332319736480713;0.0;0.0;-0.0;-0.0;;;;;;;;;;;
2024-04-23_15:27:05:511300;1713878825.5083153;59.88045471666667;10.7371609;0.0;59.88045471666667;10.7371609;0.0;1713878825.5083153;95.58;0.033932740453949665;0.85;-2.24;1.477;140.305;-3.731;-7.297;-1.952;59.880454783333334;10.737159066666667;0.0;-3140.2933888616662;991.2332165917147;0.8492652909840217;1713878822.4747508;3.033564567565918;0.0;0.0;-0.0;-0.0;0.954929658551372;1210.903695892213;3160.2933888616662;-1011.2332165917147;3318.1390751475715;-0.3096855307094926;2.448784207010644;-97.93661970435494;-102.06338029564506;20.0;-20.0
2024-04-23_15:27:05:618915;1713878825.615924;59.88045445;10.737161783333333;0.0;59.88045445;10.737161783333333;0.0;1713878825.615924;112.72;0.5362360304912266;0.85;-1.482;-0.678;140.423;0.906;-3.844;0.895;59.880454783333334;10.737159066666667;0.0;-0.0074273488793557135;0.10266885222223869;-2.2148537431182502e-10;1713878825.5083153;0.10760855674743652;0.0;0.0;-0.0;-0.0;1094.55320343148;0.954929658551372;20.007218882982354;-19.97352850878781;28.270667634898984;-0.7845554986545888;2.4508436955279973;0.0;200.0;19.999791534102997;-19.87085965656557
2024-04-23_15:27:05:729727;1713878825.7262154;59.88045438333333;10.737163266666666;0.0;59.88045438333333;10.737163266666666;0.0;1713878825.7262154;91.85;0.7561764763631916;0.85;-1.858;-0.011;140.032;4.238;5.728;-0.106;59.880454783333334;10.737159066666667;0.0;-0.037136746978316176;0.15213657324362181;1.7017234496541356e-09;1713878825.615924;0.1102914810180664;0.0;0.0;-0.0;-0.0;1110.8912308711697;0.954929658551372;20.036282190244403;-19.890671836719218;28.232807691109294;-0.7817512609091691;2.4440194581526997;-8.756342358483113;116.49556423048571;19.999145443266087;-19.738535263475598
2024-04-23_15:27:05:834976;1713878825.832983;59.8804542;10.7371648;0.0;59.8804542;10.7371648;0.0;1713878825.832983;102.13;0.8266951971195456;0.85;2.092;1.576;139.922;9.529;0.579;-1.763;59.880454783333334;10.737159066666667;0.0;-0.04456409431120243;0.23520500930457647;4.530796078594523e-09;1713878825.7262154;0.10676765441894531;0.0;0.0;-0.0;-0.0;1110.250190886164;0.954929658551372;20.042655076660527;-19.844413802001124;28.204765229780563;-0.7804281405813117;2.4420995959755056;-8.410332619493772;117.46727947952658;19.998090982349325;-19.60920879269655
2024-04-23_15:27:05:945952;1713878825.9449742;59.88045405;10.73716645;0.0;59.88045405;10.73716645;0.0;1713878825.943994;97.06;0.8458709863698837;0.85;-0.101;0.113;138.389;-13.228;-2.718;-2.822;59.880454783333334;10.737159066666667;0.0;-0.06498930107296026;0.32107350666759404;7.885394830153825e-09;1713878825.832983;0.11199116706848145;0.0;0.0;-0.0;-0.0;1104.7560275484773;0.954929658551372;20.061557010535314;-19.79707783646271;28.184931444832742;-0.7787628309629051;2.415343698542433;-5.452977291764233;121.69583489583158;19.996567709462354;-19.476004329795114
2024-04-23_15:27:06:057177;1713878826.055228;59.880454;10.737167366666666;0.0;59.880454;10.737167366666666;0.0;1713878826.055228;103.52;0.4642088360900585;0.85;-2.231;0.838;138.363;0.508;4.945;0.94;59.880454783333334;10.737159066666667;0.0;-0.08170082949486658;0.4134754769968898;1.3075016729036104e-08;1713878825.9449742;0.11025381088256836;0.0;0.0;-0.0;-0.0;1104.3898348484001;0.954929658551372;20.07629726443152;-19.756013686052093;28.1666076873538;-0.777357538376709;2.414889912936914;-5.25638745305737;121.22483715034139;19.994596434936653;-19.342538209055203
2024-04-23_15:27:06:167869;1713878826.1659184;59.8804537;10.7371683;0.0;59.8804537;10.7371683;0.0;1713878826.1659184;116.0;0.5604869040012018;0.85;-0.974;1.287;138.135;0.841;-3.517;-1.109;59.880454783333334;10.737159066666667;0.0;-0.08727133559985632;0.46480990478255674;1.640045592388173e-08;1713878826.055228;0.11069035530090332;0.0;0.0;-0.0;-0.0;1103.1878723788236;0.954929658551372;20.079464021781778;-19.67454150019028;28.111785049063293;-0.7752128119147367;2.4109105622423668;-4.6115742830807;123.1315724100393;19.992192686181923;-19.209731595407725
2024-04-23_15:27:06:273732;1713878826.2727263;59.88045365;10.737170083333334;0.0;59.88045365;10.737170083333334;0.0;1713878826.2727263;92.44;0.9364849214805187;0.85;-0.984;0.336;137.499;3.081;-0.889;-2.529;59.880454783333334;10.737159066666667;0.0;-0.1206944056605744;0.5170776898050125;2.2342196814850723e-08;1713878826.1659184;0.10680794715881348;0.0;0.0;-0.0;-0.0;1100.5133905161736;0.954929658551372;20.110149585174316;-19.598669041292816;28.080704131631318;-0.7725180960208642;2.399810268199683;-3.179322506687682;125.5591344284258;19.98945517951374;-19.081591351487802
2024-04-23_15:27:06:383082;1713878826.381091;59.88045351666667;10.737171933333334;0.0;59.88045351666667;10.737171933333334;0.0;1713878826.3800955;95.77;0.9747837845305922;0.85;2.144;0.765;136.188;4.599;-0.875;-3.263;59.880454783333334;10.737159066666667;0.0;-0.12626490278315733;0.6169464864386358;3.087864973438936e-08;1713878826.2727263;0.10836482048034668;0.0;0.0;-0.0;-0.0;1095.9234549729938;0.954929658551372;20.11255437211402;-19.569733769327325;28.06224016670075;-0.7717198506147179;2.376929001706037;-0.729400272195291;128.4995158091301;19.986289469330863;-18.95278728288869
2024-04-23_15:27:06:492013;1713878826.4898782;59.880453116666665;10.737173816666667;0.0;59.880453116666665;10.737173816666667;0.0;1713878826.4887912;113.62;1.0533750477711619;0.85;-2.226;-0.168;135.981;-18.639;0.377;1.502;59.880454783333334;10.737159066666667;0.0;-0.14111958409547046;0.7205486981118141;4.213021572579967e-08;1713878826.381091;0.10878705978393555;0.0;0.0;-0.0;-0.0;1095.0347994531135;0.954929658551372;20.12378163978054;-19.542951593461158;28.051622849131817;-0.7707564600764961;2.373316170154409;-0.25625496428389577;128.6232095408202;19.98266205568507;-18.822402895349345
2024-04-23_15:27:06:602426;1713878826.5994346;59.88045253333333;10.737176216666667;0.0;59.88045253333333;10.737176216666667;0.0;1713878826.5994346;114.07;1.3492970678119893;0.85;-4.115;1.245;136.605;6.136;5.732;2.385;59.880454783333334;10.737159066666667;0.0;-0.185683663279069;0.8260176236990731;5.543707294608513e-08;1713878826.4898782;0.10955643653869629;0.0;0.0;-0.0;-0.0;1096.8243852743315;0.954929658551372;20.164255851945743;-19.51690885985728;28.06255415151486;-0.7690859009356278;2.384207024686854;-1.209472826250568;128.64384921603894;19.978572188666675;-18.69089123615821
2024-04-23_15:27:06:710841;1713878826.7088397;59.88045253333333;10.737176216666667;0.0;59.88045253333333;10.737176216666667;0.0;1713878826.707844;114.07;0.0;0.85;-3.212;1.705;136.743;12.473;5.51;2.105;59.880454783333334;10.737159066666667;0.0;-0.2506729458599057;0.9604205081511372;7.620380250428216e-08;1713878826.5994346;0.1094050407409668;0.0;0.0;-0.0;-0.0;1097.027044101417;0.954929658551372;20.22477607653144;-19.52129615687488;28.109119000606483;-0.7677006543137813;2.386615579054606;-1.3175165963193312;130.57369779912855;19.974103130671537;-18.56087564872374
2024-04-23_15:27:06:817449;1713878826.8164477;59.88045211666667;10.737177266666666;0.0;59.88045211666667;10.737177266666666;0.0;1713878826.8154545;121.24;0.6961828669145549;0.85;-1.232;2.279;136.935;17.749;4.237;1.864;59.880454783333334;10.737159066666667;0.0;-0.2506729458599057;0.9604205081511372;7.620380250428216e-08;1713878826.7088397;0.10760807991027832;0.0;0.0;-0.0;-0.0;1097.0432076658133;0.954929658551372;20.21987494316852;-19.391060224997275;28.015291527429188;-0.7644773294856536;2.3899666112184352;-1.326134758427167;131.9810168757782;19.969201997308616;-18.430639716846137
2024-04-23_15:27:06:927675;1713878826.9256856;59.88045211666667;10.737177266666666;0.0;59.88045211666667;10.737177266666666;0.0;1713878826.9256856;121.24;0.0;0.85;0.196;2.541;137.086;17.682;2.951;2.077;59.880454783333334;10.737159066666667;0.0;-0.2970938680329153;1.0192217764815703;8.691567787710852e-08;1713878826.8164477;0.1092379093170166;0.0;0.0;-0.0;-0.0;1096.989034544578;0.954929658551372;20.26088755485386;-19.317694768993757;27.99422968574847;-0.7615717845487064;2.3926020583889467;-1.297250989893736;133.39978000552927;19.963793686820942;-18.29847299251219
2024-04-23_15:27:07:036885;1713878827.0358872;59.88045211666667;10.737177266666666;0.0;59.88045211666667;10.737177266666666;0.0;1713878827.0348928;126.94;0.0;0.85;0.196;2.541;137.086;17.682;2.951;2.077;59.880454783333334;10.737159066666667;0.0;-0.2970938680329153;1.0192217764815703;8.691567787710852e-08;1713878826.9256856;0.11020159721374512;0.0;0.0;-0.0;-0.0;1096.3534231708245;0.954929658551372;20.255098520064315;-19.18677417061743;27.899844428451278;-0.758318739134881;2.3926020583889467;-0.9584652689265908;135.10710611452203;19.9580046520314;-18.16755239413586
2024-04-23_15:27:07:230463;1713878827.2274323;59.88045101666667;10.737179333333334;0.0;59.88045101666667;10.737179333333334;0.0;1713878827.2274323;130.77;0.875474184961954;0.85;2.844;1.845;138.362;-1.3;-6.608;5.978;59.880454783333334;10.737159066666667;0.0;-0.2970938680329153;1.0192217764815703;8.691567787710852e-08;1713878827.0358872;0.1915450096130371;0.0;0.0;-0.0;-0.0;1099.9899779138757;0.954929658551372;20.248848429390236;-19.05521885666077;27.804985675084595;-0.7550383837781283;2.414872459644394;-2.8994287541764376;135.77491247672663;19.95175456135732;-18.0359970801792
2024-04-23_15:27:07:259204;1713878827.2552052;59.88045101666667;10.737179333333334;0.0;59.88045101666667;10.737179333333334;0.0;1713878827.254187;130.77;0.0;0.85;2.68;1.521;138.593;-6.269;-8.679;6.364;59.880454783333334;10.737159066666667;0.0;-0.41964511335475235;1.1349576201125733;1.1397716026539939e-07;1713878827.2274323;0.027772903442382812;0.0;0.0;-0.0;-0.0;1100.1569328724884;0.954929658551372;20.364759408967892;-19.040239522037574;27.879278090397317;-0.7517978225297586;2.418904170216501;-2.988693093563046;136.6527459215861;19.945114295613138;-17.905281901925
