;current_time;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;speed_surge;speed_sway;n1;n2;north_error;east_error;distance_to_target;yaw_setpoint;current_angle;tau_X;tau_N;target_north_from_observer;target_east_from_observer
2024-04-23_12:33:39:777208;1713868419.7772083;59.8833563;10.743982183333333;0.0;59.8833563;10.743982183333333;0.0;1713868419.7772083;99.991;1559577.3711983883;0;0.0;0.0;0.0;0.0;0.0;0.0;59.908642666666665;10.71945885;0.0;0.0;0.0;0.0;1713868416.240648;3.536560297012329;0.0;0.0;-0.0;-0.0;;;;;;;;;;;
2024-04-23_12:33:42:795490;1713868422.7944887;59.88335618333333;10.7439829;0.0;59.88335618333333;10.7439829;0.0;1713868422.7944887;101.176;0.01398051576757969;0.91;-0.278;1.959;83.232;1.474;1.27;0.897;59.8833563;10.743982183333333;0.0;-2816.912849412987;1373.2161775543507;0.7689944733115226;1713868419.7772083;3.017280340194702;0.0;0.0;-0.0;-0.0;403.64353855404744;1053.2218888809655;2816.912849412987;-1403.2161775543507;3147.064289482856;-0.46215827772504564;1.4526724430199203;-154.5802153039294;-45.41978469607059;-0.15;-30.0
2024-04-23_12:33:42:903729;1713868422.902719;59.88335601666667;10.743984216666666;0.0;59.88335601666667;10.743984216666666;0.0;1713868422.902719;97.629;0.702489989504577;0.91;-0.42;-0.064;83.572;-2.67;-5.429;0.323;59.8833563;10.743982183333333;0.0;-0.012997869284446507;0.04013069029829768;1.6406161793686147e-09;1713868422.7944887;0.1082303524017334;0.0;0.0;-0.0;-0.0;0.954929658551372;1094.55320343148;-0.13700213071555348;-30.040130690298298;30.040443097165234;-1.5753569321492926;1.458606562476701;0.0;-200.0;-0.3;-30.0
2024-04-23_12:33:43:012456;1713868423.0115004;59.88335585;10.743985683333333;0.0;59.88335585;10.743985683333333;0.0;1713868423.0115004;103.348;0.7740375170132539;0.91;-0.735;0.311;83.792;2.287;5.374;1.682;59.8833563;10.743982183333333;0.0;-0.03156625135414839;0.11385916837067035;1.6602659073938764e-09;1713868422.902719;0.10878133773803711;0.0;0.0;-0.0;-0.0;0.954929658551372;923.150986832894;-0.2684337486458516;-30.11385916837067;30.115055548510522;-1.5797100511264726;1.4624462868310886;-21.537639035180966;-73.29569533127963;-0.44999999999999996;-30.0
2024-04-23_12:33:43:121886;1713868423.1208892;59.883355683333335;10.743987;0.0;59.883355683333335;10.743987;0.0;1713868423.1208892;103.212;0.6950503197698704;0.91;0.141;1.866;84.074;0.756;0.929;0.075;59.8833563;10.743982183333333;0.0;-0.050134630967793754;0.1959870939255591;4.181261555741278e-09;1713868423.0115004;0.10938882827758789;0.0;0.0;-0.0;-0.0;0.954929658551372;920.8856964559768;-0.3998653690322062;-30.19598709392556;30.19863455340109;-1.5840378875645367;1.4673681153217126;-19.61419600206811;-73.65448011899211;-0.6;-30.0
2024-04-23_12:33:43:229960;1713868423.228964;59.8833554;10.743988483333334;0.0;59.8833554;10.743988483333334;0.0;1713868423.228964;102.322;0.8221810459590616;0.91;-0.421;0.385;84.388;-1.841;-4.052;1.419;59.8833563;10.743982183333333;0.0;-0.06870301088480837;0.2697155735205911;6.5262824380796225e-09;1713868423.1208892;0.10807490348815918;0.0;0.0;-0.0;-0.0;0.954929658551372;918.0066537451947;-0.5312969891151916;-30.269715573520592;30.274377902650254;-1.5883466218393625;1.472848449172975;-17.510002593877015;-73.97744372254915;-0.75;-30.0
2024-04-23_12:33:43:338997;1713868423.3380394;59.883355183333336;10.743989883333333;0.0;59.883355183333336;10.743989883333333;0.0;1713868423.3380394;103.326;0.7520221886752158;0.91;-1.257;0.619;84.779;-0.637;2.861;0.743;59.8833563;10.743982183333333;0.0;-0.10026925578897984;0.35277677392472473;1.1927972852487922e-08;1713868423.228964;0.10907530784606934;0.0;0.0;-0.0;-0.0;0.954929658551372;914.994872256917;-0.6497307442110202;-30.352776773924724;30.35973003713434;-1.5921990319700698;1.4796726865482726;-15.248348954955782;-74.34087683307153;-0.9;-30.0
2024-04-23_12:33:43:447896;1713868423.4469004;59.883354966666666;10.743991316666667;0.0;59.883354966666666;10.743991316666667;0.0;1713868423.4469004;106.897;0.7699062824192587;0.91;0.062;1.363;84.994;6.514;2.023;1.114;59.8833563;10.743982183333333;0.0;-0.12440814650655042;0.4311716154103783;1.7033286885126397e-08;1713868423.3380394;0.10886096954345703;0.0;0.0;-0.0;-0.0;0.954929658551372;910.0227615727289;-0.7755918534934496;-30.431171615410378;30.44105367114883;-1.5962775666812445;1.4834251444400604;-13.563564567528351;-74.13533901789236;-1.05;-30.0
2024-04-23_12:33:43:555717;1713868423.5547163;59.8833547;10.7439931;0.0;59.8833547;10.7439931;0.0;1713868423.5547163;98.134;0.966330142141865;0.91;-0.114;1.114;85.559;-6.115;-2.816;1.28;59.8833563;10.743982183333333;0.0;-0.14854703621595566;0.5114330016496323;2.2723405268543218e-08;1713868423.4469004;0.10781598091125488;0.0;0.0;-0.0;-0.0;0.954929658551372;910.0252586642797;-0.9014529637840444;-30.511433001649632;30.524746702635706;-1.6003324947752062;1.4932862547138284;-10.547693192137778;-75.32704446715795;-1.2;-30.0
2024-04-23_12:33:43:665567;1713868423.6645436;59.88335463333333;10.743994016666667;0.0;59.88335463333333;10.743994016666667;0.0;1713868423.6639566;102.639;0.47477475640362676;0.91;-1.289;0.51;86.032;0.851;0.13;1.439;59.8833563;10.743982183333333;0.0;-0.17825643521869983;0.6112930999551499;3.312477139805203e-08;1713868423.5547163;0.10982728004455566;0.0;0.0;-0.0;-0.0;0.954929658551372;904.1064788567247;-1.0217435647813002;-30.61129309995515;30.62834022867602;-1.6041619339456812;1.5015416620757616;-7.939450596938994;-75.32661734103266;-1.3499999999999999;-30.0
