tau_X;tau_N
2.573999999999999844e+01;0.000000000000000000e+00
2.573999999999999844e+01;0.000000000000000000e+00
2.573999999999999844e+01;0.000000000000000000e+00
2.573999999999999844e+01;0.000000000000000000e+00
2.573999999999999844e+01;0.000000000000000000e+00
2.633661310852666304e+01;-2.351744654123324452e-01
2.633661310852666304e+01;-2.351744654123324452e-01
2.633661310852666304e+01;-2.351744654123324452e-01
2.633661310852666304e+01;-2.351744654123324452e-01
2.633661310852666304e+01;-2.351744654123324452e-01
2.633980993406446913e+01;-2.351664816696015237e-01
2.633980993406446913e+01;-2.351664816696015237e-01
2.633980993406446913e+01;-2.351664816696015237e-01
2.633980993406446913e+01;-2.351664816696015237e-01
2.633980993406446913e+01;-2.351664816696015237e-01
2.634394919463581530e+01;-2.351450537931309981e-01
2.634394919463581530e+01;-2.351450537931309981e-01
2.634394919463581530e+01;-2.351450537931309981e-01
2.634394919463581530e+01;-2.351450537931309981e-01
2.634394919463581530e+01;-2.351450537931309981e-01
2.634715437068613397e+01;-2.351164190661760856e-01
2.634715437068613397e+01;-2.351164190661760856e-01
2.634715437068613397e+01;-2.351164190661760856e-01
2.634715437068613397e+01;-2.351164190661760856e-01
2.634715437068613397e+01;-2.351164190661760856e-01
2.634751253385860537e+01;-2.350852812795043434e-01
2.634751253385860537e+01;-2.350852812795043434e-01
2.634751253385860537e+01;-2.350852812795043434e-01
2.634751253385860537e+01;-2.350852812795043434e-01
2.634751253385860537e+01;-2.350852812795043434e-01
2.634202156284649732e+01;-2.350459645517721796e-01
2.634202156284649732e+01;-2.350459645517721796e-01
2.634202156284649732e+01;-2.350459645517721796e-01
2.634202156284649732e+01;-2.350459645517721796e-01
2.634202156284649732e+01;-2.350459645517721796e-01
2.633567492297231283e+01;-2.349838833678559169e-01
2.633567492297231283e+01;-2.349838833678559169e-01
2.633567492297231283e+01;-2.349838833678559169e-01
2.633567492297231283e+01;-2.349838833678559169e-01
2.633567492297231283e+01;-2.349838833678559169e-01
2.632690484256298191e+01;-2.348823843879364048e-01
2.632690484256298191e+01;-2.348823843879364048e-01
2.632690484256298191e+01;-2.348823843879364048e-01
2.632690484256298191e+01;-2.348823843879364048e-01
2.632690484256298191e+01;-2.348823843879364048e-01
2.631611715801009055e+01;-2.347283243627513727e-01
2.631611715801009055e+01;-2.347283243627513727e-01
2.631611715801009055e+01;-2.347283243627513727e-01
2.631611715801009055e+01;-2.347283243627513727e-01
2.631611715801009055e+01;-2.347283243627513727e-01
2.630094036958757897e+01;-2.345136076166749461e-01
2.630094036958757897e+01;-2.345136076166749461e-01
2.630094036958757897e+01;-2.345136076166749461e-01
2.630094036958757897e+01;-2.345136076166749461e-01
2.630094036958757897e+01;-2.345136076166749461e-01
2.692324525472784558e+01;-4.602051155679678374e-01
2.692324525472784558e+01;-4.602051155679678374e-01
2.692324525472784558e+01;-4.602051155679678374e-01
2.692324525472784558e+01;-4.602051155679678374e-01
2.692324525472784558e+01;-4.602051155679678374e-01
2.690512137964416084e+01;-4.600061513356328291e-01
2.690512137964416084e+01;-4.600061513356328291e-01
2.690512137964416084e+01;-4.600061513356328291e-01
2.690512137964416084e+01;-4.600061513356328291e-01
2.690512137964416084e+01;-4.600061513356328291e-01
2.688147379253904035e+01;-4.597409755697832168e-01
2.688147379253904035e+01;-4.597409755697832168e-01
2.688147379253904035e+01;-4.597409755697832168e-01
2.688147379253904035e+01;-4.597409755697832168e-01
2.688147379253904035e+01;-4.597409755697832168e-01
2.685679569855368598e+01;-4.593916024924800112e-01
2.685679569855368598e+01;-4.593916024924800112e-01
2.685679569855368598e+01;-4.593916024924800112e-01
2.685679569855368598e+01;-4.593916024924800112e-01
2.685679569855368598e+01;-4.593916024924800112e-01
2.682865658054605973e+01;-4.589423646136419066e-01
2.682865658054605973e+01;-4.589423646136419066e-01
2.682865658054605973e+01;-4.589423646136419066e-01
2.682865658054605973e+01;-4.589423646136419066e-01
2.682865658054605973e+01;-4.589423646136419066e-01
2.679469821883330383e+01;-4.583800661645192065e-01
2.679469821883330383e+01;-4.583800661645192065e-01
2.679469821883330383e+01;-4.583800661645192065e-01
2.679469821883330383e+01;-4.583800661645192065e-01
2.679469821883330383e+01;-4.583800661645192065e-01
2.675961810285714293e+01;-4.576939014842151821e-01
2.675961810285714293e+01;-4.576939014842151821e-01
2.675961810285714293e+01;-4.576939014842151821e-01
2.675961810285714293e+01;-4.576939014842151821e-01
2.675961810285714293e+01;-4.576939014842151821e-01
2.672115203727889110e+01;-4.568753591668883729e-01
2.672115203727889110e+01;-4.568753591668883729e-01
2.672115203727889110e+01;-4.568753591668883729e-01
2.672115203727889110e+01;-4.568753591668883729e-01
2.672115203727889110e+01;-4.568753591668883729e-01
2.667706419349374158e+01;-4.559182233301699583e-01
2.667706419349374158e+01;-4.559182233301699583e-01
2.667706419349374158e+01;-4.559182233301699583e-01
2.667706419349374158e+01;-4.559182233301699583e-01
2.667706419349374158e+01;-4.559182233301699583e-01
2.663209499786959356e+01;-4.548185940945073114e-01
2.663209499786959356e+01;-4.548185940945073114e-01
2.663209499786959356e+01;-4.548185940945073114e-01
2.663209499786959356e+01;-4.548185940945073114e-01
2.663209499786959356e+01;-4.548185940945073114e-01
2.726332784141409249e+01;-6.721992711805997445e-01
2.726332784141409249e+01;-6.721992711805997445e-01
2.726332784141409249e+01;-6.721992711805997445e-01
2.726332784141409249e+01;-6.721992711805997445e-01
2.726332784141409249e+01;-6.721992711805997445e-01
2.721010572735680810e+01;-6.711764120982115500e-01
2.721010572735680810e+01;-6.711764120982115500e-01
2.721010572735680810e+01;-6.711764120982115500e-01
2.721010572735680810e+01;-6.711764120982115500e-01
2.721010572735680810e+01;-6.711764120982115500e-01
2.715632154585451730e+01;-6.700092226681340080e-01
2.715632154585451730e+01;-6.700092226681340080e-01
2.715632154585451730e+01;-6.700092226681340080e-01
2.715632154585451730e+01;-6.700092226681340080e-01
2.715632154585451730e+01;-6.700092226681340080e-01
2.709969415556923877e+01;-6.686806572468251275e-01
2.709969415556923877e+01;-6.686806572468251275e-01
2.709969415556923877e+01;-6.686806572468251275e-01
2.709969415556923877e+01;-6.686806572468251275e-01
2.709969415556923877e+01;-6.686806572468251275e-01
2.704032342128251543e+01;-6.671786117551459228e-01
2.704032342128251543e+01;-6.671786117551459228e-01
2.704032342128251543e+01;-6.671786117551459228e-01
2.704032342128251543e+01;-6.671786117551459228e-01
2.704032342128251543e+01;-6.671786117551459228e-01
2.697832280515357084e+01;-6.654950835413977472e-01
2.697832280515357084e+01;-6.654950835413977472e-01
2.697832280515357084e+01;-6.654950835413977472e-01
2.697832280515357084e+01;-6.654950835413977472e-01
2.697832280515357084e+01;-6.654950835413977472e-01
2.691147223207829953e+01;-6.636254528700424871e-01
2.691147223207829953e+01;-6.636254528700424871e-01
2.691147223207829953e+01;-6.636254528700424871e-01
2.691147223207829953e+01;-6.636254528700424871e-01
2.691147223207829953e+01;-6.636254528700424871e-01
2.684458054754276191e+01;-6.615679320795972984e-01
2.684458054754276191e+01;-6.615679320795972984e-01
2.684458054754276191e+01;-6.615679320795972984e-01
2.684458054754276191e+01;-6.615679320795972984e-01
2.684458054754276191e+01;-6.615679320795972984e-01
2.677543295267439660e+01;-6.593231656636913129e-01
