;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;n1;n2;north_error;east_error;distance_to_target;yaw_setpoint;current_angle;tau_X;tau_N;target_north_from_observer;target_east_from_observer
2024-03-22_12:32:46:195921;59.90802245;10.7189904;0.0;59.90802245;10.7189904;0.0;1711107166.19562;40.932;1191081.850703004;0;0.0;0.0;0.0;0.0;0.0;0.0;59.908642666666665;10.71945885;0.0;0.0;0.0;0.0;;;;;;;;;;;
2024-03-22_12:32:49:205890;59.90802381666667;10.718991933333333;0.0;59.90802381666667;10.718991933333333;0.0;1711107169.203255;41.516;0.05810908039608394;0.76;1.192;1.032;-144.508;7.11;1.492;0.579;59.90802245;10.7189904;0.0;-69.09869771475705;-26.212034716732283;0.0004277163151051866;1138.9255877367818;0.954929658551372;54.09869771475705;26.212034716732283;60.11438977835372;0.4511890959608322;-2.522140395471966;36.70844271089689;110.01319118301353;-15.04;-0.08
2024-03-22_12:32:49:304620;59.90802501666667;10.7189937;0.0;59.90802501666667;10.7189937;0.0;1711107169.302975;49.17;1.6674030935789743;0.76;-0.229;0.365;-144.283;-11.437;-4.167;1.806;59.90802245;10.7189904;0.0;0.1522613231269191;0.08579738484284373;1.5581504836381654e-09;0.954929658551372;1094.55320343148;-15.192261323126917;-0.16579738484284373;15.193165992741564;-3.130679807921216;-2.5182134046549782;0.0;-200.0;-15.079999999999998;-0.16
2024-03-22_12:32:49:404770;59.90802608333333;10.718995516666666;0.0;59.90802608333333;10.718995516666666;0.0;1711107169.4030614;37.651;1.5625072222895027;0.76;-1.103;1.777;-143.396;7.704;10.856;2.253;59.90802245;10.7189904;0.0;0.2859541947338544;0.18465088678423144;7.563223020090604e-09;504.08997304986764;857.8665127255447;-15.365954194733852;-0.34465088678423145;15.369818884698024;-3.119166899624634;-2.5027323341897887;120.29579971403825;-23.125245603203062;-15.119999999999997;-0.24
2024-03-22_12:32:49:505017;59.90802683333333;10.718996266666666;0.0;59.90802683333333;10.718996266666666;0.0;1711107169.5031936;50.732;0.9338329788360654;0.76;0.234;1.192;-142.946;-6.11;-17.838;0.843;59.90802245;10.7189904;0.0;0.4047923052624145;0.28630212324195703;1.849725553282333e-08;520.6769947605382;858.8006235579737;-15.524792305262412;-0.526302123241957;15.53371076228935;-3.1077048802579292;-2.4948783525558142;122.55597633651729;-22.38640063420545;-15.159999999999997;-0.32
2024-03-22_12:32:49:605146;59.90802793333334;10.718997983333333;0.0;59.90802793333334;10.718997983333333;0.0;1711107169.6033463;55.462;1.5547639685569419;0.76;-1.711;-1.903;-142.732;1.236;8.455;1.184;59.90802245;10.7189904;0.0;0.4883503511679871;0.32826822516312204;2.7626799792290768e-08;529.7734051449414;862.4949479129588;-15.648350351167984;-0.648268225163122;15.66177258182021;-3.100189072024013;-2.4911433479565464;124.48966235999403;-22.23299470713023;-15.199999999999996;-0.4
2024-03-22_12:32:49:705508;59.908028783333336;10.71899995;0.0;59.908028783333336;10.71899995;0.0;1711107169.703385;31.314;1.451295165644358;0.76;1.686;4.115;-142.188;13.002;17.405;1.678;59.90802245;10.7189904;0.0;0.6109021559939198;0.42432397005064515;4.23536549165604e-08;534.8344830261688;867.5651217005828;-15.810902155993915;-0.8243239700506452;15.832376227023317;-3.089503387382909;-2.481648756825697;126.21015632683421;-22.395391882421094;-15.239999999999995;-0.48000000000000004
2024-03-22_12:32:49:805653;59.90803008333334;10.719000883333333;0.0;59.90803008333334;10.719000883333333;0.0;1711107169.8035717;55.929;1.5367955491433698;0.76;-0.249;2.126;-141.232;-20.358;-18.679;2.266;59.90802245;10.7189904;0.0;0.7056012842416326;0.5343684146721418;6.039016342551662e-08;532.3315755800268;874.500763217061;-15.945601284241627;-1.014368414672142;15.97783288173627;-3.0780639474181473;-2.4649634091766317;127.35368706077492;-23.103476404014753;-15.279999999999994;-0.56
2024-03-22_12:32:49:905829;59.90803103333333;10.719002683333333;0.0;59.90803103333333;10.719002683333333;0.0;1711107169.903686;51.662;1.4594064428802944;0.76;-5.435;-1.444;-140.814;1.984;1.599;1.633;59.90802245;10.7189904;0.0;0.8504352338350134;0.5865928791494901;8.246568644620922e-08;543.7099879165089;876.3169754375584;-16.13043523383501;-1.1465928791494902;16.171135274416024;-3.0706294369340026;-2.457667932903295;129.22773185420286;-22.66846180482239;-15.319999999999993;-0.64
2024-03-22_12:32:50:005589;59.9080319;10.71900405;0.0;59.9080319;10.71900405;0.0;1711107170.0038512;34.467;1.229711753731035;0.76;3.848;1.807;-139.684;22.373;7.144;2.628;59.90802245;10.7189904;0.0;0.9562754360268491;0.6873115096045166;1.0777176284726409e-07;537.1161784084395;885.2941169593639;-16.276275436026843;-1.3273115096045167;16.330306118163843;-3.0602238602579894;-2.4379457123557593;130.28330984333022;-23.769509981479704;-15.359999999999992;-0.72
2024-03-22_12:32:50:105937;59.90803278333333;10.719005166666667;0.0;59.90803278333333;10.719005166666667;0.0;1711107170.1040049;69.261;1.1639684284815228;0.76;1.654;3.733;-139.316;-24.876;3.841;1.066;59.90802245;10.7189904;0.0;1.0528314105774939;0.7637830552347309;1.3152016503648056e-07;552.7807899177009;882.9090315786193;-16.412831410577486;-1.4837830552347309;16.479764775840724;-3.051433894427254;-2.43152290070842;131.84532725836542;-22.747694764455034;-15.399999999999991;-0.7999999999999999
2024-03-22_12:32:50:206019;59.908033016666664;10.719006116666666;0.0;59.908033016666664;10.719006116666666;0.0;1711107170.2041364;41.441;0.5909764110968937;0.76;-3.473;3.234;-138.722;-13.31;-7.229;2.444;59.90802245;10.7189904;0.0;1.1512442297261762;0.8262658961709518;1.5568689637479594e-07;553.0651346638646;888.8613221810697;-16.55124422972617;-1.6262658961709517;16.630947847825528;-3.043650620768949;-2.421155644951574;133.16494503128126;-23.23876067954402;-15.43999999999999;-0.8799999999999999
2024-03-22_12:32:50:305762;59.9080333;10.719006333333333;0.0;59.9080333;10.719006333333333;0.0;1711107170.3040874;19.708;0.33831890297357986;0.76;-3.916;2.41;-138.54;-3.345;-11.173;1.463;59.90802245;10.7189904;0.0;1.1772400777201366;0.8794229510307807;1.6769716693065817e-07;563.425355495377;886.954659998596;-16.617240077720126;-1.7594229510307806;16.7101237853345;-3.036106292527586;-2.417979145712944;134.15900908612224;-22.521096068688827;-15.47999999999999;-0.9599999999999999
2024-03-22_12:32:50:405766;59.9080333;10.719006333333333;0.0;59.9080333;10.719006333333333;0.0;1711107170.4041767;-100.455;0.0;0.76;-3.203;0.937;-138.412;9.795;-12.055;-0.131;59.90802245;10.7189904;0.0;1.2088064519836896;0.8915464835236334;1.7552562292522111e-07;566.5792125176031;889.2564598614358;-16.68880645198368;-1.8515464835236333;16.791202612452178;-3.031099115206805;-2.4157451242703916;135.08881461778577;-22.54627459941648;-15.519999999999989;-1.0399999999999998
2024-03-22_12:32:50:506076;59.90803341666667;10.719005916666667;0.0;59.90803341666667;10.719005916666667;0.0;1711107170.5043402;-141.063;0.2665005290724619;0.76;-2.097;0.212;-138.426;15.687;-5.083;-0.412;59.90802245;10.7189904;0.0;1.2088064519836896;0.8915464835236334;1.7552562292522111e-07;572.1870134743126;889.0105044845553;-16.72880645198368;-1.9315464835236331;16.839947658052363;-3.02663938406468;-2.4159894703656706;135.81160399951418;-22.218789416586425;-15.559999999999988;-1.1199999999999999
2024-03-22_12:32:50:606042;59.90803341666667;10.719005916666667;0.0;59.90803341666667;10.719005916666667;0.0;1711107170.6043844;-157.132;0.0;0.76;-0.297;0.027;-138.426;14.089;1.595;0.282;59.90802245;10.7189904;0.0;1.2218043640601126;0.8682319804938563;1.7516108141713005e-07;574.5685331753731;890.8642302289454;-16.7818043640601;-1.9882319804938562;16.8991722910279;-3.02366689645385;-2.4159894703656706;136.54433505038827;-22.246068632256897;-15.599999999999987;-1.2
2024-03-22_12:32:50:706647;59.9080332;10.719005133333333;0.0;59.9080332;10.719005133333333;0.0;1711107170.7046924;-165.381;0.49886374255393806;0.76;0.689;1.019;-138.356;5.221;10.93;0.585;59.90802245;10.7189904;0.0;1.2218043640601126;0.8682319804938563;1.7516108141713005e-07;578.0975765269836;891.5812439237453;-16.8218043640601;-2.0682319804938563;16.948471482344623;-3.0192571464494726;-2.4147677398892746;137.19388638515923;-22.112174167053592;-15.639999999999986;-1.28
2024-03-22_12:32:50:806252;59.9080332;10.719005133333333;0.0;59.9080332;10.719005133333333;0.0;1711107170.8045921;-170.533;0.0;0.76;0.68;2.132;-138.35;-1.332;14.637;-0.312;59.90802245;10.7189904;0.0;1.197665364738586;0.824400725851769;1.648538249243714e-07;578.8737199959874;892.4543741010723;-16.837665364738573;-2.104400725851769;16.96866162518077;-3.0172556375154134;-2.414663020134155;137.49226465193613;-22.143837271392464;-15.679999999999986;-1.36
2024-03-22_12:32:50:906809;59.9080332;10.719005133333333;0.0;59.9080332;10.719005133333333;0.0;1711107170.904812;-171.262;0.0;0.76;0.051;4.0;-138.549;-5.98;15.385;-2.364;59.90802245;10.7189904;0.0;1.197665364738586;0.824400725851769;1.648538249243714e-07;588.8888052860785;890.0908065104107;-16.877665364738572;-2.184400725851769;17.018436905168397;-3.012882617223537;-2.4181362253456236;138.40138016655698;-21.380316610140813;-15.719999999999985;-1.4400000000000002
